ID,ParentAnimKitID,OrderIndex,AnimID,AnimStartTime,AnimKitConfigID,StartCondition,StartConditionParam,StartConditionDelay,EndCondition,EndConditionParam,EndConditionDelay,Speed,SegmentFlags,ForcedVariation,OverrideConfigFlags,LoopToSegmentIndex,BlendInTimeMs,BlendOutTimeMs,Field_9_0_1_34278_018
1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-1,0,0,1
2,21,0,0,0,1,0,0,0,1,0,0,1,33,0,0,-1,0,0,1
3,22,0,0,0,2,0,0,0,0,0,0,1,1,0,0,-1,0,0,1
4,23,0,0,0,2,0,0,0,1,0,0,1,33,0,0,-1,0,0,1
5,24,0,0,0,3,0,0,0,0,0,0,1,1,0,0,-1,0,0,1
6,25,0,0,0,3,0,0,0,1,0,0,1,33,0,0,-1,0,0,1
7,26,0,0,0,4,0,0,0,0,0,0,1,1,0,0,-1,0,0,1
8,26,1,0,0,5,0,0,0,0,0,0,1,1,0,0,-1,0,0,1
9,27,0,0,0,4,0,0,0,1,0,0,1,33,0,0,-1,0,0,1
10,27,1,0,0,5,0,0,0,1,0,0,1,33,0,0,-1,0,0,1
21,42,0,0,0,21,0,0,0,0,0,0,1,0,0,65536,-1,0,0,1
22,42,1,0,0,21,2,0,0,1,0,0,1,32,0,8192,-1,0,0,1
23,41,0,0,0,21,0,0,0,1,0,0,1,32,0,73728,-1,0,0,1
24,43,0,0,0,23,0,0,0,1,0,0,1,288,0,73728,-1,300,0,1
25,44,0,0,0,22,0,0,0,1,0,0,1,288,0,73728,-1,250,0,1
26,45,0,0,0,21,0,0,0,0,0,0,1,0,0,4096,-1,0,0,1
41,61,0,6,0,41,0,0,0,1,0,0,1,0,0,0,-1,0,0,1
42,62,0,1,0,41,0,0,0,0,0,0,1,1280,0,0,-1,0,0,1
43,62,1,6,0,41,2,0,0,1,0,0,1,64,0,0,-1,0,0,1
52,67,0,132,0,41,0,0,0,1,0,0,1,0,0,0,-1,0,0,1
53,68,0,131,0,41,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
54,68,1,132,0,41,2,0,0,1,0,0,1,64,0,0,-1,0,0,1
61,81,0,0,0,61,0,0,0,0,0,0,1,1280,0,0,-1,100,0,1
62,82,0,0,0,62,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
63,83,0,0,0,63,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
64,84,0,0,0,64,0,0,0,1,0,0,1,32,0,0,-1,0,0,1
65,85,0,0,0,64,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
66,85,1,0,0,64,2,0,0,1,0,0,1,0,0,0,-1,0,0,1
67,86,0,0,0,65,0,0,0,1,0,0,1,256,0,0,-1,200,0,1
81,101,0,0,0,81,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
101,123,0,0,0,102,0,0,0,1,0,0,1,3872,0,0,-1,0,0,1
102,121,0,0,0,101,0,0,0,1,0,0,1,0,0,0,-1,0,0,1
103,122,0,0,0,101,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
104,122,1,0,0,101,2,0,0,1,0,0,1,0,0,0,-1,0,0,1
105,124,0,0,0,61,0,0,0,0,0,0,1,1,0,0,-1,0,0,1
106,125,0,0,0,103,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
121,141,0,0,0,121,0,0,0,1,0,0,1,0,0,8192,-1,0,0,1
122,142,0,0,0,121,0,0,0,0,0,0,1,0,0,1048576,-1,0,0,1
123,142,1,0,0,121,2,0,0,1,0,0,1,0,0,1048576,-1,0,0,1
141,161,0,0,0,141,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
142,162,0,0,0,142,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
161,181,0,0,0,161,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
162,182,0,0,0,162,0,0,0,1,0,0,1,32,0,0,-1,0,0,1
163,183,0,0,0,162,0,0,0,0,0,0,1,0,0,262144,-1,0,0,1
164,183,1,0,0,162,2,0,0,1,0,0,1,32,0,524288,-1,0,0,1
165,184,0,202,0,163,0,0,0,1,0,0,1,0,0,8192,-1,0,0,1
166,185,0,201,0,163,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
167,185,1,202,0,163,2,0,0,1,0,0,1,0,0,8192,-1,0,0,1
168,186,0,127,0,165,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
169,186,1,224,0,164,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
181,201,0,127,0,181,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
182,202,0,188,0,182,0,0,0,1,0,0,1,0,0,0,-1,0,0,1
183,203,0,50,0,182,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
185,204,0,189,0,405,0,0,0,0,0,0,1,0,0,4096,-1,0,0,1
186,205,0,0,0,183,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
187,206,0,0,0,184,0,0,0,1,0,0,1,32,0,0,-1,0,0,1
201,221,0,0,0,201,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
202,221,1,0,0,201,2,0,0,1,0,0,1,32,0,8192,-1,0,0,1
203,222,0,0,0,202,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
204,222,1,0,0,202,2,0,0,1,0,0,1,32,0,8192,1,0,0,1
205,223,0,0,0,203,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
206,223,1,0,0,203,2,0,0,1,0,0,1,32,0,8192,-1,0,0,1
207,224,0,0,0,202,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
208,224,1,0,0,202,2,0,0,1,0,0,1,32,0,8192,-1,0,0,1
209,224,2,0,0,241,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
210,224,3,0,0,241,2,2,0,1,0,0,1,32,0,8192,-1,0,0,1
211,225,0,0,0,221,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
212,226,0,0,0,222,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
213,227,0,0,0,223,0,0,0,1,0,0,1,32,0,0,-1,0,0,1
214,228,0,0,0,224,0,0,0,1,0,0,1,32,0,0,-1,0,0,1
221,241,0,0,0,261,0,0,0,0,0,0,1,1,0,0,-1,0,0,1
222,241,1,464,0,262,2,0,0,0,0,0,1,0,0,0,-1,0,0,1
241,261,0,0,0,281,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
261,281,0,0,0,301,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
281,301,0,0,0,321,0,0,0,1,0,0,1,32,0,65536,-1,0,0,1
619,530,0,224,0,367,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
1870,1194,0,0,0,594,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
1902,1206,0,0,0,597,0,0,0,1,0,0,1,32,0,0,-1,0,0,1
1903,1207,0,0,0,596,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
2012,1254,0,127,0,341,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
2201,1349,0,0,0,261,0,0,0,0,0,0,1,1,0,0,-1,0,0,1
2202,1349,1,464,0,661,2,0,0,0,0,0,1,0,0,0,-1,0,0,1
2218,1357,0,0,0,663,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
2219,1358,0,0,0,662,0,0,0,1,0,0,1,32,0,0,-1,0,0,1
2220,1359,0,0,0,597,0,0,0,1,0,0,1,32,0,0,-1,0,0,1
2221,1360,0,0,0,596,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
2572,1564,0,95,0,341,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
2588,1576,0,149,0,685,0,0,0,1,0,0,1,0,0,0,-1,0,0,1
2589,1577,0,145,0,687,0,0,0,0,0,0,1,1280,0,0,-1,0,0,1
2598,1584,0,0,0,689,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
2599,1585,0,148,0,688,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
2603,1589,0,157,0,690,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
2604,1590,0,147,0,685,0,0,0,1,0,0,1,0,0,0,-1,0,0,1
2605,1591,0,151,0,685,0,0,0,1,0,0,1,0,0,0,-1,0,0,1
2606,1592,0,146,0,688,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
2607,1593,0,150,0,688,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
2608,1594,0,152,0,688,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
3072,1823,0,0,0,343,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
3073,1823,1,158,0,343,2,0,0,1,0,0,1,0,0,0,-1,0,0,1
3074,1824,0,159,0,343,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
3227,1893,0,157,0,690,0,0,0,1,0,0,1,0,0,0,-1,0,0,1
3642,2094,0,0,0,707,0,0,0,1,0,0,1,32,0,73728,-1,0,0,1
3691,2127,0,0,0,714,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
3692,2128,0,0,0,695,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
3693,2129,0,0,0,366,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
3694,2130,0,0,0,363,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3695,2131,0,0,0,348,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4984,2813,0,0,0,343,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
6344,3566,0,37,0,361,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
6345,3566,1,38,0,361,2,0,0,1,0,0,1,0,0,0,-1,0,0,1
6346,3567,0,39,0,827,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
6514,3644,0,0,0,341,0,0,0,0,0,0,0.5,0,0,0,-1,0,0,1
7360,4039,0,0,0,361,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7515,4113,0,157,0,759,0,0,0,1,0,0,1,16,0,0,-1,0,0,1
8291,4536,0,0,0,102,0,0,0,1,0,0,1,3874,0,0,-1,0,0,1
8292,4537,0,0,0,102,0,0,0,1,0,0,1,3874,1,0,-1,0,0,1
8293,4538,0,0,0,102,0,0,0,1,0,0,1,3874,2,0,-1,0,0,1
8294,4539,0,0,0,102,0,0,0,1,0,0,1,3874,3,0,-1,0,0,1
9672,5102,0,0,0,815,0,0,0,0,0,0,1,0,0,8192,0,0,0,1
9676,5104,0,0,0,816,0,0,0,0,0,0,1,0,0,8192,0,0,0,1
12011,6236,0,69,0,410,0,0,0,0,0,0,1,2,0,0,0,0,0,1
12012,6236,1,69,0,774,0,0,0,0,0,0,1,2,0,0,1,0,0,1
12020,6236,2,120,0,341,0,0,0,0,0,0,1,0,0,0,2,0,0,1
17544,9179,0,0,0,901,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
18618,9773,0,0,0,893,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
19526,10298,0,1002,0,894,0,0,0,3,0,400,1,0,0,16777216,-1,0,0,1
19527,10298,1,1002,0,893,0,0,0,0,0,0,1,0,0,16777216,-1,0,0,1
22243,11718,0,148,0,366,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
22244,11718,1,149,0,367,2,0,0,0,0,0,1,0,0,0,1,0,0,1
22393,11806,0,0,0,1017,0,0,0,1,0,0,1,256,0,0,0,250,0,1
25165,13191,0,0,0,21,0,0,0,0,0,0,1,2,0,65536,-1,0,0,1
25166,13191,1,0,0,21,2,0,0,1,0,0,1,34,0,8192,-1,0,0,1
25182,13199,0,69,0,341,0,0,0,0,0,0,1,6,0,0,0,0,0,1
25183,13199,1,69,120,412,0,0,0,0,0,0,0,6,0,0,0,0,0,1
