ID,SrcAnimID,DstAnimID,ConditionalFlags,ParentAnimReplacementSetID
1,0,126,0,1
2,5,126,0,1
3,17,126,0,1
4,85,126,0,1
5,18,126,0,1
21,19,126,0,1
22,86,126,0,1
101,0,474,0,41
102,126,69,0,41
121,0,120,0,61
122,5,223,0,61
123,4,119,0,61
124,107,56,0,62
125,45,193,0,63
126,41,193,0,63
127,524,193,0,63
128,526,193,0,63
132,42,193,0,63
133,109,580,0,64
134,105,578,0,64
135,46,582,0,64
136,29,576,0,64
137,0,69,0,64
138,4,119,0,65
139,0,120,0,65
140,5,223,0,65
141,143,524,0,66
142,5,524,0,66
143,4,526,0,66
144,0,25,0,67
145,5,4,0,68
146,143,4,0,68
147,187,4,0,68
148,13,12,0,68
149,135,470,0,69
150,0,120,0,70
151,5,213,0,70
152,143,213,0,70
153,150,6,0,71
154,0,154,0,71
155,4,213,0,72
156,5,214,0,72
157,458,131,0,73
158,233,132,0,73
159,234,132,0,73
160,42,132,0,73
161,193,132,0,73
162,464,132,0,73
163,6,0,0,74
170,1,0,0,74
171,466,0,0,74
172,467,0,0,74
173,468,0,0,74
174,472,0,0,74
175,0,484,0,75
176,4,119,0,76
177,0,120,0,76
178,5,223,0,76
179,143,223,0,61
180,145,148,0,77
181,135,193,0,78
182,42,193,0,78
183,41,193,0,78
184,93,11,0,79
185,92,12,0,79
186,0,42,0,80
187,13,45,0,80
188,93,43,0,80
189,92,44,0,80
190,5,524,0,80
191,143,530,0,80
192,4,526,0,80
193,193,132,0,81
194,1,132,0,81
195,467,132,0,81
196,193,135,0,82
208,0,144,0,91
209,45,193,0,92
210,41,193,0,92
211,524,193,0,92
212,526,193,0,92
213,42,193,0,92
214,5,193,0,92
215,4,193,0,92
216,143,193,0,92
217,200,193,0,92
218,39,193,0,92
219,187,193,0,92
220,40,193,0,92
897,135,193,0,92
898,42,193,0,99
899,135,193,0,99
900,458,213,0,100
901,464,214,0,100
903,41,0,0,101
904,42,4,0,101
905,524,5,0,101
910,532,0,0,101
911,544,4,0,101
912,540,5,0,101
913,0,193,0,78
914,11,193,0,78
915,542,4,0,101
916,37,215,0,104
917,38,214,0,104
918,39,213,0,104
919,57,217,0,104
923,0,218,0,104
929,26,476,0,111
930,94,69,0,112
931,94,213,0,113
932,0,120,0,114
933,5,223,0,114
934,4,119,0,114
935,143,223,0,114
941,16,672,0,115
942,117,674,0,115
943,20,676,0,115
944,25,678,0,115
945,118,680,0,115
949,16,682,0,116
950,117,684,0,116
951,20,686,0,116
952,25,688,0,116
953,118,690,0,116
954,16,692,0,117
955,117,692,0,117
956,20,696,0,117
957,25,698,0,117
958,118,700,0,117
1347,94,0,0,140
1356,4,526,0,145
1357,143,530,0,145
1358,5,524,0,145
1359,16,9,0,146
1360,40,4,0,146
1361,229,234,0,147
1362,0,234,0,147
1363,193,234,0,147
1372,4,126,0,152
1373,5,126,0,152
1374,143,126,0,152
1375,13,126,0,152
1376,40,126,0,152
1377,17,482,0,111
1378,193,0,0,153
1379,135,0,0,153
1381,245,411,0,154
1382,16,411,0,154
1393,5,4,0,161
1394,85,482,0,162
1395,26,652,0,162
1398,21,477,0,162
1399,30,94,0,162
1403,4,120,0,166
1404,13,120,0,166
1405,5,120,0,166
1406,93,120,0,166
1407,92,120,0,166
1408,143,120,0,166
1409,11,0,0,166
1410,12,0,0,166
1411,0,4,0,167
1412,5,4,0,167
1413,0,217,0,168
1414,0,28,0,169
1415,135,4,0,170
1416,42,4,0,171
1422,5,4,0,175
1427,41,25,0,176
1428,42,4,0,176
1429,524,5,0,176
1430,532,25,0,176
1431,544,4,0,176
1432,540,5,0,176
1433,542,4,0,176
1435,4,119,0,177
1436,5,223,0,177
1438,28,688,0,116
1439,0,25,0,178
1440,0,193,0,179
1441,4,13,0,180
1442,5,13,0,180
1443,143,13,0,180
1444,13,4,0,180
1446,25,108,0,182
1447,5,622,0,183
1448,0,120,0,184
1449,4,119,0,184
1450,5,223,0,184
1451,143,223,0,184
1452,11,120,0,184
1453,12,120,0,184
1454,53,722,0,117
1455,124,726,0,117
1456,4,143,0,185
1457,0,110,0,186
1458,11,110,0,186
1459,12,110,0,186
1460,16,692,0,187
1461,117,694,0,187
1462,20,696,0,187
1463,25,698,0,187
1464,118,700,0,187
1465,53,722,0,187
1466,124,726,0,187
1467,25,69,0,188
1468,0,69,0,188
1469,2,69,0,188
1472,143,4,0,189
1473,5,4,0,189
1474,124,135,0,190
1475,0,69,0,191
1476,0,68,0,192
1477,0,73,0,193
1478,0,81,0,194
1479,0,70,0,195
1480,0,80,0,196
1481,5,622,0,197
1482,38,638,0,197
1483,39,642,0,197
1484,37,640,0,197
1485,187,644,0,197
1486,0,186,0,198
1487,0,77,0,199
1488,0,26,0,200
1489,16,32,0,201
1490,0,51,0,201
1491,125,728,0,117
1492,54,724,0,117
1495,40,648,0,204
1496,0,618,0,204
1497,38,638,0,204
1498,39,642,0,204
1499,187,644,0,204
1500,37,640,0,204
1501,5,622,0,204
1502,11,630,0,204
1503,12,632,0,204
1504,94,636,0,204
1505,143,624,0,204
1506,4,620,0,204
1507,13,634,0,204
1508,72,732,0,205
1509,97,732,0,205
1510,0,193,0,206
1512,245,16,0,207
1513,0,120,0,208
1514,4,119,0,208
1515,5,143,0,208
1516,69,0,0,208
1517,0,120,0,209
1518,4,119,0,209
1519,5,143,0,209
1520,69,186,0,209
1521,77,186,0,209
1522,79,186,0,209
1523,76,186,0,209
1524,70,186,0,209
1525,38,730,0,208
1526,678,698,0,210
1527,672,692,0,210
1528,674,694,0,210
1529,229,193,0,211
1530,548,5,0,212
1531,558,143,0,212
1533,135,193,0,211
1534,25,108,0,214
1535,26,108,0,214
1536,27,108,0,214
1537,193,25,0,176
1538,229,25,0,176
1539,422,25,0,176
1540,187,120,0,166
1541,0,135,0,215
1542,464,135,0,215
1543,5,135,0,215
1544,193,135,0,215
1545,556,135,0,216
1546,548,193,0,216
1551,554,135,0,216
1552,552,135,0,216
1553,562,135,0,216
1554,558,135,0,216
1555,127,148,0,217
1556,0,149,0,217
1557,4,0,0,218
1558,193,0,0,218
1559,9,0,0,218
1560,5,0,0,218
1561,135,0,0,218
1562,1,360,0,219
1563,6,361,0,219
1564,0,193,0,219
1565,3,193,0,219
1566,11,193,0,219
