ID,Description_lang,WorldStateValue,IconEnumValue,UiTextureAtlasMemberID,AreaPoiID
3611,Contested,2,34,0,8768
3612,Contested,3,32,0,8768
3613,Horde Controlled,4,35,0,8768
3614,Alliance Controlled,5,33,0,8768
3615,Contested,2,219,0,8771
3616,Contested,3,218,0,8771
3617,Horde Controlled,4,216,0,8771
3618,Alliance Controlled,5,215,0,8771
3619,Contested,2,154,0,8772
3620,Contested,3,152,0,8772
3621,Horde Controlled,4,153,0,8772
3622,Alliance Controlled,5,151,0,8772
3623,Contested,2,149,0,8773
3624,Contested,3,147,0,8773
3625,Horde Controlled,4,148,0,8773
3626,Alliance Controlled,5,146,0,8773
3627,,0,45,0,8774
3628,,1,45,0,8774
3815,,0,0,0,1623
3816,In Conflict,1,24,0,1623
