DisplayPos[0],DisplayPos[1],ID,ArtifactID,MaxPurchasableRank,Label,Flags,Tier
0.062006116,0.35808128,1,1,0,0,18,0
0.0940403,0.562469,2,1,1,0,0,0
0.6433217,0.35881963,3,0,0,0,0,1
0.5270079,0.86169547,4,1,1,0,0,0
0.66386455,0.7474827,5,1,1,0,1,0
0.19205807,0.7928608,6,1,1,0,32,0
0.11160714,0.8130081,7,1,50,0,4,0
0.22321428,0.24390244,8,1,1,0,0,0
0.59512705,0.23917437,9,1,3,0,0,0
0.4884752,0.48057434,10,1,1,0,5,1
0.61383927,0.4878049,11,1,1,0,1,0
0.58116937,0.31717938,40,2,0,0,18,0
0.3663153,0.7425578,41,2,3,4,32,0
0.2859334,0.5621215,42,2,3,5,32,0
0.53490347,0.48743045,43,2,3,6,32,0
0.28016624,0.8443667,44,2,3,11,32,0
0.18106106,0.5442738,47,2,3,12,32,0
0.17924565,0.8821597,49,2,1,1,1,0
0.37287655,0.48803595,50,2,3,8,32,0
0.7596623,0.5007063,51,2,3,9,32,0
0.69983006,0.37181512,52,2,3,10,32,0
0.21970744,0.72199166,53,2,3,7,32,0
0.08778986,0.61245924,54,2,1,2,1,0
0.435674,0.38592497,72,4,3,4,32,0
0.3179988,0.3884472,73,4,1,1,1,0
0.4463748,0.8818919,74,4,3,5,32,0
0.2150469,0.19655024,75,4,3,6,32,0
0.6136549,0.7120849,77,4,3,8,32,0
0.45626226,0.5219092,78,4,1,0,0,0
0.51539433,0.6093937,79,4,3,10,32,0
0.3333895,0.72803545,80,4,1,3,1,0
0.28375745,0.5528957,81,4,3,9,32,0
0.41400528,0.7277431,82,4,3,7,32,0
0.70985895,0.44950512,83,4,3,11,32,0
0.27364647,0.92208576,84,4,3,12,32,0
0.54656464,0.48902458,86,4,1,2,1,0
0.3662834,0.61806184,87,4,1,0,0,0
0.3915017,0.74382794,91,11,0,0,18,0
0.4035028,0.5973574,92,11,1,1,1,0
0.66757864,0.3899608,93,11,1,2,1,0
0.19123697,0.30311713,94,11,1,3,1,0
0.25984952,0.62983805,95,11,3,4,32,0
0.30519632,0.7872508,96,11,3,5,32,0
0.32427824,0.28096294,97,11,1,0,0,0
0.21785206,0.44966894,98,11,3,6,32,0
0.4146741,0.4603379,99,11,3,7,32,0
0.6117751,0.52137774,100,11,3,8,32,0
0.53654695,0.69255966,101,11,3,9,32,0
0.4621212,0.82513624,102,11,3,10,32,0
0.4278573,0.28787568,103,11,1,0,0,0
0.53976667,0.32262403,104,11,1,0,0,0
0.2952813,0.4337152,105,11,3,11,32,0
0.5366019,0.4842737,106,11,3,12,32,0
0.41018435,0.76729184,108,12,3,4,32,0
0.253722,0.26242772,109,12,3,6,32,0
0.32026815,0.47805172,110,12,3,5,32,0
0.5063893,0.6986907,111,12,3,10,32,0
0.08163515,0.468046,113,12,3,8,32,0
0.22436064,0.6058564,114,12,3,9,32,0
0.45251596,0.50767237,115,12,3,11,32,0
0.34950295,0.9297139,117,12,3,7,32,0
0.10381392,0.66996974,119,12,1,0,0,0
0.3355669,0.6370743,120,12,1,0,0,0
0.063282095,0.2140862,122,12,0,1,18,0
0.20297623,0.43334645,123,12,1,2,1,0
0.4737383,0.9276418,124,12,1,3,1,0
0.22333738,0.67307097,125,13,0,0,18,0
0.53242415,0.28709555,126,13,1,1,1,0
0.5776744,0.56549,127,13,1,2,1,0
0.3464017,0.8589889,128,13,1,3,1,0
0.27930996,0.32759476,129,13,1,0,0,0
0.31531298,0.6950069,130,13,3,4,32,0
0.31765947,0.5549505,131,13,3,5,32,0
0.3771288,0.27535287,132,13,3,6,32,0
0.1776457,0.9396807,133,13,3,7,32,0
0.43485245,0.36569154,134,13,3,8,32,0
0.2051076,0.54426146,135,13,3,9,32,0
0.5208998,0.42977482,136,13,3,10,32,0
0.23509379,0.7977582,137,13,3,11,32,0
0.31258002,0.42093587,138,13,1,0,0,0
0.40308625,0.4715962,139,13,1,0,0,0
0.17950179,0.4290943,140,13,3,12,32,0
0.4936235,0.5741436,149,16,0,0,18,0
0.659311,0.5048971,150,16,1,1,1,0
0.59516233,0.378368,151,16,1,2,1,0
0.11481348,0.9257972,152,16,1,3,1,0
0.27642605,0.7596936,153,16,1,0,0,0
0.56659377,0.50406647,154,16,1,0,0,0
0.7470954,0.4286345,156,16,3,4,32,0
0.317904,0.5866828,157,16,3,5,32,0
0.44887388,0.4472215,158,16,3,6,32,0
0.6086785,0.24114794,262,16,3,11,32,0
0.6959608,0.30419892,263,16,1,0,0,0
0.17566411,0.74859333,264,16,3,7,32,0
0.55771613,0.66565436,265,16,3,8,32,0
0.25427768,0.9007516,266,16,3,9,32,0
0.7463361,0.58828527,267,16,3,12,32,0
0.33329302,0.74413735,272,15,3,4,32,0
0.2171803,0.32413846,273,15,3,5,32,0
0.5984948,0.31837714,274,15,3,6,32,0
0.21929812,0.86047316,275,15,3,7,32,0
0.59945333,0.8590848,276,15,3,8,32,0
0.5091437,0.3744903,277,15,3,9,32,0
0.4036961,0.803904,278,15,3,10,32,0
0.30544826,0.37739736,279,15,3,11,32,0
0.482263,0.7434507,280,15,3,12,32,0
0.4758919,0.53064305,281,15,1,0,0,0
0.40578103,0.6859383,282,15,1,0,0,0
0.33648303,0.5293232,283,15,1,0,0,0
0.6748071,0.59875125,284,15,1,1,1,0
0.40292603,0.9248117,285,15,1,2,1,0
0.13492133,0.601494,286,15,1,3,1,0
0.409936,0.4393932,289,15,0,0,18,0
0.5982555,0.9283418,290,4,0,0,18,0
0.5901816,0.46485838,291,40,0,0,18,0
0.50814825,0.51785827,292,40,1,0,0,0
0.6347773,0.6930322,293,40,1,0,0,0
0.51607823,0.31401205,294,40,1,0,0,0
0.27601457,0.79952055,295,40,1,1,1,0
0.32229277,0.6554403,296,40,1,2,1,0
0.2213708,0.6137663,297,40,1,3,1,0
0.10127632,0.9022561,298,40,3,4,32,0
0.26055828,0.45895517,299,40,3,5,32,0
0.38588268,0.86483765,300,40,3,6,32,0
0.63146573,0.25563875,301,40,3,7,32,0
0.413416,0.41585368,302,40,3,11,32,0
0.40873355,0.5957915,303,40,3,8,32,0
0.75159156,0.5783148,304,40,3,9,32,0
0.5105476,0.71739227,305,40,3,12,32,0
0.049307954,0.7297841,306,40,3,10,32,0
0.55139196,0.7217491,307,55,0,0,18,0
0.2941339,0.9036084,308,55,1,0,0,0
0.7438454,0.53083116,309,55,1,0,0,0
0.5002297,0.6346941,310,55,1,0,0,0
0.75685704,0.26011345,311,55,1,1,1,0
0.31835794,0.7764669,312,55,3,4,32,0
0.24892223,0.63193136,313,55,3,5,32,0
0.69914323,0.6866589,314,55,3,6,32,0
0.46610507,0.8825859,315,55,3,7,32,0
0.18742874,0.8878192,316,55,3,11,32,0
0.7596589,0.40602827,317,55,3,12,32,0
0.56842476,0.34698915,318,55,3,8,32,0
0.57240564,0.4748194,319,55,3,9,32,0
0.33883294,0.6527313,320,55,3,10,32,0
0.07920631,0.8608368,321,55,1,2,1,0
0.67511964,0.44154462,322,55,1,3,1,0
0.35035062,0.43216497,323,43,3,4,32,0
0.59890574,0.46862933,324,43,3,5,32,0
0.056904115,0.55881333,325,43,3,6,32,0
0.16979234,0.7396711,326,43,3,11,32,0
0.3588839,0.5930546,327,43,3,7,32,0
0.039424006,0.74411124,328,43,3,8,32,0
0.20043585,0.44920024,329,43,3,12,32,0
0.18526785,0.56585366,330,43,3,9,32,0
0.4653733,0.6108806,331,43,3,10,32,0
0.27664793,0.45924407,332,43,1,0,0,0
0.2557755,0.62458575,333,43,1,0,0,0
0.5199187,0.5265783,334,43,1,0,0,0
0.61021256,0.3171374,335,43,1,0,1,0
0.11670532,0.41239744,337,43,1,0,1,0
0.49443704,0.35045978,346,43,0,0,18,0
0.11732022,0.89671373,347,43,1,0,1,0
0.5607515,0.62223274,350,2,1,0,0,0
0.6279288,0.48167315,351,2,1,0,0,0
0.38805842,0.615963,352,2,1,0,0,0
0.7331536,0.18537809,353,2,1,3,1,0
0.2813965,0.72180396,748,54,0,0,18,0
0.53584343,0.39770508,749,54,3,4,32,0
0.5688378,0.5350882,750,54,3,5,32,0
0.42631304,0.34542367,751,54,3,10,32,0
0.55081,0.27701893,752,54,3,6,32,0
0.23304497,0.54393125,753,54,3,7,32,0
0.40566432,0.8128779,754,54,3,8,32,0
0.20582211,0.8274146,755,54,3,9,32,0
0.32135656,0.42303365,756,54,3,11,32,0
0.49202234,0.6727619,757,54,3,12,32,0
0.6351691,0.3745885,758,54,1,0,0,0
0.29179436,0.88995254,759,54,1,0,0,0
0.16927366,0.68924147,760,54,1,0,0,0
0.67768794,0.21508737,761,54,1,1,1,0
0.12898836,0.926438,762,54,1,2,1,0
0.44386712,0.51392215,763,54,1,3,1,0
0.34230086,0.59537023,764,47,0,0,18,0
0.4924404,0.38298693,765,47,1,0,0,0
0.26662275,0.5720398,766,47,1,0,0,0
0.42414477,0.44341534,767,47,3,4,32,0
0.15400484,0.88205916,768,47,1,1,1,0
0.62194806,0.3307685,769,47,1,2,1,0
0.7509629,0.5850318,770,47,1,3,1,0
0.57236725,0.44725087,771,47,3,11,32,0
0.664721,0.47307068,772,47,3,5,32,0
0.34319133,0.33185166,773,47,3,6,32,0
0.48229286,0.5039265,774,47,3,7,32,0
0.22689533,0.6858538,775,47,3,12,32,0
0.45634702,0.28591642,776,47,3,10,32,0
0.08437297,0.76411915,777,47,3,8,32,0
0.3518196,0.8027222,778,47,3,9,32,0
0.26769033,0.890367,779,47,1,0,0,0
0.058533456,0.8866159,783,53,0,0,18,0
0.58624107,0.50079733,784,53,3,4,32,0
0.61427414,0.26323,785,53,3,5,32,0
0.1364006,0.63744706,786,53,3,6,32,0
0.674382,0.37059054,787,53,3,7,32,0
0.4588061,0.48222756,788,53,3,8,32,0
0.49041867,0.29917967,789,53,3,9,32,0
0.24285704,0.85484517,790,53,3,10,32,0
0.30603462,0.49795562,791,53,3,11,32,0
0.3987364,0.67360795,792,53,3,12,32,0
0.36802375,0.84934616,793,53,1,0,0,0
0.18805416,0.48518974,794,53,1,0,0,0
0.56500125,0.3738947,795,53,1,0,0,0
0.52677333,0.6295435,796,53,1,1,1,0
0.38965183,0.3419668,797,53,1,2,1,0
0.7465695,0.2242733,798,53,1,3,1,0
0.6005847,0.85640365,800,50,3,4,32,0
0.15519878,0.79284585,801,50,3,11,32,0
0.51577955,0.4487541,803,38,0,0,18,0
0.33021685,0.5276599,804,38,3,4,32,0
0.19411491,0.7799872,805,38,3,5,32,0
0.22250743,0.6501985,806,38,3,6,32,0
0.45887268,0.28472435,807,38,3,7,32,0
0.29248834,0.7829404,808,38,3,8,32,0
0.60654724,0.5790252,809,38,3,9,32,0
0.3988301,0.67116296,810,38,3,10,32,0
0.37367463,0.32334086,811,38,3,11,32,0
0.54824317,0.67923087,812,38,3,12,32,0
0.2673224,0.4316345,813,38,1,0,0,0
0.312743,0.6543196,814,38,1,0,0,0
0.44737354,0.79434425,815,38,1,0,0,0
0.11307453,0.86642706,816,38,1,1,1,0
0.5632997,0.29681805,817,38,1,2,1,0
0.6262681,0.42453057,818,38,1,3,1,0
0.30466744,0.5493867,820,50,3,5,32,0
0.72542584,0.43278572,821,50,3,6,32,0
0.20499809,0.6503214,822,50,3,7,32,0
0.49547637,0.36516362,824,50,3,8,32,0
0.26143602,0.8903864,825,50,3,9,32,0
0.40563744,0.4553123,826,50,1,0,0,0
0.43144146,0.90535355,827,50,1,0,0,0
0.6998015,0.6505115,828,50,1,0,0,0
0.68991077,0.26477453,829,50,3,12,32,0
0.28779396,0.72236854,830,50,1,1,1,0
0.49639037,0.64070636,831,50,0,0,18,0
0.6129567,0.42790297,832,50,1,2,1,0
0.55314034,0.75333273,833,50,1,3,1,0
0.5158157,0.7670916,834,45,0,0,18,0
0.52168435,0.50445575,835,45,1,1,1,0
0.32756722,0.69837373,836,45,1,2,1,0
0.3091805,0.38930413,837,45,1,3,1,0
