ID,SpellID,AssistedCombatID,OrderIndex
9,703,4,21
21,1943,4,28
23,121411,4,27
29,1752,4,29
34,385627,4,32
76,5938,4,30
87,196819,4,34
101,1752,4,38
112,8676,4,35
114,51723,4,36
186,439843,22,6
202,185565,4,39
223,207230,22,7
225,49020,22,8
226,196770,22,9
239,49184,22,11
241,194913,22,13
242,343294,22,12
243,49143,22,14
244,49020,22,16
245,49143,22,18
246,49184,22,19
247,188443,25,1
248,470411,25,2
250,51505,25,4
251,188196,25,5
252,228920,26,1
281,436358,26,2
282,435222,26,3
283,23922,26,4
291,57755,26,11
292,6343,26,5
293,6572,26,6
294,163201,26,8
297,20243,26,10
300,6343,28,0
301,772,28,1
302,260708,28,2
304,228920,28,3
305,167105,28,4
307,436358,28,7
308,227847,28,8
309,12294,28,11
310,7384,28,9
312,163201,28,12
315,1464,28,14
317,57755,28,15
318,184367,29,2
319,6343,29,3
328,385059,29,4
329,6343,29,5
330,190411,29,6
332,227847,29,7
334,184367,29,8
335,5308,29,9
338,6343,29,10
339,85288,29,11
340,23881,29,12
341,6343,29,13
342,1464,29,14
343,23881,29,16
344,57755,29,15
446,88625,36,2
447,8092,36,0
448,132157,36,1
449,585,36,5
450,8092,36,3
451,132157,36,4
457,589,44,1
458,132157,44,5
459,47540,44,3
460,8092,44,2
461,32379,44,4
462,585,44,6
463,585,44,0
466,357208,45,0
467,361469,45,1
468,388193,46,2
469,107428,46,4
470,101546,46,8
471,100784,46,6
472,100780,46,9
473,117952,46,10
474,117952,46,1
552,26573,51,0
553,275773,51,1
554,24275,51,2
555,24275,51,3
556,24275,51,4
557,35395,51,6
559,24275,51,5
560,26573,51,7
561,1079,52,0
562,22568,52,1
564,106830,52,2
566,106785,52,3
567,5221,52,5
568,1822,52,4
570,8921,52,7
572,93402,52,6
574,197628,52,9
575,197626,52,8
576,5176,52,10
697,27243,60,4
699,27243,60,5
701,172,60,6
703,172,60,7
711,1259790,60,9
712,980,60,8
717,48181,60,12
719,1259790,60,15
722,1259790,60,17
723,686,60,19
724,61882,61,13
725,462620,61,14
726,61882,61,15
727,462620,61,16
728,117014,61,18
729,8042,61,19
730,191634,61,8
733,188196,61,21
736,188443,61,22
737,188196,61,23
740,470411,61,9
742,51505,61,28
743,188443,61,25
744,188196,61,30
829,152108,66,3
830,5740,66,10
831,1214467,66,11
832,116858,66,16
833,172,66,5
835,172,66,4
838,17877,66,13
840,17962,66,14
842,17962,66,19
843,686,66,20
844,1227280,67,2
846,232698,67,0
847,120644,67,11
849,335467,67,9
850,335467,67,10
851,34914,67,3
853,589,67,4
950,444995,73,3
967,375982,73,11
968,470411,73,9
970,60103,73,10
971,197214,73,13
972,384352,73,4
973,188196,73,7
975,188443,73,14
977,188196,73,16
979,187874,73,18
983,60103,73,19
984,17364,73,22
985,60103,73,23
986,470411,73,24
987,196840,73,25
1062,34433,67,15
1063,8092,67,13
1064,263165,67,20
1065,335467,67,7
1066,8092,67,17
1067,32379,67,21
1068,32379,67,22
1069,15407,67,24
1130,228260,67,14
1155,190356,85,1
1156,84714,85,0
1159,199786,85,3
1160,44614,85,4
1163,30455,85,6
1164,30455,85,7
1165,116,85,8
1166,439843,86,4
1167,195182,86,7
1168,343294,86,8
1169,274156,86,11
1170,43265,86,2
1171,343294,86,12
1172,50842,86,15
1173,49998,86,13
1174,206931,86,14
1175,316239,86,16
1176,316239,86,10
1177,316239,86,9
1220,77575,89,1
1222,1233448,89,4
1223,55090,89,14
1228,47541,89,12
1229,207317,89,13
1230,47541,89,18
1231,316239,89,17
1232,343294,89,9
1233,55090,89,16
1234,93402,90,1
1235,8921,90,4
1236,202347,90,2
1237,191034,90,18
1238,205636,90,3
1239,78674,90,19
1240,202770,90,15
1243,274281,90,22
1244,88747,90,21
1245,190984,90,27
1247,194153,90,24
1248,194153,90,26
1417,395152,104,1
1418,409311,104,0
1419,357208,104,4
1420,396286,104,5
1421,356995,104,10
1422,360827,104,7
1423,361469,104,11
1424,357208,105,1
1425,359073,105,4
1426,356995,105,6
1427,357211,105,7
1428,361469,105,9
1430,362969,105,10
1431,356995,105,11
1432,361469,105,12
1478,106832,111,3
1479,5487,111,0
1480,8921,111,6
1481,33917,111,8
1482,6807,111,11
1483,106832,111,9
1484,213771,111,12
1485,8921,111,10
1486,204066,111,4
1487,6807,111,7
1527,285381,115,3
1528,22568,115,9
1529,22568,115,10
1530,768,115,0
1531,391888,115,11
1533,274837,115,12
1534,106832,115,18
1535,1822,115,19
1536,8921,115,20
1537,106785,115,22
1538,5221,115,24
1639,343527,117,1
1641,255937,117,2
1642,85256,117,5
1643,184575,117,7
1644,53385,117,4
1645,255937,117,8
1648,85256,117,3
1649,375576,117,9
1650,53385,117,11
1651,375576,117,10
1652,184575,117,12
1654,35395,117,14
1655,20271,117,15
2004,1079,115,6
2117,191034,90,11
2118,78674,90,12
2212,24858,90,0
2384,1247378,89,11
2530,1680,28,6
2629,6572,26,9
2654,191034,90,16
2773,78674,90,17
2995,5143,209,9
2999,44425,209,11
3000,1449,209,13
3002,153626,209,5
3028,153626,209,6
3037,44425,209,0
3046,5143,209,7
3047,5143,209,8
3048,108853,215,5
3049,2120,215,9
3050,257541,215,8
3051,11366,215,10
3052,153561,215,0
3054,11366,215,3
3055,2948,215,13
3056,133,215,16
3059,2948,215,14
3455,980,60,3
3520,6353,66,12
3587,2823,4,1
3653,46585,89,0
3673,85256,117,6
4014,30146,272,0
4017,264119,272,2
4018,104316,272,3
4147,105174,272,4
4151,264178,272,7
4152,264130,272,8
4153,686,272,9
4156,686,272,5
4174,388193,46,3
4175,101546,46,7
4370,107428,46,5
4444,35395,117,16
4612,387174,323,2
4613,378974,323,3
4614,26573,323,4
4616,31935,323,9
4617,24275,323,10
4618,275779,323,11
4619,375576,323,7
4620,375576,323,8
4621,35395,323,12
4622,26573,323,13
4623,1214909,327,8
4624,13877,327,9
4625,51690,327,12
4626,322109,324,0
4627,205523,324,1
4628,123986,324,4
4629,121253,324,3
4630,115181,324,5
4631,325153,324,7
4632,107428,324,8
4633,116847,324,9
4634,322729,324,10
4635,100780,324,11
4636,100780,324,2
4639,392983,325,1
4640,101546,325,5
4641,117952,325,7
4642,113656,325,9
4643,107428,325,10
4644,152175,325,8
4645,100784,325,11
4647,101546,325,13
4648,461404,325,12
4677,100784,325,15
4678,100780,325,16
4679,117952,325,18
4689,388193,325,14
4756,100780,325,6
4793,315341,327,13
4797,315341,327,14
4798,315341,327,15
4802,315341,327,16
4803,315341,327,17
4816,196937,327,18
4817,196819,327,20
4818,8676,327,21
4819,185763,327,22
4820,193315,327,23
4821,185763,327,24
4828,271877,327,19
4829,315584,326,1
4830,384631,326,7
4831,212283,326,8
