Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
Weapons,iLvl,1,3,0,13,100,0,0,1
One-Handed,iLvl,2,0,0,0,10,1,0,1
One-Handed Axes,iLvl,3,3,3,0,10,2,0,1
One-Handed Maces,iLvl,4,3,7,0,20,2,0,1
One-Handed Swords,iLvl,5,3,10,0,30,2,0,1
Warglaives,iLvl,6,3,12,0,40,2,0,1
Daggers,iLvl,7,3,18,0,50,2,0,1
Fist Weapons,iLvl,8,3,16,0,60,2,0,1
Wands,iLvl,9,3,56,0,70,2,0,1
Two-Handed,iLvl,10,0,0,0,20,1,0,1
Two-Handed Axes,iLvl,11,3,4,0,10,10,0,1
Two-Handed Maces,iLvl,12,3,8,0,20,10,0,1
Two-Handed Swords,iLvl,13,3,11,0,30,10,0,1
Polearms,iLvl,14,3,9,0,40,10,0,1
Staves,iLvl,15,3,13,0,50,10,0,1
Ranged,iLvl,16,0,0,0,30,1,0,1
Bows,iLvl,17,3,5,0,10,16,0,1
Crossbows,iLvl,18,3,55,0,20,16,0,1
Guns,iLvl,19,3,6,0,30,16,0,1
Thrown,iLvl,20,3,34,0,40,16,0,1
Miscellaneous,iLvl,21,0,0,0,40,1,0,1
Fishing Poles,iLvl,22,3,57,0,10,21,0,1
Other,iLvl,23,3,17,0,20,21,0,1
Armor,iLvl,24,5,0,0,200,0,0,1
Plate,iLvl,25,5,23,0,10,24,0,1
Runecarving,iLvl,26,5,23,0,10,25,12,1
Head,iLvl,27,5,23,1,20,25,0,1
Shoulder,iLvl,28,5,23,3,30,25,0,1
Chest,iLvl,29,5,23,5,40,25,0,1
Waist,iLvl,30,5,23,6,50,25,0,1
Legs,iLvl,31,5,23,7,60,25,0,1
Feet,iLvl,32,5,23,8,70,25,0,1
Wrist,iLvl,33,5,23,9,80,25,0,1
Hands,iLvl,34,5,23,10,90,25,0,1
Mail,iLvl,35,5,22,0,20,24,0,1
Runecarving,iLvl,36,5,22,0,10,35,12,1
Head,iLvl,37,5,22,1,20,35,0,1
Shoulder,iLvl,38,5,22,3,30,35,0,1
Chest,iLvl,39,5,22,5,40,35,0,1
Waist,iLvl,40,5,22,6,50,35,0,1
Legs,iLvl,41,5,22,7,60,35,0,1
Feet,iLvl,42,5,22,8,70,35,0,1
Wrist,iLvl,43,5,22,9,80,35,0,1
Hands,iLvl,44,5,22,10,90,35,0,3
Leather,iLvl,45,5,21,0,30,24,0,1
Runecarving,iLvl,46,5,21,0,10,45,12,1
Head,iLvl,47,5,21,1,20,45,0,1
Shoulder,iLvl,48,5,21,3,30,45,0,1
Chest,iLvl,49,5,21,5,40,45,0,1
Waist,iLvl,50,5,21,6,50,45,0,1
Legs,iLvl,51,5,21,7,60,45,0,1
Feet,iLvl,52,5,21,8,70,45,0,1
Wrist,iLvl,53,5,21,9,80,45,0,1
Hands,iLvl,54,5,21,10,90,45,0,1
Cloth,iLvl,55,5,20,0,40,24,0,1
Runecarving,iLvl,56,5,20,0,10,55,12,1
Head,iLvl,57,5,20,1,20,55,0,1
Shoulder,iLvl,58,5,20,3,30,55,0,1
Chest,iLvl,59,5,20,5,40,55,0,1
Waist,iLvl,60,5,20,6,50,55,0,1
Legs,iLvl,61,5,20,7,60,55,0,1
Feet,iLvl,62,5,20,8,70,55,0,1
Wrist,iLvl,63,5,20,9,80,55,0,1
Hands,iLvl,64,5,20,10,90,55,0,1
Miscellaneous,iLvl,65,5,19,0,50,24,0,1
Runecarving,iLvl,66,5,19,0,10,65,12,1
Neck,iLvl,67,5,19,2,20,65,0,1
Cloak,iLvl,68,5,20,16,30,65,0,1
Finger,iLvl,69,5,19,11,40,65,0,1
