ID,LevelXP,TotalLevelXP,ItemLevel
1,350,350,55
2,400,400,56
3,450,450,57
4,500,500,58
5,550,550,59
6,600,600,60
7,650,650,61
8,700,700,62
9,1000,1000,63
10,1000,1000,64
11,1000,1000,65
12,1000,1000,66
13,1000,1000,67
14,1000,1000,68
15,1000,1000,69
16,1000,1000,70
17,1000,1000,71
18,1000,1000,72
19,1000,1000,73
20,1000,1000,74
21,1000,1000,75
22,1000,1000,76
23,1000,1000,77
24,1000,1000,78
25,1000,1000,79
26,1000,1000,80
27,1000,1000,81
28,1000,1000,82
29,1000,1000,83
30,1000,1000,84
31,1000,1000,85
32,1000,1000,86
33,1000,1000,87
34,1000,1000,88
35,1000,1000,89
36,1000,1000,90
37,1000,1000,91
38,1000,1000,92
39,1000,1000,93
40,1000,1000,94
41,1000,1000,95
42,1000,1000,96
43,1000,1000,97
44,1000,1000,98
45,1000,1000,99
46,1000,1000,100
47,1000,1000,101
48,1000,1000,102
49,1000,1000,103
50,1000,1000,104
51,1000,1000,105
52,1000,1000,106
53,1000,1000,107
54,1000,1000,108
55,1000,1000,109
56,1000,1000,110
57,1000,1000,111
58,1000,1000,112
59,1000,1000,113
60,1000,1000,114
61,1000,1000,115
62,1000,1000,116
63,1000,1000,117
64,1750,1000,118
65,3500,1000,119
66,6125,1000,120
67,8750,1000,121
68,11375,1000,122
69,14000,1000,123
70,17500,1000,124
71,22750,1000,125
72,29580,1000,126
73,38450,1000,127
74,49990,1000,128
75,64990,1000,129
76,84490,1000,130
77,109840,1000,131
78,142790,1000,132
79,185630,1000,133
80,241320,1000,134
81,313720,1000,135
82,407840,1000,136
83,530190,1000,137
84,689250,1000,138
85,896025,1000,139
86,1164832,1000,140
87,1514281,1000,141
88,1968565,1000,142
89,2559134,1000,143
90,3326874,1000,144
91,4324936,1000,145
92,5622416,1000,146
93,7309140,1000,147
94,9501882,1000,148
95,12352446,1000,149
96,16058179,1000,150
97,20875632,1000,151
98,27138321,1000,152
99,35279817,1000,153
100,45863762,1000,154
101,59622890,1000,155
102,77509757,1000,155
103,100762684,1000,155
104,130991489,1000,155
105,170288935,1000,155
106,221375615,1000,155
107,287788299,1000,155
108,374124788,1000,155
109,486362224,1000,155
110,632270891,1000,155
111,821952158,1000,155
112,1068537805,1000,155
113,1389099146,1000,155
114,1805828889,1000,155
115,2347577555,1000,155
116,3051850821,1000,155
117,3967406067,1000,155
118,5157627887,1000,155
119,6704916253,1000,155
120,8716391128,1000,155
121,11331308466,1000,155
122,14730701005,1000,155
123,19149911306,1000,155
124,24894884697,1000,155
125,32363350106,1000,155
126,42072355137,1000,155
127,54694061678,1000,155
128,71102280181,1000,155
129,92432964235,1000,155
