ID,Locale,DurationMS,BroadcastTextID
0,8,4762,310117
1,13,6349,310118
2,12,1974,316345
3,13,3588,316346
4,5,9269,310009
5,2,3588,316346
6,4,8181,310008
7,7,2946,316353
8,8,10843,310009
9,4,9078,310119
10,2,3977,316351
11,1,3977,316351
12,1,0,310833
13,14,3977,316351
14,4,9488,310010
15,5,3588,316346
16,13,3548,316350
17,4,6936,316354
18,1,7640,316355
19,1,0,310834
20,12,5271,316348
21,1,2576,316350
22,6,6590,316354
23,8,3588,316346
24,1,5271,316348
25,2,7357,310119
26,1,4162,310117
27,13,1742,316352
28,13,6936,316354
29,13,11403,310009
30,4,5792,310118
31,12,10380,310009
32,5,8013,310119
33,5,1974,316345
34,8,5009,316358
35,12,8638,310010
36,12,8983,310119
37,2,1742,316352
38,8,6936,316354
39,5,4121,310117
40,6,7215,310008
41,8,2041,316345
42,5,5009,316358
43,1,10167,310010
44,5,6936,310008
45,1,4007,316356
46,12,5009,316358
47,7,1974,316345
48,5,10042,310010
49,6,4640,310117
50,7,4007,316356
51,13,7934,310008
52,14,1974,316345
53,2,3117,316349
54,6,7341,316355
55,4,1742,316352
56,6,2920,316353
57,13,2946,316353
58,14,12084,310009
59,6,2548,316350
60,4,2946,316353
61,12,6936,316354
62,14,7640,316355
63,1,1974,316345
64,7,5271,316348
65,13,5009,316358
66,2,9427,310010
67,8,8055,310008
68,5,7640,316355
69,12,5747,310118
70,13,1974,316345
71,6,5299,316348
72,7,2576,316350
73,2,7640,316355
74,13,4758,310117
75,6,4796,310118
76,8,3118,316349
77,2,6431,310008
78,13,5271,316348
79,5,2576,316350
80,8,2946,316353
81,2,6936,316354
82,13,7640,316355
83,1,0,310836
84,4,3977,316351
85,12,4007,316356
86,4,5271,316348
87,4,3117,316349
88,13,10743,310010
89,7,4644,310117
90,12,7178,310008
91,7,5657,310118
92,7,3977,316351
93,13,4007,316356
94,7,9715,310010
95,12,7640,316355
96,7,10588,310009
97,6,7970,310119
98,1,7517,310008
99,14,6774,310008
100,14,5363,310118
101,6,1971,316345
102,2,1974,316345
103,14,3117,316349
104,6,4109,316351
105,12,1742,316352
106,8,7640,316355
107,5,4007,316356
108,14,8804,310119
109,2,5678,310118
110,5,6064,310118
111,1,3588,316346
112,14,5271,316348
113,8,2576,316350
114,2,2576,316350
115,7,7640,316355
116,7,8951,310119
117,4,1974,316345
118,12,2576,316350
119,5,2946,316353
120,14,5116,310117
121,6,3702,316346
122,7,3588,316346
123,12,3117,316349
124,4,4022,310117
125,5,5271,316348
126,2,5271,316348
127,7,6936,316354
128,4,5009,316358
129,14,5009,316358
130,7,7635,310008
131,1,2946,316353
132,12,2946,316353
133,13,8330,310119
134,14,1742,316352
135,1,8424,310119
136,5,1742,316352
137,14,6936,316354
138,12,3977,316351
139,1,1742,316352
140,12,4751,310117
141,6,3410,316349
142,8,11013,310010
143,2,3918,310117
144,1,0,310832
145,7,1742,316352
146,4,4007,316356
147,8,5949,310118
148,6,10536,310009
149,5,3117,316349
150,13,2751,316351
151,14,2946,316353
152,4,7640,316355
153,8,4007,316356
154,14,4007,316356
155,8,9098,310119
156,1,5456,310118
157,8,5271,316348
158,13,3117,316349
159,2,4007,316356
160,6,9809,310010
161,7,3117,316349
162,2,2946,316353
163,5,6936,316354
164,6,3950,316356
165,8,1742,316352
166,4,10306,310009
167,4,3588,316346
168,8,3977,316351
169,5,3977,316351
170,14,2576,316350
171,7,5009,316358
172,2,11164,310009
173,2,5009,316358
174,1,10417,310009
175,1,6936,316354
176,14,11272,310010
177,1,3117,316349
178,12,3588,316346
179,14,3588,316346
180,4,2576,316350
181,6,1570,316352
182,1,5009,316358
183,6,5144,316358
