ID,PositionOffset[0],PositionOffset[1],PositionOffset[2],TargetOffset[0],TargetOffset[1],TargetOffset[2],Type,Flags,PositionSmoothing,RotationSmoothing,FieldOfView,LockedPositionOffsetBase,LockedPositionOffsetDirection,LockedTargetOffsetBase,LockedTargetOffsetDirection,Field_10_1_5_50232_011
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,0,-30,10,0,20,1,2,796,0.1,0.1,60,0,2,1,2,0
7,0,-1,0,0,2,0,2,120,0.6,0.6,90,0,2,1,2,0
8,0,-15,6,0,2,5,2,28,0.2,0.2,90,1,3,0,3,0
13,0,0,0,-9738.76,-3184.61,96.47,2,256,0.2,0.2,120,0,0,2,0,1
14,0,0,2,0,1,1,2,364,1,0.1,90,0,2,1,2,1
15,0,0,0,0,5,1,2,312,1,0.5,90,0,0,0,0,1
16,1,-2,1,0,0,0,2,16,0,0,0,0,0,0,0,0
17,0,-2,5,0,0,0,2,96,0,0,90,0,0,1,0,0
18,0,-30,20,0,0,0,2,16,1,0,120,0,0,0,0,0
19,-10182,1362,38,-10150,1380,70,2,0,0,0,90,2,0,2,0,0
20,10,-20,5,-10,10,-5,2,96,0.1,0.1,60,0,2,1,2,0
21,16,0,2,0,0,0,2,0,0,0,90,0,0,0,0,0
22,-971.749,1658.36,148.398,0,0,0,2,0,0,0,130,2,3,0,0,0
23,0,0,2,0,5,-1,2,312,2,1,90,0,0,0,0,1
24,0,0,0,0,25,0,2,376,0.3,0.3,120,0,2,1,2,1
25,0,0,0,0,0,0,2,124,0.2,0.2,120,0,0,1,2,0
26,0,-20,3,0,0,0,2,108,0.1,0.1,90,0,2,1,2,0
27,0,0,2,0,1,0,2,364,2,0.5,120,0,2,1,2,1
28,0,-2,0.5,0,0,0,2,272,0.3,0.3,120,0,0,0,0,1
29,1,0,5,0,0,0,2,108,0.1,0.1,90,0,2,1,2,0
30,1,-4,2,0,0,0,2,96,0,0,65,1,3,0,3,0
31,0,-8,-2,0,0,0,2,16,0.5,0.5,90,0,0,0,0,0
32,-4727,3851,72,0,0,0,2,0,0.2,0.2,90,2,0,0,0,0
33,0,-10,10,0,10,10,2,51,0,0,0,0,0,0,0,0
34,0,0,0,1015.18,525.116,-24.4059,2,4,0,0,80,0,0,2,0,0
35,0,0,0,712,-174,4,2,68,0,0,80,0,0,2,0,0
36,0,0,0,1014,500,191,2,68,0,0,80,0,0,2,0,0
37,0,0,0,975,514,-31,2,68,0,0,80,0,0,2,0,0
38,0,0,0,0,0,0,2,108,0.1,0.1,120,0,2,1,2,0
39,0,0,0,0,0,0,2,352,0,0,120,0,2,0,2,1
40,0,0,2,0.5,0,2,2,324,0,0,120,0,3,1,2,1
41,0,-7,6,1,0,3,2,327,0.1,0.1,115,0,3,1,2,1
