ID,Title_lang,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
1,War Campaign,As a champion of the Alliance it is your duty to help the war effort against the Horde and their new allies.,261,0,5793,5793,73395,88077,8,1,0,0,0
2,War Campaign,For the Horde!,262,0,5793,5793,73395,0,10,0,0,0,0
3,Test Campaign,,261,52262,5703,0,0,0,0,0,0,0,0
111,The Master of Revendreth,Sire Denathrius may know the secrets to ending the anima drought. Venture into his realm of Revendreth to learn more.,5279,0,76298,89063,0,85362,16,0,95,105475,0
113,Venthyr Campaign,"The road to redemption for Revendreth is a long one, and the Dark Prince of Sinfall is ready to walk it. He will need your help if he is to wrest control of Revendreth from the clutches of the Master and his loyalists.",5285,0,76299,70102,92582,80502,20,0,94,105475,0
114,Bastion,You have been sent to investigate the mysterious Mawsworn kyrian you encountered within the Maw. Only the Archon who oversees Bastion will know their true nature.,5280,0,77903,89061,80035,85362,15,0,98,105475,0
115,The Art of War,The ambitious Necrolords face a threat of extinction at their own hand. Your presence will forge disparate fragments into an army capable of challenging fate itself.,5287,0,78568,70104,92799,0,19,0,94,105475,0
117,Night Fae Campaign,"The groves of Ardenweald are dying. As each great celestial tree falls, the Winter Queen's desperation grows. The Queen and her Court of Night need your help to restore balance to the forest.",5302,0,78569,70103,92586,0,22,0,94,105475,0
118,Blade of the Primus,The armies of Maldraxxus have assaulted Bastion. You have been sent into this wartorn realm to discover the reason why.,5282,0,88931,89062,0,85362,18,0,97,105475,0
119,Kyrian Campaign,The noble kyrian of Bastion face dire circumstances with the impending Forsworn forces threatening to unravel their realm. They will need your aid if they are to reclaim Bastion and save the Shadowlands.,5283,0,78609,70101,86729,0,17,0,94,105475,0
124,The Groves of Ardenweald,You bear an important message for the Winter Queen. Seek her out in the celestial groves of Ardenweald.,5301,0,84196,89060,0,85362,21,0,96,105475,0
125,Shadowlands Campaign,This is the general Campaign bucket for players who are between campaigns in Shadowlands.,5362,0,89137,89138,89140,0,26,0,99,105475,0
126,The Looming Dark,"With Denathrius's scheme exposed, you must decide how to respond.",5284,0,85641,89059,0,0,26,0,94,105475,0
