ID,ChrClassID,Purpose,ModID,Field_1_60_1_69876_003,Racemask[0],Racemask[1]
1558,2,9,75,0,1,0
1559,4,9,75,0,1,0
1560,5,9,75,0,1,0
1561,8,9,75,0,1,0
1562,9,9,75,0,1,0
1563,1,9,75,0,2,0
1564,3,9,75,0,2,0
1565,4,9,75,0,2,0
1566,7,9,75,0,2,0
1567,9,9,75,0,2,0
1568,1,9,75,0,4,0
1569,2,9,75,0,4,0
1570,3,9,75,0,4,0
1571,5,9,75,0,4,0
1572,1,9,75,0,8,0
1573,3,9,75,0,8,0
1574,4,9,75,0,8,0
1575,5,9,75,0,8,0
1576,1,9,75,0,16,0
1577,4,9,75,0,16,0
1578,5,9,75,0,16,0
1579,8,9,75,0,16,0
1580,9,9,75,0,16,0
1581,1,9,75,0,32,0
1582,3,9,75,0,32,0
1583,7,9,75,0,32,0
1584,11,9,75,0,32,0
1585,11,9,75,0,8,0
1586,4,9,75,0,4,0
1587,4,9,75,0,64,0
1588,8,9,75,0,64,0
1589,9,9,75,0,64,0
1590,4,9,75,0,128,0
1591,3,9,75,0,128,0
1592,5,9,75,0,128,0
1593,7,9,75,0,128,0
1594,1,9,75,0,64,0
1595,1,9,75,0,128,0
1596,8,9,75,0,128,0
1597,1,9,75,0,1,0
2277,2,9,75,0,16,0
2369,3,9,75,0,1,0
2373,4,9,75,0,0,3
2374,3,9,75,0,0,3
2375,1,9,75,0,0,3
2376,8,9,75,0,0,3
2377,7,9,75,0,0,3
2378,11,9,75,0,0,3
2379,7,9,75,0,4,0
2405,5,9,75,0,64,0
2406,8,9,75,0,2,0
2407,9,9,75,0,128,0
2450,1,1,75,0,0,3
2451,7,1,75,0,0,3
2452,4,1,75,0,0,3
2453,8,1,75,0,0,3
2454,3,1,75,0,0,3
2455,11,1,75,0,0,3
2456,1,1,75,0,4,0
2457,7,1,75,0,4,0
2458,4,1,75,0,4,0
2459,5,1,75,0,4,0
2460,2,1,75,0,4,0
2461,3,1,75,0,4,0
2462,1,1,75,0,64,0
2463,9,1,75,0,64,0
2464,4,1,75,0,64,0
2465,5,1,75,0,64,0
2466,8,1,75,0,64,0
2467,1,1,75,0,1,0
2468,9,1,75,0,1,0
2469,4,1,75,0,1,0
2470,5,1,75,0,1,0
2471,2,1,75,0,1,0
2472,8,1,75,0,1,0
2473,3,1,75,0,1,0
2474,1,1,75,0,8,0
2475,4,1,75,0,8,0
2476,5,1,75,0,8,0
2477,3,1,75,0,8,0
2478,11,1,75,0,8,0
2479,1,1,75,0,2,0
2480,9,1,75,0,2,0
2481,7,1,75,0,2,0
2482,4,1,75,0,2,0
2483,8,1,75,0,2,0
2484,3,1,75,0,2,0
2485,1,1,75,0,32,0
2486,7,1,75,0,32,0
2487,3,1,75,0,32,0
2488,11,1,75,0,32,0
2489,1,1,75,0,128,0
2490,9,1,75,0,128,0
2491,7,1,75,0,128,0
2492,4,1,75,0,128,0
2493,5,1,75,0,128,0
2494,8,1,75,0,128,0
2495,3,1,75,0,128,0
2496,1,1,75,0,16,0
2497,9,1,75,0,16,0
2498,4,1,75,0,16,0
2499,5,1,75,0,16,0
2500,2,1,75,0,16,0
2501,8,1,75,0,16,0
2502,1,23,75,2,0,2
2503,7,23,75,2,0,2
2504,4,23,75,2,0,2
2505,8,23,75,2,0,1
2506,3,23,75,2,0,2
2507,11,23,75,2,0,2
2508,11,23,75,2,0,1
2509,3,23,75,2,0,1
2510,4,23,75,2,0,1
2511,1,23,75,2,0,1
