ID,CharComponentTextureLayoutID,SectionType,X,Y,Width,Height,OverlapSectionMask
1,1,0,0,0,512,256,0
2,1,1,0,256,512,256,0
3,1,2,0,512,512,128,0
4,1,3,512,0,512,256,0
5,1,4,512,256,512,128,0
6,1,5,512,384,512,256,0
7,1,6,512,640,512,256,0
8,1,7,512,896,512,128,0
9,1,9,0,640,512,128,0
10,1,10,0,768,512,256,0
11,2,0,0,0,512,256,0
12,2,1,0,256,512,256,0
13,2,2,0,512,512,128,0
14,2,3,512,0,512,256,0
15,2,4,512,256,512,128,0
16,2,5,512,384,512,256,0
17,2,6,512,640,512,256,0
18,2,7,512,896,512,128,0
19,2,9,1024,0,1024,1024,0
20,2,10,1024,0,1024,1024,0
25,1,12,0,0,1024,1024,255
26,2,12,0,0,1024,1024,255
27,1,13,0,0,1024,1024,1791
28,2,13,0,0,2048,1024,1791
130,103,0,0,0,512,256,0
131,103,1,0,256,512,256,0
132,103,2,0,512,512,128,0
133,103,3,512,0,512,256,0
134,103,4,512,256,512,128,0
135,103,5,512,384,512,256,0
136,103,6,512,640,512,256,0
137,103,7,512,896,512,128,0
138,103,9,1024,0,1024,1024,0
143,104,0,0,0,512,256,0
144,104,1,0,256,512,256,0
145,104,2,0,512,512,128,0
146,104,3,512,0,512,256,0
147,104,4,512,256,512,128,0
148,104,5,512,384,512,256,0
149,104,6,512,640,512,256,0
150,104,7,512,896,512,128,0
151,104,9,1024,0,1024,1024,0
152,104,10,1024,0,1024,1024,0
156,105,0,0,0,512,256,0
157,105,1,0,256,512,256,0
158,105,2,0,512,512,128,0
159,105,3,512,0,512,256,0
160,105,4,512,256,512,128,0
161,105,5,512,384,512,256,0
162,105,6,512,640,512,256,0
163,105,7,512,896,512,128,0
164,105,9,1024,0,1024,1024,0
165,105,10,1024,0,1024,1024,0
169,106,0,0,0,512,256,0
170,106,1,0,256,512,256,0
171,106,2,0,512,512,128,0
172,106,3,512,0,512,256,0
173,106,4,512,256,512,128,0
174,106,5,512,384,512,256,0
175,106,6,512,640,512,256,0
176,106,7,512,896,512,128,0
177,106,9,1024,0,1024,1024,0
178,106,10,1024,0,1024,1024,0
181,103,10,1024,0,1024,1024,0
182,107,10,1024,0,1024,1024,0
183,107,0,0,0,512,256,0
184,107,1,0,256,512,256,0
185,107,2,0,512,512,128,0
186,107,3,512,0,512,256,0
187,107,4,512,256,512,128,0
188,107,5,512,384,512,256,0
189,107,6,512,640,512,256,0
190,107,7,512,896,512,128,0
191,107,9,1024,0,1024,1024,0
192,108,0,0,0,512,256,0
193,108,1,0,256,512,256,0
194,108,2,0,512,512,128,0
195,108,3,512,0,512,256,0
196,108,4,512,256,512,128,0
197,108,5,512,384,512,256,0
198,108,6,512,640,512,256,0
199,108,7,512,896,512,128,0
200,108,9,1024,0,1024,1024,0
201,108,10,1024,0,1024,1024,0
202,109,0,0,0,512,256,0
203,109,1,0,256,512,256,0
204,109,2,0,512,512,128,0
205,109,3,512,0,512,256,0
206,109,4,512,256,512,128,0
207,109,5,512,384,512,256,0
208,109,6,512,640,512,256,0
209,109,7,512,896,512,128,0
210,109,9,1024,0,1024,1024,0
211,109,10,1024,0,1024,1024,0
212,110,0,0,0,512,256,0
213,110,1,0,256,512,256,0
214,110,2,0,512,512,128,0
215,110,3,512,0,512,256,0
216,110,4,512,256,512,128,0
217,110,5,512,384,512,256,0
218,110,6,512,640,512,256,0
219,110,7,512,896,512,128,0
220,110,9,1024,0,1024,1024,0
