ID,ClassID,SexID,OutfitID,PetDisplayID,PetFamilyID,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16],ItemID[17],ItemID[18],ItemID[19],ItemID[20],ItemID[21],ItemID[22],ItemID[23],RaceID
1,1,0,0,0,0,58231,39,40,0,49778,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,58245,139,140,6948,12282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,1,0,0,0,0,58231,39,40,0,12282,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,1,0,0,0,0,49778,58244,6121,6122,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7,2,0,0,0,0,58233,44,43,0,52557,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,4,0,0,0,0,25,58234,48,47,0,50055,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
9,4,0,0,0,0,58234,47,48,0,25,0,50055,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,8,0,0,0,0,56,1395,55,35,0,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,5,0,0,0,0,6098,52,0,51,35,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,9,0,0,4449,23,57,0,1396,35,59,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,1,1,0,0,0,58231,39,40,0,49778,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,3,0,0,29057,12,58247,6137,6948,0,6138,2504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
16,3,0,0,744,5,58247,6137,6138,0,0,6948,0,2504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,4,0,0,0,0,58246,120,121,0,37,0,50055,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19,7,0,0,0,0,52544,52545,6948,0,36,0,0,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,9,0,0,4449,23,52543,52679,0,35,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
21,3,0,0,822,4,58232,147,129,0,0,0,0,2508,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,3
22,5,0,0,0,0,6098,0,52,51,35,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24,3,0,0,17090,2,0,58232,147,129,0,2504,0,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,4
26,5,0,0,0,0,3661,6119,52,51,0,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
27,1,0,0,0,0,58245,139,140,12282,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
29,7,0,0,0,0,52544,52545,6948,36,0,0,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
30,1,0,0,0,0,58231,39,40,49778,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
31,4,0,0,0,0,2092,58234,48,47,0,50055,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
32,5,0,0,0,0,6144,0,52,35,0,0,51,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
33,9,0,0,4449,23,6129,1396,59,35,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
34,8,0,0,0,0,6140,1395,0,35,55,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
35,8,0,0,0,0,56,1395,0,35,55,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
36,2,1,0,0,0,58233,43,44,6948,52557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
