ID,ChrModel_9_0_1_35522_001Override[0],ChrModel_9_0_1_35522_001Override[1],ChrModel_9_0_1_35522_001Override[2],ChrModelID,ChrClassesID,ChrCreateFacingOverride,Field_11_1_0_58731_004
1,0,0.26,0,11,6,-0.122173,3
2,0,0.19,0,12,6,-0.0872665,3
3,0,-0.006,0,1,6,-0.148353,3
4,0,-0.0105,0,2,6,-0.139626,3
5,0,-0.022,0,6,6,-0.139626,3
6,0,-0.016,0,5,6,-0.122173,3
7,0,-0.015,0,7,6,-0.10472,3
8,0,-0.045,0,8,6,-0.0698132,3
9,0,0.014,0,13,6,-0.122173,3
10,0,0.005,0,14,6,-0.122173,3
11,0,-0.04,0,22,6,-0.174533,3
12,0,0.022,0,21,6,-0.15708,3
13,0,0.051,0,43,6,-0.122173,3
14,0,0.065,0,44,6,-0.139626,3
15,0,-0.005,0,48,6,-0.139626,3
16,0,0.015,0,47,6,-0.15708,3
17,0,-0.016,0,57,6,-0.15708,3
18,0,-0.028,0,58,6,-0.174533,3
19,0,-0.04,0,60,6,-0.174533,3
20,0,0.022,0,59,6,-0.15708,3
21,0,-0.019,0,67,6,-0.122173,3
22,0,0,0,68,6,-0.139626,3
23,0,-0.02,0,64,6,-0.122173,3
24,0,-0.02,0,63,6,-0.0349066,3
25,0,0.0005,0,73,6,-0.122173,3
26,0,-0.01,0,74,6,-0.122173,3
27,0,0.115,0,4,6,-0.15708,3
28,0,0.129,0,3,6,-0.113446,3
29,0,0.091,0,72,6,-0.174533,3
30,0,0.16,0,71,6,-0.15708,3
31,0,0.108,0,10,6,-0.122173,3
32,0,0.17,0,9,6,-0.10472,3
33,0,0.19,0,56,6,-0.0872665,3
34,0,0.25,0,55,6,-0.122173,3
35,0,0.09,0,15,6,-0.139626,3
36,0,0.17,0,16,6,-0.139626,3
37,0,0.2005,0,62,6,-0.0698132,3
38,0,0.174,0,61,6,-0.0698132,3
39,0,0.091,0,19,6,-0.139626,3
40,0,0.081,0,20,6,-0.15708,3
41,0,0.1,0,18,6,-0.122173,3
42,0,0.093,0,17,6,-0.0349066,3
43,0,0.118,0,69,6,-0.122173,3
44,0,0.119,0,70,6,-0.122173,3
45,0,0.101,0,53,6,-0.15708,3
46,0,0.157,0,54,6,-0.113446,3
47,0,-0.045,0,8,12,0.0523599,3
48,0,-0.028,0,7,12,0.0349066,3
49,0,0.078,0,19,12,-0.0261799,3
50,0,0.076,0,20,12,-0.0523599,3
51,-0.5,-0.005,0,48,14,0,3
52,-0.3,0.015,0,47,14,0,3
53,-1,-0.041,-0.1,89,5,0,1
