Name_lang,ID,ChrCustomizationOptionID,ChrCustomizationReqID,ChrCustomizationVisReqID,OrderIndex,UiOrderIndex,Flags,AddedInPatch,SoundKitID,SwatchColor[0],SwatchColor[1]
,1,9,291,0,0,40,0,90001,0,-1654626,0
,2,9,291,0,1,41,0,90001,0,-2312813,0
,3,9,291,0,2,42,0,90001,0,-3036537,0
,4,9,291,0,3,43,0,90001,0,-3694724,0
,5,9,291,0,4,44,0,90001,0,-4352911,0
,6,9,291,0,5,45,0,90001,0,-5076891,0
,7,9,291,0,6,46,0,90001,0,-5735078,0
,8,9,291,0,7,47,0,90001,0,-6458802,0
,9,9,291,0,8,48,0,90001,0,-7116989,0
,10,9,291,0,9,49,0,90001,0,-10142692,0
,11,9,12,0,10,100,0,90001,0,11961695,0
,12,9,12,0,11,101,0,90001,0,0,0
,13,9,53,0,12,70,0,90001,0,11640187,0
,14,9,53,0,13,71,0,90001,0,11377493,0
,15,9,53,0,14,72,0,90001,0,-6717857,0
,16,9,12,0,15,102,0,90001,0,11968895,0
,17,9,10,0,16,103,0,90001,0,0,0
,18,9,12,0,17,104,0,90001,0,0,0
,20,10,141,0,0,0,0,90001,0,0,0
,21,10,141,0,1,1,0,90001,0,0,0
,22,10,141,0,2,2,0,90001,0,0,0
,23,10,141,0,3,3,0,90001,0,0,0
,24,10,141,0,4,4,0,90001,0,0,0
,25,10,141,0,5,5,0,90001,0,0,0
,26,10,141,0,6,6,0,90001,0,0,0
,27,10,141,0,7,7,0,90001,0,0,0
,28,10,141,0,8,8,0,90001,0,0,0
,29,10,141,0,9,9,0,90001,0,0,0
,30,10,141,0,10,10,0,90001,0,0,0
,31,10,141,0,11,11,0,90001,0,0,0
Bald,44,11,141,0,0,0,0,90001,0,0,0
Peasant,45,11,141,0,1,1,0,90001,0,0,0
Soldier,46,11,141,0,2,2,0,90001,0,0,0
Monk,47,11,141,0,3,3,0,90001,0,0,0
Barbarian,48,11,141,0,4,4,0,90001,0,0,0
Dashing,49,11,141,0,5,5,0,90001,0,0,0
Loose,50,11,141,0,6,6,0,90001,0,0,0
Courtier,51,11,141,0,7,7,0,90001,0,0,0
Scholar,52,11,141,0,8,8,0,90001,0,0,0
Rogue,53,11,141,0,9,9,0,90001,0,0,0
Fabulous,54,11,141,0,10,10,0,90001,0,0,0
Samson,55,11,141,0,11,11,0,90001,0,0,0
Brawler,56,11,141,0,12,12,0,90001,0,0,0
Spikey,57,11,141,0,13,13,0,90001,0,0,0
Swept,58,11,141,0,14,14,0,90001,0,0,0
Foxtail,59,11,141,0,15,15,0,90001,0,0,0
Long,60,11,141,0,16,16,0,90001,0,0,0
,61,12,35,0,0,1,0,90001,0,3815996,0
,62,12,35,0,1,8,0,90001,0,8935702,0
,63,12,35,0,2,4,0,90001,0,11559219,0
,64,12,35,0,3,5,0,90001,0,11356928,0
,65,12,35,0,4,7,0,90001,0,13726464,0
,66,12,35,0,5,9,0,90001,0,12287002,0
,67,12,35,0,6,10,0,90001,0,-3563710,0
,68,12,35,0,7,6,0,90001,0,10319959,0
,69,12,35,0,8,16,0,90001,0,7630177,0
,70,12,35,0,9,17,0,90001,0,13092807,0
,71,12,35,0,10,13,0,90001,0,-13090448,0
,72,12,35,0,11,18,0,90001,0,-6581634,-10269341
,73,12,35,0,12,19,0,90001,0,-6247249,-11316614
,74,12,10,0,13,1001,0,90001,0,0,0
None,76,13,141,0,0,0,0,90001,0,0,0
Goatee,77,13,141,0,1,1,0,90001,0,0,0
Full,78,13,141,0,2,2,0,90001,0,0,0
Tufts,79,13,141,0,3,3,0,90001,0,0,0
Thick,80,13,141,0,4,4,0,90001,0,0,0
Short,81,13,141,0,5,5,0,90001,0,0,0
Chin Puff,82,13,141,0,6,6,0,90001,0,0,0
Soul Patch,83,13,141,0,7,7,0,90001,0,0,0
,85,14,318,0,0,40,0,90001,0,-1654626,0
,86,14,318,0,1,41,0,90001,0,-2312813,0
,87,14,318,0,2,42,0,90001,0,-3036537,0
,88,14,318,0,3,43,0,90001,0,-3694724,0
,89,14,318,0,4,44,0,90001,0,-4352911,0
,90,14,318,0,5,45,0,90001,0,-5076891,0
,91,14,318,0,6,46,0,90001,0,-5735078,0
,92,14,318,0,7,47,0,90001,0,-6458802,0
,93,14,318,0,8,48,0,90001,0,-7116989,0
,94,14,318,0,9,49,0,90001,0,-10142692,0
,95,14,12,0,10,100,0,90001,0,0,0
,96,14,12,0,11,101,0,90001,0,0,0
,97,14,319,0,12,70,0,90001,0,12563876,0
,98,14,319,0,13,71,0,90001,0,-4544423,0
,99,14,319,0,14,72,0,90001,0,-6059911,0
,100,14,10,0,15,102,0,90001,0,0,0
,101,14,12,0,16,103,0,90001,0,0,0
,102,15,141,0,0,0,0,90001,0,0,0
,103,15,141,0,1,1,0,90001,0,0,0
,104,15,141,0,2,2,0,90001,0,0,0
,105,15,141,0,3,3,0,90001,0,0,0
,106,15,141,0,4,4,0,90001,0,0,0
,107,15,141,0,5,5,0,90001,0,0,0
,108,15,141,0,6,6,0,90001,0,0,0
,109,15,141,0,7,7,0,90001,0,0,0
,110,15,141,0,8,8,0,90001,0,0,0
,111,15,141,0,9,9,0,90001,0,0,0
,112,15,141,0,10,10,0,90001,0,0,0
,113,15,141,0,11,11,0,90001,0,0,0
,114,15,141,0,12,12,0,90001,0,0,0
,115,15,141,0,13,13,0,90001,0,0,0
,116,15,141,0,14,14,0,90001,0,0,0
Straight,132,16,141,0,0,0,0,90001,0,0,0
Loose,133,16,141,0,1,1,0,90001,0,0,0
Bangs,134,16,141,0,2,2,0,90001,0,0,0
Full,135,16,141,0,3,3,0,90001,0,0,0
Parted Long,136,16,141,0,4,4,0,90001,0,0,0
Flipped,137,16,141,0,5,5,0,90001,0,0,0
Tomboy,138,16,141,0,6,6,0,90001,0,0,0
Low Tail,139,16,141,0,7,7,0,90001,0,0,0
High Tail,140,16,141,0,8,8,0,90001,0,0,0
Straight Bob,141,16,141,0,9,9,0,90001,0,0,0
Layered,142,16,141,0,10,10,0,90001,0,0,0
Short,143,16,141,0,11,11,0,90001,0,0,0
Flirty,144,16,141,0,12,12,0,90001,0,0,0
Waved,145,16,141,0,13,13,0,90001,0,0,0
Messy Bun,146,16,141,0,14,14,0,90001,0,0,0
