ID,ChrRacesID,Sex,OptionID,Data,ChrCustomizationChoiceID,DependentOptionID,DependentData,Field_3_4_0_45166_007
9932,1,0,1,0,17160,0,0,-1
9933,1,0,1,1,17161,0,0,-1
9934,1,0,1,2,17162,0,0,-1
9935,1,0,1,3,17163,0,0,-1
9936,1,0,1,4,17164,0,0,-1
9937,1,0,1,5,17165,0,0,-1
9938,1,0,1,6,17166,0,0,-1
9939,1,0,1,7,17167,0,0,-1
9940,1,0,1,8,17168,0,0,-1
9941,1,0,1,9,17169,0,0,-1
9942,1,0,1,10,17170,0,0,-1
9943,1,0,1,11,17171,0,0,-1
9944,1,0,2,0,17172,0,0,-1
9945,1,0,2,1,17173,0,0,-1
9946,1,0,2,2,17174,0,0,-1
9947,1,0,2,3,17175,0,0,-1
9948,1,0,2,4,17176,0,0,-1
9949,1,0,2,5,17177,0,0,-1
9950,1,0,2,6,17178,0,0,-1
9951,1,0,2,7,17179,0,0,-1
9952,1,0,2,8,17180,0,0,-1
9953,1,0,2,9,17181,0,0,-1
9954,1,0,2,10,17182,0,0,-1
9955,1,0,2,11,17183,0,0,-1
9956,1,0,3,0,17184,0,0,-1
9957,1,0,3,1,17185,0,0,-1
9958,1,0,3,2,17186,0,0,-1
9959,1,0,3,3,17187,0,0,-1
9960,1,0,3,4,17188,0,0,-1
9961,1,0,3,5,17189,0,0,-1
9962,1,0,3,6,17190,0,0,-1
9963,1,0,3,7,17191,0,0,-1
9964,1,0,3,8,17192,0,0,-1
9965,1,0,3,9,17193,0,0,-1
9966,1,0,3,10,17194,0,0,-1
9967,1,0,3,11,17195,0,0,-1
9968,1,0,4,0,17196,0,0,-1
9969,1,0,4,1,17197,0,0,-1
9970,1,0,4,2,17198,0,0,-1
9971,1,0,4,3,17199,0,0,-1
9972,1,0,4,4,17200,0,0,-1
9973,1,0,4,5,17201,0,0,-1
9974,1,0,4,6,17202,0,0,-1
9975,1,0,4,7,17203,0,0,-1
9976,1,0,4,8,17204,0,0,-1
9977,1,0,4,9,17205,0,0,-1
9978,1,0,5,0,17206,0,0,-1
9979,1,0,5,1,17207,0,0,-1
9980,1,0,5,2,17208,0,0,-1
9981,1,0,5,3,17209,0,0,-1
9982,1,0,5,4,17210,0,0,-1
9983,1,0,5,5,17211,0,0,-1
9984,1,0,5,6,17212,0,0,-1
9985,1,0,5,7,17213,0,0,-1
9986,1,0,5,8,17214,0,0,-1
9987,1,1,1,0,17215,0,0,-1
9988,1,1,1,1,17216,0,0,-1
9989,1,1,1,2,17217,0,0,-1
9990,1,1,1,3,17218,0,0,-1
9991,1,1,1,4,17219,0,0,-1
9992,1,1,1,5,17220,0,0,-1
9993,1,1,1,6,17221,0,0,-1
9994,1,1,1,7,17222,0,0,-1
9995,1,1,1,8,17223,0,0,-1
9996,1,1,1,9,17224,0,0,-1
9997,1,1,1,10,17225,0,0,-1
9998,1,1,1,11,17226,0,0,-1
