ID,GeosetType,GeosetID,Modifier
5136,0,1,-1
5137,0,2,-1
5138,0,3,-1
5139,0,4,-1
5140,0,5,-1
5141,0,6,-1
5142,0,7,-1
5143,0,8,-1
5144,0,9,-1
5145,0,10,-1
5146,0,11,-1
5147,0,12,-1
5148,1,1,-1
5149,3,1,-1
5150,2,1,-1
5151,1,1,-1
5152,2,1,-1
5153,3,2,-1
5154,1,1,-1
5155,2,1,-1
5156,3,2,-1
5157,3,1,-1
5158,1,2,-1
5159,2,2,-1
5160,3,2,-1
5161,1,2,-1
5162,2,2,-1
5163,1,1,-1
5164,3,2,-1
5165,2,2,-1
5166,2,1,-1
5167,3,2,-1
5168,1,2,-1
5169,1,1,-1
5170,2,1,-1
5171,3,2,-1
5172,1,1,-1
5173,3,1,-1
5174,2,1,-1
5175,0,2,-1
5176,0,3,-1
5177,0,4,-1
5178,0,5,-1
5179,0,6,-1
5180,0,7,-1
5181,0,8,-1
5182,0,9,-1
5183,0,10,-1
5184,0,11,-1
5185,0,12,-1
5186,0,13,-1
5187,0,14,-1
5188,0,15,-1
5189,0,16,-1
5190,0,17,-1
5191,0,18,-1
5192,0,19,-1
5193,0,20,-1
5194,1,0,-1
5195,3,0,-1
5196,2,0,-1
5197,1,0,-1
5198,2,0,-1
5199,3,2,-1
5200,1,0,-1
5201,2,0,-1
5202,3,3,-1
5203,1,0,-1
5204,2,0,-1
5205,3,4,-1
5206,1,0,-1
5207,2,0,-1
5208,3,5,-1
5209,1,0,-1
5210,2,0,-1
5211,3,6,-1
5212,1,0,-1
5213,2,0,-1
5214,3,7,-1
5215,0,0,-1
5216,0,2,-1
5217,0,3,-1
5218,0,4,-1
5219,0,5,-1
5220,0,6,-1
5221,0,7,-1
5222,1,0,-1
5223,3,0,-1
5224,2,0,-1
5225,1,0,-1
5226,3,0,-1
5227,2,0,-1
5228,3,0,-1
5229,2,0,-1
5230,1,2,-1
5231,3,0,-1
5232,2,0,-1
5233,1,3,-1
5234,3,0,-1
5235,2,0,-1
5236,1,4,-1
5237,3,0,-1
5238,2,0,-1
5239,1,5,-1
5240,3,0,-1
5241,2,0,-1
5242,1,6,-1
5243,3,0,-1
5244,2,0,-1
5245,1,7,-1
5246,3,0,-1
5247,2,0,-1
5248,1,8,-1
5249,3,0,-1
5250,2,0,-1
5251,1,9,-1
5252,3,0,-1
5253,2,0,-1
5254,1,10,-1
5255,0,2,-1
5256,0,3,-1
5257,0,4,-1
5258,0,5,-1
5259,0,6,-1
5260,0,7,-1
5261,0,8,-1
5262,1,0,-1
5263,3,0,-1
5264,2,0,-1
5265,1,0,-1
5266,2,0,-1
5267,3,2,-1
5268,1,0,-1
5269,2,0,-1
5270,3,3,-1
5271,1,0,-1
5272,2,0,-1
5273,3,4,-1
5274,1,0,-1
5275,2,0,-1
5276,3,5,-1
5277,1,0,-1
5278,2,0,-1
5279,3,6,-1
5280,1,0,-1
5281,2,0,-1
5282,3,7,-1
5283,0,0,-1
5284,0,2,-1
5285,0,3,-1
5286,0,4,-1
5287,0,5,-1
5288,0,6,-1
5289,0,7,-1
5290,0,8,-1
5291,0,9,-1
5292,0,10,-1
5293,0,11,-1
5294,1,2,-1
5295,3,2,-1
5296,2,2,-1
5297,1,3,-1
5298,3,3,-1
5299,2,3,-1
5300,1,4,-1
5301,3,4,-1
5302,2,4,-1
5303,1,5,-1
5304,3,5,-1
5305,2,5,-1
5306,1,6,-1
5307,3,6,-1
5308,2,6,-1
5309,1,7,-1
5310,3,7,-1
5311,2,7,-1
5312,1,8,-1
5313,3,8,-1
5314,2,8,-1
5315,1,9,-1
5316,3,9,-1
5317,2,9,-1
5318,1,10,-1
5319,3,10,-1
5320,2,10,-1
5321,1,11,-1
5322,3,11,-1
5323,2,11,-1
5324,1,12,-1
5325,3,12,-1
5326,2,12,-1
5327,0,2,-1
5328,0,3,-1
5329,0,4,-1
5330,0,5,-1
5331,0,6,-1
5332,0,7,-1
5333,0,8,-1
5334,0,9,-1
5335,0,10,-1
5336,0,11,-1
5337,0,12,-1
5338,0,13,-1
5339,0,14,-1
5340,0,15,-1
5341,1,0,-1
5342,3,0,-1
5343,2,0,-1
5344,1,0,-1
5345,2,0,-1
5346,3,2,-1
5347,1,0,-1
5348,2,0,-1
5349,3,3,-1
5350,1,0,-1
5351,2,0,-1
5352,3,4,-1
5353,1,0,-1
5354,2,0,-1
5355,3,5,-1
5356,1,0,-1
5357,2,0,-1
5358,3,6,-1
5359,0,2,-1
5360,0,3,-1
5361,0,4,-1
5362,0,5,-1
5363,0,6,-1
5364,0,7,-1
5365,0,8,-1
5366,1,1,-1
5367,3,1,-1
5368,2,1,-1
5369,1,2,-1
5370,3,2,-1
5371,2,2,-1
5372,1,3,-1
5373,3,3,-1
5374,2,3,-1
5375,1,4,-1
5376,3,4,-1
5377,2,4,-1
5378,1,5,-1
5379,3,5,-1
5380,2,5,-1
5381,2,2,-1
5382,1,6,-1
5383,3,6,-1
5384,0,2,-1
5385,0,3,-1
