Name_lang,ID,SecondaryID,Flags,ChrModelID,OrderIndex,ChrCustomizationCategoryID,OptionType,BarberShopCostModifier,ChrCustomizationID,Requirement,SecondaryOrderIndex
Skin Color,1,1,16,0,0,2,0,0,0,0,0
Face,2,2,0,0,1,2,0,0,0,0,1
Hair Style,3,3,0,0,2,4,0,0,0,0,2
Hair Color,4,4,0,0,3,4,0,0,0,0,3
Facial Hair,5,5,0,0,4,4,0,0,0,0,4
Tattoo Style,6,6,8,0,5,5,0,0,0,0,5
Horn Style,7,7,0,0,6,2,0,0,0,0,6
Blindfolds,8,8,8,0,7,2,0,0,0,0,7
Skin Color,9,9,16,1,1,1,0,0,1,0,0
Face,10,10,0,1,2,1,0,0,2,0,0
Hair Style,11,11,0,1,3,1,0,0,3,0,0
Hair Color,12,12,2,1,4,1,0,0,4,0,0
Facial Hair,13,13,0,1,5,1,0,0,5,0,0
Skin Color,14,14,16,2,1,1,0,0,1,0,0
Face,15,15,0,2,2,1,0,0,2,0,0
Hair Style,16,16,0,2,3,1,0,0,3,0,0
Hair Color,17,17,2,2,4,1,0,0,4,0,0
Piercings,18,18,0,2,5,1,0,0,10,0,0
Skin Color,19,19,16,3,1,1,0,0,1,0,0
Face,20,20,0,3,2,1,0,0,2,0,0
Hair Style,21,21,0,3,3,1,0,0,3,0,0
Hair Color,22,22,2,3,4,1,0,0,4,0,0
Facial Hair,23,23,0,3,5,1,0,0,5,0,0
Skin Color,25,25,16,4,1,1,0,0,1,0,0
Face,26,26,0,4,2,1,0,0,2,0,0
Hair Style,27,27,0,4,3,1,0,0,3,0,0
Hair Color,28,28,2,4,4,1,0,0,4,0,0
Piercings,29,29,0,4,5,1,0,0,11,0,0
Skin Color,30,30,16,5,1,1,0,0,1,0,0
Face,31,31,0,5,2,1,0,0,2,0,0
Hair Style,32,32,0,5,3,1,0,0,3,0,0
Hair Color,33,33,2,5,4,1,0,0,4,0,0
Facial Hair,34,34,0,5,5,1,0,0,5,0,0
Skin Color,35,35,16,6,1,1,0,0,1,0,0
Face,36,36,0,6,2,1,0,0,2,0,0
Hair Style,37,37,0,6,3,1,0,0,3,0,0
Hair Color,38,38,2,6,4,1,0,0,4,0,0
Piercings,39,39,0,6,5,1,0,0,12,0,0
Skin Color,40,40,16,7,1,1,0,0,1,0,0
Face,41,41,0,7,2,1,0,0,2,0,0
Hair Style,42,42,0,7,3,1,0,0,3,0,0
Hair Color,43,43,2,7,4,1,0,0,4,0,0
Facial Hair,44,44,0,7,5,1,0,0,5,0,0
Skin Color,49,49,16,8,1,1,0,0,1,0,0
Face,50,50,0,8,2,1,0,0,2,0,0
Hair Style,51,51,0,8,3,1,0,0,3,0,0
Hair Color,52,52,2,8,4,1,0,0,4,0,0
Markings,53,53,0,8,5,1,0,0,13,0,0
Skin Color,58,58,16,9,1,1,0,0,1,0,0
Face,59,59,0,9,2,1,0,0,2,0,0
Hair Style,60,60,0,9,3,1,0,0,3,0,0
Hair Color,61,61,2,9,4,1,0,0,4,0,0
Features,62,62,0,9,5,1,0,0,14,0,0
Skin Color,63,63,16,10,1,1,0,0,1,0,0
Face,64,64,0,10,2,1,0,0,2,0,0
Hair Style,65,65,0,10,3,1,0,0,3,0,0
Hair Color,66,66,2,10,4,1,0,0,4,0,0
Features,67,67,0,10,5,1,0,0,14,0,0
Skin Color,68,68,16,11,1,1,0,0,1,0,0
Horn Style,71,70,0,11,3,1,0,0,16,0,0
Horn Color,72,71,2,11,4,1,0,0,17,0,0
Facial Hair,73,72,0,11,5,1,0,0,5,0,0
Skin Color,74,73,16,12,1,1,0,0,1,0,0
Horn Style,77,75,0,12,3,1,0,0,16,0,0
Horn Color,78,76,2,12,4,1,0,0,17,0,0
Hair,79,77,0,12,5,1,0,0,15,0,0
Skin Color,80,78,16,13,1,1,0,0,1,0,0
Face,81,79,0,13,2,1,0,0,2,0,0
Hair Style,82,80,0,13,3,1,0,0,3,0,0
Hair Color,83,81,2,13,4,1,0,0,4,0,0
Facial Hair,84,82,0,13,5,1,0,0,5,0,0
Skin Color,85,83,16,14,1,1,0,0,1,0,0
Face,86,84,0,14,2,1,0,0,2,0,0
Hair Style,87,85,0,14,3,1,0,0,3,0,0
Hair Color,88,86,2,14,4,1,0,0,4,0,0
Earrings,89,87,0,14,5,1,0,0,18,0,0
Skin Color,90,88,16,15,1,1,0,0,1,0,0
Face,91,89,0,15,2,1,0,0,2,0,0
Hair Style,92,90,0,15,3,1,0,0,3,0,0
Hair Color,93,91,2,15,4,1,0,0,4,0,0
Tusks,94,92,0,15,5,1,0,0,19,0,0
Skin Color,95,93,16,16,1,1,0,0,1,0,0
Face,96,94,0,16,2,1,0,0,2,0,0
Hair Style,97,95,0,16,3,1,0,0,3,0,0
Hair Color,98,96,2,16,4,1,0,0,4,0,0
Tusks,99,97,0,16,5,1,0,0,19,0,0
Skin Color,100,98,16,17,1,1,0,0,1,0,0
Hair Style,102,100,0,17,2,1,0,0,3,0,0
Skin Color,105,103,16,18,1,1,0,0,1,0,0
Face,378,69,0,11,2,1,0,0,2,0,0
Face,379,74,0,12,2,1,0,0,2,0,0
