ID,ChrModelAltVariantOptionID,SourceChrCustomizationChoiceID,VariantChrCustomizationChoiceID
1,41,1,77633
2,41,2,77634
3,41,3,77635
4,41,4,77636
5,41,5,77637
6,41,6,77638
7,41,7,77639
8,41,8,77640
9,41,9,77641
10,41,10,77642
11,41,11,77643
12,41,12,77644
13,42,20,77645
14,42,21,77646
15,42,22,77647
16,42,23,77648
17,42,24,77649
18,42,25,77650
19,42,26,77651
20,42,27,77652
21,42,28,77653
22,42,29,77654
23,42,30,77655
24,42,31,77656
25,17,44,77657
26,17,45,77658
27,17,46,77659
28,17,47,77660
29,17,48,77661
30,17,49,77662
31,17,50,77663
32,17,51,77664
33,17,52,77665
34,17,53,77666
35,17,54,77667
36,17,55,77668
37,18,61,77669
38,18,62,77670
39,18,63,77671
40,18,64,77672
41,18,65,77673
42,18,66,77674
43,18,67,77675
44,18,68,77676
45,18,69,77677
46,18,70,77678
47,2,78934,77679
48,2,78935,77680
49,2,78936,77681
50,2,78937,77682
51,2,78938,77683
52,2,78939,77684
53,2,78940,77685
54,2,78941,77686
55,23,85,77688
56,23,86,77689
57,23,87,77690
58,23,88,77691
59,23,89,77692
60,23,90,77693
61,23,91,77694
62,23,92,77695
63,23,93,77696
64,23,94,77697
65,23,95,77698
66,23,96,77699
67,24,102,77700
68,24,103,77701
69,24,104,77702
70,24,105,77703
71,24,106,77704
72,24,107,77705
73,24,108,77706
74,24,109,77707
75,24,110,77708
76,24,111,77709
77,24,112,77710
78,24,113,77711
79,24,114,77712
80,24,115,77713
81,24,116,77714
82,25,132,77715
83,25,133,77716
84,25,134,77717
85,25,135,77718
86,25,136,77719
87,25,137,77720
88,25,138,77721
89,25,139,77722
90,25,140,77723
91,25,141,77724
92,25,142,77725
93,25,143,77726
94,25,144,77727
95,25,145,77728
96,25,146,77729
97,25,147,77730
98,25,148,77731
99,25,149,77732
100,25,150,77733
101,26,156,77734
102,26,157,77735
103,26,158,77736
104,26,159,77737
105,26,160,77738
106,26,161,77739
107,26,162,77740
108,26,163,77741
109,26,164,77742
110,26,165,77743
111,27,4752,77744
112,27,4753,77745
113,27,4754,77746
114,27,4755,77747
115,27,4756,77748
116,27,4757,77749
117,27,4758,77750
118,28,353,77751
119,28,354,77752
120,28,355,77753
121,28,356,77754
122,28,357,77755
123,28,358,77756
124,28,359,77757
125,28,360,77758
126,28,361,77759
127,28,362,77760
128,28,363,77761
129,28,364,77762
130,28,365,77763
131,28,366,77764
132,28,367,77765
133,29,384,77766
134,29,385,77767
135,29,386,77768
136,29,387,77769
137,29,388,77770
138,29,389,77771
139,29,390,77772
140,29,391,77773
141,29,392,77774
142,54,402,77775
143,54,403,77776
144,54,404,77777
145,54,405,77778
146,54,406,77779
147,54,407,77780
148,54,408,77781
149,30,415,77782
150,30,416,77783
151,30,417,77784
152,30,418,77785
153,30,419,77786
154,30,420,77787
155,30,421,77788
156,30,422,77789
157,7,78923,77790
158,7,78924,77791
159,7,78925,77792
160,7,78926,77793
161,7,78927,77794
162,7,78928,77795
163,7,78929,77796
164,7,78930,77797
165,7,78931,77798
166,7,78932,77799
167,7,78933,77800
168,31,440,77801
169,31,441,77802
170,31,442,77803
171,31,443,77804
172,31,444,77805
173,31,445,77806
174,31,446,77807
175,31,447,77808
176,31,448,77809
177,31,449,77810
178,31,450,77811
179,55,472,77812
180,55,473,77813
181,55,474,77814
182,55,475,77815
183,55,476,77816
184,55,477,77817
185,55,478,77818
186,55,479,77819
187,55,480,77820
188,32,490,77821
189,32,491,77822
190,32,492,77823
191,32,493,77824
192,32,494,77825
193,32,495,77826
194,32,496,77827
195,32,497,77828
196,56,505,77829
197,56,506,77830
198,56,507,77831
199,56,508,77832
200,56,509,77833
201,56,510,77834
202,56,511,77835
203,56,512,77836
204,33,78943,77837
205,33,78944,77838
206,33,78945,77839
207,57,524,77844
208,57,525,77845
209,57,526,77846
210,57,527,77847
211,57,528,77848
212,57,529,77849
213,57,530,77850
214,57,531,77851
215,57,532,77852
216,57,533,77853
217,57,534,77854
218,57,535,77855
219,57,536,77856
220,57,537,77857
221,57,538,77858
222,57,539,77859
223,57,540,77860
224,57,541,77861
225,57,542,77862
226,34,551,77863
227,34,552,77864
228,34,553,77865
229,34,554,77866
230,34,555,77867
231,34,556,77868
232,34,557,77869
233,34,558,77870
234,34,559,77871
235,34,560,77872
236,35,571,77873
237,35,572,77874
238,35,573,77875
239,35,574,77876
240,35,575,77877
241,35,576,77878
242,35,577,77879
243,35,578,77880
244,35,579,77881
245,35,580,77882
246,35,581,77883
247,58,590,77884
248,58,591,77885
249,58,592,77886
250,58,593,77887
251,58,594,77888
252,58,595,77889
253,58,596,77890
254,58,597,77891
255,58,598,77892
256,58,599,77893
257,4,604,77894
258,4,605,77895
259,4,606,77896
260,4,607,77897
261,4,608,77898
262,4,609,77899
263,4,610,77900
264,4,611,77901
265,4,612,77902
266,4,613,77903
267,4,614,77904
268,59,615,77905
269,59,616,77906
270,59,617,77907
271,59,618,77908
272,59,619,77909
273,59,620,77910
274,59,621,77911
275,59,622,77912
276,59,623,77913
277,59,624,77914
278,59,625,77915
279,36,634,77916
280,36,635,77917
281,36,636,77918
282,36,637,77919
283,36,638,77920
284,36,639,77921
285,36,640,77922
286,36,641,77923
287,36,642,77924
288,36,643,77925
289,80,654,77926
290,80,655,77927
291,80,656,77928
292,80,657,77929
293,80,658,77930
294,80,659,77931
295,80,660,77932
296,80,661,77933
297,80,662,77934
298,80,663,77935
299,80,664,77936
300,80,665,77937
301,80,666,77938
302,80,667,77939
303,60,675,77940
304,60,676,77941
305,60,677,77942
306,60,678,77943
307,60,679,77944
308,60,680,77945
309,60,681,77946
310,60,682,77947
311,60,683,77948
312,60,684,77949
313,5,78950,77950
314,5,78951,77951
315,5,78952,77952
316,5,78953,77953
317,5,78954,77954
318,5,78955,77955
319,61,695,77956
320,61,696,77957
321,61,697,77958
322,61,698,77959
323,61,699,77960
324,61,700,77961
325,61,701,77962
326,61,702,77963
327,61,703,77964
328,37,719,77965
329,37,720,77966
330,37,721,77967
331,37,722,77968
332,37,723,77969
333,37,724,77970
334,37,725,77971
335,37,726,77972
336,37,727,77973
337,9,737,77974
338,9,738,77975
339,9,739,77976
340,9,740,77977
341,9,741,77978
342,9,742,77979
343,9,743,77980
344,10,749,77981
345,10,750,77982
346,10,751,77983
347,10,752,77984
348,10,753,77985
349,10,754,77986
350,10,755,77987
351,10,756,77988
352,1,78908,77989
353,1,78909,77990
354,1,78910,77991
355,1,78911,77992
356,1,78912,77993
357,1,78913,77994
358,62,801,77995
359,62,802,77996
360,62,803,77997
361,62,804,77998
362,62,805,77999
363,62,806,78000
364,62,807,78001
365,62,808,78002
366,62,809,78003
367,11,825,78004
368,11,826,78005
369,11,827,78006
370,11,828,78007
371,11,829,78008
372,11,830,78009
373,11,831,78010
374,11,832,78011
375,11,833,78012
376,63,843,78013
377,63,844,78014
378,63,845,78015
379,63,846,78016
