ID,CharComponentTextureLayoutsID,TextureType,Width,Height,Flags,Field_9_0_1_34615_006
1,2,1,2048,1024,0,-1
3,2,6,512,256,0,-1
4,103,1,2048,1024,0,-1
6,103,6,512,256,0,-1
7,2,8,512,512,0,-1
8,103,19,256,128,0,-1
9,104,1,2048,1024,0,-1
11,104,6,256,256,0,-1
12,104,19,256,128,0,-1
13,105,1,2048,1024,0,-1
15,105,6,512,256,0,-1
17,106,1,2048,1024,0,-1
18,106,6,512,256,0,-1
19,106,19,256,128,0,-1
20,105,19,256,128,0,-1
21,104,20,512,512,0,-1
22,107,1,2048,1024,0,-1
23,107,6,512,256,0,-1
24,107,19,256,128,0,-1
26,108,1,2048,1024,0,-1
27,108,6,512,256,0,-1
28,108,19,256,128,0,-1
29,109,19,256,128,0,-1
30,109,1,2048,1024,0,-1
31,109,6,256,256,0,-1
33,110,1,2048,1024,0,-1
34,110,6,256,256,0,-1
35,110,19,256,128,0,-1
36,111,19,256,128,0,-1
37,111,1,2048,1024,0,-1
38,111,6,256,256,0,-1
39,112,1,2048,1024,0,-1
40,112,6,256,256,0,-1
41,112,19,256,128,0,-1
42,113,19,256,128,0,-1
43,113,1,2048,1024,0,-1
44,113,6,512,512,0,-1
45,114,1,2048,1024,0,-1
46,114,6,512,512,0,-1
47,114,19,256,128,0,-1
48,115,1,2048,1024,0,-1
49,115,6,512,256,0,-1
50,115,19,256,128,0,-1
51,116,1,2048,1024,0,-1
52,116,6,512,256,0,-1
53,116,19,256,128,0,-1
54,117,1,2048,1024,0,-1
55,117,6,512,256,0,-1
56,117,19,256,128,0,-1
57,118,1,2048,1024,0,-1
58,118,6,512,256,0,-1
59,118,19,256,128,0,-1
60,119,1,2048,1024,0,-1
61,119,6,512,512,0,-1
62,119,19,256,128,0,-1
63,120,1,2048,1024,0,-1
64,120,6,512,512,0,-1
65,120,19,256,128,0,-1
66,121,19,256,128,0,-1
67,121,1,2048,1024,0,-1
68,121,6,512,256,0,-1
69,122,1,2048,1024,0,-1
70,122,6,512,256,0,-1
71,122,19,256,128,0,-1
72,123,1,2048,1024,0,-1
73,123,6,512,256,0,-1
74,123,19,256,128,0,-1
75,124,1,2048,1024,0,-1
76,124,6,512,256,0,-1
77,124,19,256,128,0,-1
78,113,8,512,512,0,-1
79,114,8,512,512,0,-1
80,123,8,1024,512,0,-1
81,125,19,256,128,0,-1
82,125,1,2048,1024,0,-1
83,125,8,512,512,0,-1
84,126,1,2048,1024,0,-1
85,126,19,256,128,0,-1
86,126,8,512,512,0,-1
87,127,1,2048,1024,0,-1
88,127,6,256,256,0,-1
89,127,19,256,128,0,-1
90,128,20,512,512,0,-1
91,128,1,2048,1024,0,-1
92,128,6,256,256,0,-1
93,128,19,256,128,0,-1
94,129,19,256,128,0,-1
95,129,1,2048,1024,0,-1
96,129,6,512,256,0,-1
97,130,1,2048,1024,0,-1
98,130,6,512,512,0,-1
99,130,19,256,128,0,-1
100,130,8,512,256,0,-1
101,129,8,512,256,0,-1
102,131,19,256,128,0,-1
103,131,1,2048,1024,0,-1
104,131,6,512,256,0,-1
105,132,1,2048,1024,0,-1
106,132,6,512,256,0,-1
107,132,19,256,128,0,-1
108,133,19,256,128,0,-1
109,133,1,2048,1024,0,-1
110,133,6,1024,1024,0,-1
111,133,8,512,512,0,-1
112,134,1,2048,1024,0,-1
113,134,6,1024,512,0,-1
114,134,19,256,128,0,-1
115,134,8,512,512,0,-1
116,135,19,256,128,0,-1
117,135,1,2048,1024,0,-1
118,135,6,512,256,0,-1
119,136,1,2048,1024,0,-1
120,136,6,512,256,0,-1
121,136,19,256,128,0,-1
122,137,1,2048,1024,0,-1
123,137,6,512,256,0,-1
124,137,19,256,128,0,-1
125,137,8,1024,512,0,-1
126,138,1,2048,1024,0,-1
127,138,6,512,256,0,-1
128,138,19,256,128,0,-1
129,139,1,2048,1024,0,-1
130,139,6,512,256,0,-1
131,139,19,256,128,0,-1
132,140,1,2048,1024,0,-1
133,140,6,1024,512,0,-1
134,140,19,256,128,0,-1
135,141,19,256,128,0,-1
136,141,1,2048,1024,0,-1
137,141,6,512,512,0,-1
138,142,1,2048,1024,0,-1
139,142,6,1024,512,0,-1
140,142,19,256,128,0,-1
141,143,1,2048,1024,0,-1
142,143,6,512,256,0,-1
143,143,19,256,128,0,-1
144,144,1,2048,1024,0,-1
145,144,6,512,256,0,-1
146,144,19,256,128,0,-1
147,145,1,2048,1024,0,-1
148,145,6,512,256,0,-1
149,145,19,256,128,0,-1
150,146,1,2048,1024,0,-1
151,146,6,512,256,0,-1
152,146,19,256,128,0,-1
153,147,1,2048,1024,0,-1
154,147,6,512,256,0,-1
155,147,19,256,128,0,-1
156,148,1,2048,1024,0,-1
157,148,6,512,256,0,-1
158,148,19,256,128,0,-1
159,149,19,256,128,0,-1
160,149,1,2048,1024,0,-1
161,149,6,1024,512,0,-1
162,149,8,1024,1024,0,-1
163,150,1,2048,1024,0,-1
164,150,6,1024,512,0,-1
165,150,19,256,128,0,-1
166,150,8,1024,1024,0,-1
167,1,1,1024,1024,0,-1
168,1,6,256,256,0,-1
169,1,8,256,256,0,-1
172,135,21,2048,1024,1,3
173,135,22,512,256,1,4
175,135,23,2048,1024,1,2
176,136,21,2048,1024,1,3
177,136,22,512,256,1,4
179,136,23,2048,1024,1,2
180,122,20,256,256,0,-1
181,110,10,128,256,0,-1
182,109,10,128,256,0,-1
183,124,20,256,256,0,-1
184,123,20,256,256,0,-1
185,116,20,256,256,0,-1
186,113,20,256,256,0,-1
187,114,20,256,256,0,-1
188,119,20,256,256,0,-1
189,120,20,256,256,0,-1
190,136,20,256,256,0,-1
191,151,1,1024,1024,0,-1
192,151,6,256,256,0,-1
193,151,8,1024,1024,0,-1
194,152,1,1024,1024,0,-1
195,152,6,256,256,0,-1
196,152,8,1024,1024,0,-1
197,153,1,512,512,0,-1
198,153,6,128,128,0,-1
199,153,8,256,256,0,-1
200,154,1,1024,1024,0,-1
201,154,6,256,256,0,-1
202,154,8,512,512,0,-1
203,138,20,256,256,0,-1
204,137,20,256,256,0,-1
205,131,20,512,256,0,-1
206,132,20,512,256,0,-1
208,136,7,512,256,0,-1
209,135,7,512,256,0,-1
210,133,20,256,256,0,-1
211,134,20,256,256,0,-1
212,155,1,2048,1024,0,-1
213,155,6,512,256,0,-1
214,155,19,256,128,0,-1
215,155,7,512,512,0,-1
216,155,10,1024,512,0,-1
217,155,9,512,256,0,-1
223,157,1,1024,1024,0,-1
224,157,6,256,256,0,-1
225,157,8,512,256,0,-1
226,157,19,256,128,0,-1
227,157,7,512,512,0,0
228,158,20,512,512,0,-1
229,158,1,2048,1024,0,-1
230,158,6,512,256,0,-1
231,158,19,256,128,0,-1
236,155,20,512,256,0,0
237,158,9,512,256,0,-1
238,159,20,512,512,0,-1
239,159,1,2048,1024,0,-1
240,159,6,512,256,0,-1
241,159,19,256,128,0,-1
242,159,9,512,256,0,-1
243,155,8,1024,1024,0,-1
244,155,26,2048,1024,0,-1
245,155,25,1024,1024,0,-1
246,161,1,1024,1024,0,-1
247,161,6,256,256,0,-1
248,161,8,512,512,0,-1
249,161,19,256,128,0,-1
250,161,7,512,512,0,0
251,164,11,512,512,0,-1
255,166,1,1024,1024,0,-1
257,166,8,1024,1024,0,-1
258,166,19,256,128,0,-1
259,166,7,512,512,0,0
260,166,9,512,512,0,-1
261,166,10,1024,1024,0,-1
262,164,12,512,512,0,-1
263,167,11,512,512,0,-1
264,167,12,256,256,0,-1
265,167,13,128,128,0,-1
266,168,11,512,512,0,-1
267,168,12,16,16,0,-1
268,168,13,128,128,0,-1
269,169,11,512,512,0,-1
270,169,12,256,256,0,-1
271,169,13,128,128,0,-1
272,170,11,512,512,0,-1
273,170,12,256,256,0,-1
274,170,13,128,128,0,-1
275,171,11,512,512,0,-1
276,171,12,256,256,0,-1
277,171,13,128,128,0,-1
278,172,11,512,512,0,-1
279,172,12,256,256,0,-1
280,172,13,128,128,0,-1
281,173,1,1024,512,0,-1
282,173,7,1024,512,0,0
283,173,8,1024,512,0,-1
284,173,5,256,256,0,0
285,173,13,256,256,0,0
286,174,11,512,512,0,-1
287,175,11,512,512,0,-1
288,176,11,512,512,0,-1
289,177,11,512,512,0,-1
290,178,11,512,512,0,-1
291,179,11,1024,512,0,-1
292,180,1,1024,512,0,-1
293,180,7,1024,512,0,0
294,180,8,1024,512,0,-1
295,180,5,256,256,0,0
296,180,13,256,256,0,0
297,179,12,512,512,0,0
298,179,13,512,512,0,0
299,179,5,512,256,0,0
300,181,11,512,512,0,-1
301,181,12,256,256,0,-1
302,181,13,128,128,0,-1
303,182,11,512,512,0,-1
304,182,12,256,256,0,-1
305,182,13,128,128,0,-1
306,183,19,256,128,0,-1
307,183,1,2048,1024,0,-1
308,183,6,512,256,0,-1
