ID,ChrRacesID,Sex,RaceIcon
1,1,0,12027
2,1,1,12026
3,2,0,12041
4,2,1,12040
5,3,0,12019
6,3,1,12018
7,4,0,12039
8,4,1,12038
9,5,0,12049
10,5,1,12048
11,6,0,12045
12,6,1,12044
13,7,0,12021
14,7,1,12020
15,8,0,12047
16,8,1,12046
17,9,0,12023
18,9,1,12022
19,10,0,12013
20,10,1,12012
21,11,0,12017
22,11,1,12016
23,22,0,12055
24,22,1,12054
25,24,0,12043
26,24,1,12042
27,25,0,12043
28,25,1,12042
29,26,0,12043
30,26,1,12042
31,27,0,12037
32,27,1,12036
33,28,0,12025
34,28,1,12024
35,29,0,12051
36,29,1,12050
37,30,0,12031
38,30,1,12030
39,31,0,12057
40,31,1,12056
41,32,0,12029
42,32,1,12028
43,34,0,12015
44,34,1,12014
45,35,0,12053
46,35,1,12052
47,36,0,12033
48,36,1,12032
49,37,0,12035
50,37,1,12034
51,52,0,18081
52,52,1,18080
53,70,0,18081
54,70,1,18080
55,75,0,18490
56,75,1,18489
57,76,0,18490
58,76,1,18489
59,71,3,19957
60,72,3,19958
61,77,3,19959
62,73,3,23901
63,74,3,19960
70,80,3,25100
72,82,3,25101
73,83,3,25531
75,84,0,26635
76,84,1,26634
77,85,0,26635
78,85,1,26634
79,86,0,12051
80,86,1,12050
81,87,3,27697
87,90,3,28583
