ID,ChrSpecializationID,ChrUpgradeTierID
1,62,1
2,62,2
3,62,3
4,62,4
5,62,5
23,250,1
24,250,2
25,250,3
26,250,4
27,250,5
28,251,1
29,251,2
30,251,3
31,251,4
32,251,5
33,252,1
34,252,2
35,252,3
36,252,4
37,252,5
38,102,1
39,102,2
40,102,3
41,102,4
42,102,5
43,103,1
44,103,2
45,103,3
46,103,4
47,103,5
48,104,1
49,104,2
50,104,3
51,104,4
52,104,5
53,105,1
54,105,2
55,105,3
56,105,4
57,105,5
58,253,1
59,253,2
60,253,3
61,253,4
62,253,5
63,254,1
64,254,2
65,254,3
66,254,4
67,254,5
68,255,1
69,255,2
70,255,3
71,255,4
72,255,5
73,63,1
74,63,2
75,63,3
76,63,4
77,63,5
78,64,1
79,64,2
80,64,3
81,64,4
82,64,5
83,268,1
84,268,2
85,268,3
86,268,4
87,268,5
88,270,1
89,270,2
90,270,3
91,270,4
92,270,5
93,269,1
94,269,2
95,269,3
96,269,4
97,269,5
98,65,1
99,65,2
100,65,3
101,65,4
102,65,5
103,66,1
104,66,2
105,66,3
106,66,4
107,66,5
108,70,1
109,70,2
110,70,3
111,70,4
112,70,5
113,256,1
114,256,2
115,256,3
116,256,4
117,256,5
118,257,1
119,257,2
120,257,3
121,257,4
122,257,5
123,258,1
124,258,2
125,258,3
126,258,4
127,258,5
128,259,1
129,259,2
130,259,3
131,259,4
132,259,5
133,260,1
134,260,2
135,260,3
136,260,4
137,260,5
138,261,1
139,261,2
140,261,3
141,261,4
142,261,5
143,262,1
144,262,2
145,262,3
146,262,4
147,262,5
148,263,1
149,263,2
150,263,3
151,263,4
152,263,5
153,264,1
154,264,2
155,264,3
156,264,4
157,264,5
158,265,1
159,265,2
160,265,3
161,265,4
162,265,5
163,266,1
164,266,2
165,266,3
166,266,4
167,266,5
168,267,1
169,267,2
171,267,4
172,267,5
173,71,1
174,71,2
175,71,3
176,71,4
177,71,5
178,72,1
179,72,2
180,72,3
181,72,4
182,72,5
183,73,1
184,73,2
185,73,3
186,73,4
187,73,5
301,263,6
302,270,6
303,66,6
304,255,6
305,256,6
306,268,6
307,72,6
308,252,6
309,259,6
310,264,6
311,64,6
312,62,6
313,65,6
314,70,6
315,71,6
316,73,6
317,79,6
318,253,6
319,254,6
320,258,6
321,261,6
322,103,6
323,104,6
324,105,6
325,267,6
326,257,6
328,63,6
329,250,6
330,251,6
331,260,6
332,262,6
333,265,6
334,266,6
335,269,6
336,102,6
337,74,6
338,81,6
341,537,6
344,250,7
345,251,7
346,102,7
347,252,7
349,104,7
350,105,7
351,253,7
352,254,7
353,255,7
354,62,7
355,63,7
356,64,7
357,268,7
358,270,7
359,269,7
360,65,7
361,66,7
362,70,7
363,256,7
364,257,7
365,258,7
366,259,7
367,260,7
369,262,7
371,264,7
372,265,7
373,266,7
374,267,7
375,71,7
376,72,7
377,73,7
615,265,13
619,262,13
620,262,14
621,71,13
630,103,13
631,103,14
633,103,7
651,252,13
652,70,13
656,64,13
699,263,7
700,263,13
704,255,13
863,577,2
864,577,3
865,577,4
866,577,5
867,577,6
868,577,7
869,577,13
870,577,1
998,252,16
999,64,16
1003,577,16
1006,263,14
1007,263,15
