ID,QuestID,QuestGiverCreatureID,QuestMapID,QuestPosition[0],QuestPosition[1],QuestPosition[2],CollectableSourceInfoID
22715,58166,160439,2222,-5910.335,-703.67706,5628.2803,50928
22716,58166,160439,2222,-5898.347,-987.57465,5655.3384,50928
22717,25131,3145,1,-571.0035,-4260.127,38.237846,46247
22718,10895,19409,530,-670.42706,1851.8438,66.90963,41605
22719,10834,22231,530,-1337.7728,2355.056,88.95518,41605
22720,29111,52207,1,293.9045,-2528.934,91.666664,48552
22727,26637,43610,0,-9136.27,-3033.95,108.632,50931
22728,26637,43610,0,-9639.47,-3476.01,121.956,50931
22729,26637,43459,0,-9465.68,-2826.04,65.2784,50931
22730,26146,1092,0,-5868.0176,-2638.677,308.95023,50932
22731,26146,1092,0,-5324.5063,-2939.8362,333.6027,50932
22732,27752,48010,0,-3181.29,-5061.47,120.985,50933
22733,27752,48175,0,-3182.27,-5060.85,120.994,50933
22734,47528,124749,1642,-208.1007,1545.4827,385.28973,41607
22735,30893,61066,870,1401.7812,2689.9722,321.8759,43859
22736,30672,60139,870,-2576.3733,792.2691,0,41608
22758,13613,33263,1,1206.25,-2235.7,92.7112,48554
22759,32861,71424,870,736.9028,-501.4236,440.1542,9280
22760,32861,69782,870,831.52606,-166.76042,422.8123,9280
22761,10594,21755,530,1914.8392,5578.607,263.8764,41609
22762,26309,42622,0,-242.88542,-4179.2485,121.89945,50935
22763,26283,42612,0,-538.42706,-4579.608,10.877994,50936
22768,12143,26978,571,4567.413,13.664823,78.01425,41611
22769,12145,26979,571,4322.304,1009.02,95.60731,41611
22770,9810,18073,530,-782.62994,6936.527,32.39336,41610
22771,10915,22446,530,-3740.0056,5409.0728,-3.332827,41612
22774,24927,38703,1,-7954.868,-5245.2207,1.2518097,43860
22775,10185,19488,530,2247.1135,2277.427,97.82828,46252
22776,26775,44017,0,-12841.1,-447.958,12.9666,50939
22777,27088,44912,0,1081.15,1568.67,28.0823,50940
22778,899,3432,1,238.93576,-2967.8525,93.981995,43863
22779,25065,39059,1,-9757.29,-3669.8665,10.86517,43864
22784,12219,27295,571,3435.2253,-2746.362,199.38887,43866
22785,12207,27262,571,3316.8276,-2291.8394,110.10778,43866
22787,9694,17684,530,-1960.3881,-11883.229,48.901436,46253
22789,25513,39034,1,-7119.9062,-3797.7466,8.699209,43867
