ID,VendorMapID,VendorPosition[0],VendorPosition[1],VendorPosition[2],VendorItemID,CreatureID,AreaTableID,WMOGroupID,CollectableSourceInfoID
192367,0,-8921.493,-123.2066,81.73114,248170,247226,12,0,170189
192368,0,-8684.489,-102.29514,89.18593,248170,247226,12,0,170189
192369,0,-8917.694,-123.16666,81.72263,248170,247216,12,0,170189
192370,0,-8898.66,-138.41145,80.51412,248170,247216,12,0,170189
192371,0,-8921.493,-123.2066,81.73114,248171,247226,12,0,170190
192372,0,-8684.489,-102.29514,89.18593,248171,247226,12,0,170190
192373,0,-8917.694,-123.16666,81.72263,248171,247216,12,0,170190
192374,0,-8898.66,-138.41145,80.51412,248171,247216,12,0,170190
238854,0,-6443,-1110,309,174372,185791,51,0,175717
238855,1,-7992,1565,5,174372,185791,1377,0,175717
238856,0,2656,-4008,105,174372,185791,139,0,175717
238857,0,-6443,-1110,309,192084,185791,51,0,175718
238858,1,-7992,1565,5,192084,185791,1377,0,175718
238859,0,2656,-4008,105,192084,185791,139,0,175718
238860,0,-6443,-1110,309,192085,185791,51,0,175719
238861,1,-7992,1565,5,192085,185791,1377,0,175719
238862,0,2656,-4008,105,192085,185791,139,0,175719
238863,0,-6443,-1110,309,192086,185791,51,0,175720
238864,1,-7992,1565,5,192086,185791,1377,0,175720
238865,0,2656,-4008,105,192086,185791,139,0,175720
238866,0,-6443,-1110,309,192087,185791,51,0,175721
238867,1,-7992,1565,5,192087,185791,1377,0,175721
238868,0,2656,-4008,105,192087,185791,139,0,175721
238869,0,-6443,-1110,309,192088,185791,51,0,175722
238870,1,-7992,1565,5,192088,185791,1377,0,175722
238871,0,2656,-4008,105,192088,185791,139,0,175722
238872,0,-6443,-1110,309,192089,185791,51,0,175723
238873,1,-7992,1565,5,192089,185791,1377,0,175723
238874,0,2656,-4008,105,192089,185791,139,0,175723
238875,0,-6443,-1110,309,192090,185791,51,0,175724
238876,1,-7992,1565,5,192090,185791,1377,0,175724
238877,0,2656,-4008,105,192090,185791,139,0,175724
238878,0,-6443,-1110,309,192091,185791,51,0,175725
238879,1,-7992,1565,5,192091,185791,1377,0,175725
238880,0,2656,-4008,105,192091,185791,139,0,175725
238881,0,-6443,-1110,309,192092,185791,51,0,175726
238882,1,-7992,1565,5,192092,185791,1377,0,175726
238883,0,2656,-4008,105,192092,185791,139,0,175726
238884,0,-6443,-1110,309,192093,185791,51,0,175727
238885,1,-7992,1565,5,192093,185791,1377,0,175727
