ID,BroadcastTextID,Field_10_2_0_51239_001,SpellVisualKitID,AdditionalDuration,NextConversationLineID,AnimKitID,SpeechType,StartAnimation,EndAnimation
1,977,0,0,4000,120,0,0,60,60
93,75740,0,0,1000,94,0,0,60,60
94,75742,0,0,1000,0,0,0,60,60
95,83198,0,0,1000,96,0,0,60,60
96,83210,0,0,1000,0,0,0,60,60
110,83541,0,0,500,111,0,0,60,60
111,83542,0,0,0,0,0,0,60,60
112,83664,0,0,0,113,0,0,60,60
113,83665,0,0,0,114,0,0,60,60
114,83666,0,0,0,115,0,0,60,60
115,83667,0,0,0,118,0,0,60,60
116,82108,0,0,1000,117,0,0,60,60
117,82231,0,0,0,0,0,0,60,60
118,83684,0,0,0,119,0,0,60,60
119,83685,0,0,0,677,0,0,60,60
120,25180,0,0,4000,7141,0,0,60,60
125,84471,0,0,1000,126,0,0,60,60
126,84472,0,0,1000,127,0,0,60,60
127,84473,0,0,6000,128,0,0,60,60
128,84575,0,0,1000,0,0,0,60,60
129,84578,0,0,0,0,0,0,60,60
131,84589,0,0,500,132,0,0,60,60
132,84590,0,0,0,0,0,0,60,60
133,84591,0,0,-1000,134,0,0,60,60
134,84592,0,0,5000,0,0,0,60,60
135,84679,0,0,1000,136,0,0,60,60
136,84680,0,0,1000,137,0,0,60,60
137,84681,0,0,0,0,0,0,60,60
138,84683,0,0,1000,139,0,0,60,60
139,84684,0,0,500,140,0,0,60,60
140,0,0,46807,1000,141,0,0,60,60
141,0,0,46807,2000,142,0,0,60,60
142,84685,0,0,0,0,0,0,60,60
143,84887,0,0,500,144,0,1,60,60
144,84902,0,0,500,145,0,1,60,60
145,84888,0,0,500,146,0,1,60,60
146,84903,0,0,500,147,0,1,60,60
147,84889,0,0,500,148,0,1,60,60
148,84904,0,0,0,149,0,1,60,60
149,84890,0,0,500,150,0,1,60,60
150,84891,0,0,500,0,0,1,60,60
153,84894,0,0,500,154,0,1,60,60
154,84907,0,0,500,155,0,1,60,60
155,84911,0,0,500,156,0,1,60,60
156,84895,0,0,500,157,0,1,60,60
157,84869,0,0,500,158,0,1,60,60
158,84912,0,0,500,159,0,1,60,60
159,84870,0,0,0,0,0,1,60,60
160,84872,0,0,5000,161,0,1,60,60
161,84883,0,0,5000,162,0,1,60,60
162,84873,0,0,15000,163,0,1,60,60
163,84884,0,0,5000,164,0,1,60,60
164,84874,0,0,0,0,0,1,60,60
165,81695,0,0,500,166,0,0,60,60
166,85104,0,0,500,167,0,0,60,60
167,85105,0,0,0,0,0,0,60,60
168,85109,0,0,0,169,0,0,60,60
169,85110,0,0,0,417,0,0,60,60
170,85111,0,0,0,171,0,0,60,60
171,85112,0,0,0,415,0,0,60,60
