ID,SpellID,Field_11_1_5_59571_001,CooldownSetSpellID
101,16979,0,280
102,49376,0,280
103,102383,0,280
104,102416,0,280
105,102417,0,280
204,455465,0,763
205,455476,0,763
287,441698,0,1597
688,193332,0,760
697,393763,0,597
1086,69369,0,1443
1088,120954,0,10487
1089,450711,0,10490
1090,383800,0,10492
1091,451021,0,10525
1092,392883,0,10484
1093,455071,0,10483
1094,215479,0,10245
1095,228563,0,10485
1123,375981,0,10327
1127,203819,0,11431
1139,194249,0,11464
1143,390993,0,4815
1145,1216314,0,5322
1147,372617,0,5888
1149,27827,0,5951
1172,212988,0,11732
1199,115192,0,11858
1207,256171,0,11872
1208,22482,0,11873
1237,442435,0,11527
1238,442624,0,11528
1361,344179,0,10062
1487,132403,0,12425
1504,378770,0,3584
1507,443616,0,12650
1508,443421,0,12650
1778,115356,0,11880
2157,215785,0,13936
2263,365362,0,6624
2677,450346,0,301
2685,450360,0,323
2707,393942,1,525
2708,393944,1,526
2714,48518,1,76
2715,48517,1,78
2723,279709,0,117
2733,135700,0,1419
2740,1244483,0,1520
2963,391873,0,1546
2967,441695,0,1597
3154,209746,0,17040
3169,209731,0,17077
3198,305497,0,17161
3227,157228,0,17254
3242,393897,0,17291
3312,305497,0,17493
3313,393897,0,17494
3322,209731,0,17679
3338,85739,0,17728
3518,132404,0,18468
3615,111685,0,18794
3634,196406,0,18797
4497,157299,0,23563
4505,77762,0,23652
4511,188592,1,24093
4676,447244,0,25449
4722,387385,0,18796
4741,450193,1,25741
4780,373204,0,25921
4790,450193,0,4136
4834,417234,0,26230
4873,431177,0,26467
4876,383395,0,6154
4878,451073,0,6210
4884,431177,0,6213
4908,263725,0,6755
4912,451073,0,6854
4938,389020,0,3664
4942,260402,0,3604
4943,257622,0,3644
4982,260286,0,8177
4984,472640,0,9531
5042,114108,0,9185
5049,16870,0,9038
5072,145205,0,9056
5154,405963,0,29506
5188,434112,0,9579
5204,392360,0,10447
5219,428737,0,9442
5220,414196,0,29873
5231,378078,0,30041
5237,327510,0,30075
5241,400745,0,30251
5271,443421,0,30502
5272,443616,0,30502
5274,202090,0,30505
5293,444929,0,30599
5298,444661,0,30668
5303,386652,0,30705
5401,268877,1,31396
5546,470077,0,32869
5584,447244,0,33226
5857,370901,0,36471
6155,392401,0,31054
6156,115192,0,31044
6184,441786,0,37083
6185,441640,0,37008
6191,457280,0,31334
6192,441326,0,36970
6199,452923,1,35224
6200,452917,1,35257
6201,426593,0,36827
6205,196911,0,36440
6217,385960,0,36395
6219,457280,0,31518
6221,185422,0,36124
6234,212800,0,40494
6245,50322,0,40561
6284,206804,0,40812
6289,162264,0,40871
6329,1215159,0,41176
6330,427641,0,41177
6338,391215,0,41237
6408,452917,1,41689
6417,452923,1,41750
6704,385727,0,42633
6964,441786,0,43779
6992,441640,0,43931
7025,115192,0,44087
7115,1227806,0,9020
7287,342246,0,4937
7298,342246,0,5690
7349,342246,0,4402
7811,393951,0,48367
7842,184362,0,48610
7906,97463,0,34110
7910,97463,0,33986
7911,97463,0,18446
7955,205180,0,9944
7978,202090,0,49566
7989,392883,0,49627
8049,188290,0,50002
8092,188370,1,50107
8173,428735,0,195
8212,51124,0,50939
8213,456370,0,51190
8228,81256,0,5865
8408,365362,0,53326
8583,373267,0,1129
8717,114255,0,2671
8778,390787,0,56372
8866,411055,0,57411
9006,45524,0,8147
9025,81340,0,58768
9026,45524,0,27912
9036,45524,0,58947
9068,1235391,0,27902
9257,16979,0,60132
9258,49376,0,60132
9259,102383,0,60132
9260,102416,0,60132
9261,102417,0,60132
9310,16979,0,2271
9311,49376,0,2271
9312,102383,0,2271
9313,102416,0,2271
9314,102417,0,2271
9486,431522,0,61043
9489,387178,0,61075
9517,223819,0,61268
9522,414193,0,61409
9580,462377,0,61709
9604,215769,0,5951
9670,186258,0,3452
9678,186258,0,7508
9681,186258,0,7494
10122,221885,0,19407
10123,221883,0,19407
10124,221886,0,19407
10125,221887,0,19407
