ID,Order,CraftingQualityID,QualityPercentage,Field_10_0_0_44895_004,CraftingDifficultyID
1,0,1,0,1,1
2,1,2,50,1.1,1
3,2,3,100,1.2,1
4,0,4,0,1,2
5,1,5,20,1.05,2
6,2,6,50,1.1,2
7,3,7,80,1.15,2
8,4,8,100,1.2,2
19,0,1,0,1,7
20,1,2,1,1,7
21,2,3,100,1,7
30,0,1,0,1,13
31,1,2,50,1.1,13
32,2,3,100,1.2,13
33,0,4,0,1,14
34,1,5,20,1.05,14
35,2,6,50,1.1,14
36,3,7,80,1.15,14
37,4,8,100,1.2,14
38,0,1,0,1,15
39,1,2,50,1.1,15
40,2,3,100,1.2,15
41,0,1,0,1,16
42,1,2,50,1.1,16
43,2,3,100,1.2,16
44,0,1,0,1,17
45,1,2,50,1.1,17
46,2,3,100,1.2,17
47,0,1,0,1,18
48,1,2,50,1.1,18
49,2,3,100,1.2,18
50,0,4,0,1,19
51,1,5,20,1.05,19
52,2,6,50,1.1,19
53,3,7,80,1.15,19
54,4,8,100,1.2,19
55,0,4,0,1,20
56,1,5,20,1.05,20
57,2,6,50,1.1,20
58,3,7,80,1.15,20
59,4,8,100,1.2,20
60,0,4,0,1,21
61,1,5,20,1.05,21
62,2,6,50,1.1,21
63,3,7,80,1.15,21
64,4,8,100,1.2,21
65,0,1,0,1,22
66,1,2,50,1.1,22
67,2,3,100,1.2,22
68,0,1,0,1,23
69,1,2,50,1.1,23
70,2,3,100,1.2,23
71,0,1,0,1,24
72,1,2,50,1.1,24
73,2,3,100,1.2,24
74,0,13,0,1,25
75,1,14,100,1.2,25
76,0,13,0,1,26
77,1,14,100,1.2,26
78,0,13,0,1,27
79,1,14,100,1.2,27
80,0,13,0,1,28
81,1,14,100,1.2,28
82,0,13,0,1,29
83,1,14,100,1.2,29
84,0,13,0,1,30
85,1,14,100,1.2,30
86,0,13,0,1,31
87,1,14,100,1.2,31
88,0,4,0,1,32
89,1,5,20,1.05,32
90,2,6,50,1.1,32
91,3,7,80,1.15,32
92,4,8,100,1.2,32
93,0,4,0,1,33
94,1,5,20,1.05,33
95,2,6,50,1.1,33
96,3,7,80,1.15,33
97,4,8,100,1.2,33
98,0,4,0,1,34
99,1,5,20,1.05,34
100,2,6,50,1.1,34
101,3,7,80,1.15,34
102,4,8,100,1.2,34
103,0,4,0,1,35
104,1,5,20,1.05,35
105,2,6,50,1.1,35
106,3,7,80,1.15,35
107,4,8,100,1.2,35
108,0,13,0,1,36
109,1,14,100,1.2,36
