ID,Name_lang,NameAlt_lang,Title_lang,TitleAlt_lang,Classification,CreatureType,CreatureFamily,StartAnimState,DisplayID[0],DisplayID[1],DisplayID[2],DisplayID[3],DisplayProbability[0],DisplayProbability[1],DisplayProbability[2],DisplayProbability[3],AlwaysItem[0],AlwaysItem[1],AlwaysItem[2]
3,Flesh Eater,,,,0,6,0,0,987,0,0,0,1,1,1,1,0,0,0
89,Infernal,,,,0,3,108,0,169,0,0,0,1,1,1,1,0,0,0
304,Felsteed,,,,0,3,0,0,2346,0,0,0,1,1,1,1,0,0,0
416,Imp,,,,0,3,23,0,4449,0,0,0,1,1,1,1,0,0,0
417,Felhunter,,,,0,3,15,0,850,0,0,0,1,1,1,1,0,0,0
444,Chubbs,,,,0,14,0,0,22938,0,0,0,1,1,1,1,0,0,0
1860,Voidwalker,,,,0,3,16,0,1132,0,0,0,1,1,1,1,0,0,0
1863,Succubus,,,,0,3,17,0,4162,0,0,0,1,1,1,1,0,0,0
2671,Mechanical Squirrel,,,,0,12,0,0,7937,0,0,0,1,1,1,1,0,0,0
2748,Archaedas,,Ancient Stone Watcher,,1,5,0,0,5988,0,0,0,1,1,1,1,2557,0,0
3524,Spirit Wolf,,,,0,1,0,0,1236,0,0,0,1,1,1,1,0,0,0
4075,Rat,,,,0,8,0,0,1141,1418,2176,0,2,2,1,0,0,0,0
7380,Siamese Cat,,,,0,12,0,0,5585,0,0,0,1,1,1,1,0,0,0
7381,Silver Tabby Cat,,,,0,12,0,0,5555,0,0,0,1,1,1,1,0,0,0
7382,Orange Tabby Cat,,,,0,12,0,0,5554,0,0,0,1,1,1,1,0,0,0
7383,Black Tabby Cat,,,,0,12,0,0,5448,0,0,0,1,1,1,1,0,0,0
7384,Cornish Rex Cat,,,,0,12,0,0,5586,0,0,0,1,1,1,1,0,0,0
7385,Bombay Cat,,,,0,12,0,0,5556,0,0,0,1,1,1,1,0,0,0
7386,White Kitten,,,,0,12,0,0,9990,0,0,0,1,1,1,1,0,0,0
7387,Green Wing Macaw,,,,0,12,0,3,5207,0,0,0,1,1,1,1,0,0,0
7388,Cockatoo,,,,0,12,0,3,6189,0,0,0,1,1,1,1,0,0,0
7389,Senegal,,,,0,12,0,3,6190,0,0,0,1,1,1,1,0,0,0
7390,Cockatiel,,,,0,12,0,3,6191,0,0,0,1,1,1,1,0,0,0
7391,Hyacinth Macaw,,,,0,12,0,3,6192,0,0,0,1,1,1,1,0,0,0
7392,Prairie Chicken,,,,0,12,0,0,304,0,0,0,1,1,1,1,0,0,0
7393,White Plymouth Rock,,,,0,12,0,0,304,0,0,0,1,1,1,1,0,0,0
7394,Ancona Chicken,,,,0,12,0,0,5369,0,0,0,1,1,1,1,0,0,0
7395,Undercity Cockroach,,,,0,12,0,0,2177,0,0,0,1,1,1,1,0,0,0
7543,Dark Whelpling,,,,0,12,0,3,6288,0,0,0,1,1,1,1,0,0,0
7544,Crimson Whelpling,,,,0,12,0,3,6290,0,0,0,1,1,1,1,0,0,0
7545,Emerald Whelpling,,,,0,12,0,3,6291,0,0,0,1,1,1,1,0,0,0
7546,Bronze Whelpling,,,,0,12,0,3,6292,0,0,0,1,1,1,1,0,0,0
7547,Azure Whelpling,,,,0,12,0,3,6293,0,0,0,1,1,1,1,0,0,0
7548,Faeling,,,,0,12,0,0,6294,0,0,0,1,1,1,1,0,0,0
7549,Tree Frog,,,,0,12,0,0,6295,0,0,0,1,1,1,1,0,0,0
7550,Wood Frog,,,,0,12,0,0,901,0,0,0,1,1,1,1,0,0,0
7551,Dart Frog,,,,0,12,0,0,6296,0,0,0,1,1,1,1,0,0,0
7552,Island Frog,,,,0,12,0,0,6297,0,0,0,1,1,1,1,0,0,0
7553,Great Horned Owl,,,,0,12,0,3,4615,0,0,0,1,1,1,1,0,0,0
7554,Snowy Owl,,,,0,14,0,3,6298,0,0,0,1,1,1,1,0,0,0
7555,Hawk Owl,,,,0,12,0,3,6299,0,0,0,1,1,1,1,0,0,0
7556,Eagle Owl,,,,0,12,0,3,6300,0,0,0,1,1,1,1,0,0,0
7560,Snowshoe Rabbit,,,,0,12,0,0,328,0,0,0,1,1,1,1,0,0,0
7561,Albino Snake,,,,0,12,0,0,2955,0,0,0,1,1,1,1,0,0,0
