ID,CreatureDisplayInfoCondID,ChrCustomizationChoiceID
1,45,3607
2,45,8181
3,46,859
4,46,860
5,46,861
6,46,8174
7,46,8175
8,47,863
9,47,864
10,47,8175
11,47,8178
12,48,865
13,48,8179
14,49,862
15,49,8177
16,66,1808
17,67,1804
18,67,1805
19,54,882
20,54,1838
21,55,883
22,55,1839
23,56,884
24,56,1840
25,57,885
26,57,1841
27,58,886
28,58,1842
29,59,3714
30,59,3716
31,60,770
32,60,1701
33,61,771
34,61,1702
35,62,772
36,62,1703
37,63,773
38,63,1704
39,64,774
40,64,1705
41,65,3713
42,65,3715
43,6,1808
44,7,1804
45,7,1805
46,8,1803
47,8,1807
48,8,1810
49,9,1802
50,9,1806
51,10,1809
52,11,1673
53,11,1675
54,12,1669
55,12,1670
56,13,1668
57,13,1672
58,14,1667
59,14,1671
60,15,1674
61,16,3607
62,16,8181
63,17,859
64,17,860
65,17,861
66,17,8174
67,17,8175
68,18,863
69,18,864
70,18,8175
71,18,8178
72,19,865
73,19,8179
74,20,862
75,20,8177
76,21,3605
77,22,750
78,22,751
79,22,752
80,23,754
81,23,755
82,24,756
83,25,753
84,26,883
85,26,1839
86,27,882
87,27,1838
88,28,884
89,28,1840
90,29,885
91,29,1841
92,30,886
93,30,1842
94,31,3714
95,31,3716
96,32,770
97,32,1701
98,33,771
99,33,1702
100,34,772
101,34,1703
102,35,773
103,35,1704
104,36,774
105,36,1705
106,37,3713
107,37,3715
108,68,1803
109,68,1807
110,68,1810
111,69,1802
112,69,1806
113,70,1809
