ID,CreatureDisplayInfoID,Probability,Scale,OrderIndex,Field_11_0_0_54210_004,CreatureID
77034,21900,1,1,0,0,23909
110835,169,0,1,0,0,61544
110836,13069,1,1,1,0,61544
111093,39163,1,1,0,0,55571
111210,39333,1,1,0,0,55574
185753,56187,0,1,0,0,121295
185754,11686,1,1,1,0,121295
195723,56187,0,1,0,0,130357
195724,11686,1,1,1,0,130357
261667,122023,1,1,0,0,16701
598040,7937,1,1,0,0,2671
601266,5585,1,1,0,0,7380
601267,5555,1,1,0,0,7381
601268,5554,1,1,0,0,7382
601269,5448,1,1,0,0,7383
601270,5586,1,1,0,0,7384
601271,5556,1,1,0,0,7385
601272,9989,1,1,0,0,7386
601273,5207,1,1,0,0,7387
601274,6189,1,1,0,0,7388
601275,6190,1,1,0,0,7389
601276,6191,1,1,0,0,7390
601277,6192,1,1,0,0,7391
601278,304,1,1,0,0,7392
601280,147417,1,1,0,0,7394
601281,2177,1,1,0,0,7395
601347,6288,1,1,0,0,7543
601348,6290,1,1,0,0,7544
601349,6291,1,1,0,0,7545
601350,6292,1,1,0,0,7546
601351,6293,1,1,0,0,7547
601352,6294,1,1,0,0,7548
601353,6295,1,1,0,0,7549
601354,901,1,1,0,0,7550
601355,6296,1,1,0,0,7551
601356,6297,1,1,0,0,7552
601357,4615,1,1,0,0,7553
601358,6298,1,1,0,0,7554
601359,6299,1,1,0,0,7555
601360,6300,1,1,0,0,7556
601361,4626,1,1,0,0,7558
601363,6302,1,1,0,0,7560
601364,2955,1,1,0,0,7561
601365,2957,1,1,0,0,7562
601368,1206,1,1,0,0,7565
601369,2954,1,1,0,0,7566
601370,6303,1,1,0,0,7567
601371,2954,1,1,0,0,7568
601372,1986,1,1,0,0,7569
601373,1824,1,1,0,0,7570
601726,7920,1,1,0,0,8376
602180,8909,1,1,0,0,9656
602181,8910,1,1,0,0,9657
602184,6294,1,1,0,0,9662
602224,9209,1,1,0,0,9936
602312,9563,1,1,0,0,10259
602313,9572,1,1,1,0,10259
602391,9997,1,1,0,0,10598
602725,9554,1,1,0,0,11236
602767,10990,1,1,0,0,11325
602768,10992,1,1,0,0,11326
602769,10993,1,1,0,0,11327
603395,901,1,1,0,0,12419
604186,1072,1,1,0,0,14421
604324,14657,1,1,0,0,14629
604325,14658,1,1,0,0,14630
604326,14659,1,1,0,0,14631
604327,14660,1,1,0,0,14632
604328,14661,1,1,0,0,14633
604430,14778,1,1,0,0,14755
604431,14779,1,1,0,0,14756
604522,14938,1,1,0,0,14878
604752,15369,1,1,0,0,15186
604848,15393,1,1,0,0,15356
604849,15397,1,1,0,0,15357
604850,15398,1,1,0,0,15358
604851,15396,1,1,0,0,15359
604852,15394,1,1,0,0,15360
604853,15395,1,1,0,0,15361
604904,15436,1,1,0,0,15429
605061,15595,1,1,0,0,15661
605099,15660,1,1,0,0,15698
605100,10269,1,1,0,0,15699
605106,15663,1,1,0,0,15705
605107,15904,1,1,0,0,15706
605111,15671,1,1,0,0,15710
605420,15984,1,1,0,0,16069
605430,15992,1,1,0,0,16085
605564,15398,1,1,0,0,16445
605569,16189,1,1,0,0,16456
605591,16259,1,1,0,0,16547
605592,16257,1,1,0,0,16548
605593,2176,1,1,0,0,16549
605671,16942,1,1,0,0,17254
605672,16943,1,1,0,0,17255
650562,5554,1,1,0,0,259430
651335,6296,1,1,0,0,259842
653226,142494,1,1,0,0,260580
655654,142952,1,1,0,0,261680
656883,142952,1,1,0,0,262224
658556,143452,1,1,0,0,262986
659857,143743,1,0.7,0,0,263559
661882,2183,1,1,0,0,167875
662288,5556,1,0.75,0,0,264632
662295,5554,1,1,0,0,264634
662299,5554,1,1,0,0,264636
662304,11709,1,1,0,0,264638
662305,5556,1,0.9,0,0,264639
664932,6193,1,1,0,0,265797
665365,1141,1,1,0,0,266025
666704,144879,1,1,0,0,266735
669579,145177,1,1,0,0,267842
671227,145568,1,1,0,0,268707
671323,6295,1,1,0,0,268744
671481,145638,1,1,0,0,268840
674453,1126,0,1,0,0,270313
674454,15435,1,1,1,0,270313
676585,146639,1,0.15,0,0,271368
676996,117132,1,1,0,0,271636
677503,146839,1,0.25,0,0,271867
677507,144905,1,1,0,0,271870
677513,146842,1,0.25,0,0,271874
677514,146843,1,0.25,0,0,271875
677515,146844,1,0.25,0,0,271876
677516,146845,1,0.25,0,0,271877
677517,146846,1,0.25,0,0,271878
677531,146849,1,0.25,0,0,271888
677532,146850,1,0.25,0,0,271889
677533,146851,1,0.25,0,0,271890
677534,146852,1,0.25,0,0,271891
677535,146853,1,0.25,0,0,271892
677536,146854,1,0.25,0,0,271893
677572,146859,1,1,0,0,271913
677573,146860,1,1,0,0,271914
677574,2958,1,1,0,0,271915
677674,1072,1,1,0,0,271972
677685,146884,1,1,0,0,271979
677686,146882,1,1,0,0,271980
677699,328,1,1,0,0,7559
677709,4626,1,1,0,0,271993
677732,11709,1,1,0,0,272012
678025,146953,1,1,0,0,272210
678028,146957,1,1,0,0,272213
678033,146958,1,1,0,0,272214
678034,146959,1,1,0,0,272215
678038,146960,1,1,0,0,272219
678056,146962,1,1,0,0,272226
678057,146961,1,1,0,0,272227
678059,146963,1,1,0,0,272229
678061,146964,1,1,0,0,272231
678065,146965,1,1,0,0,272235
678068,146966,1,1,0,0,272238
678069,146967,1,1,0,0,272239
678072,146968,1,1,0,0,272241
678073,146969,1,1,0,0,272242
678074,146970,1,1,0,0,272243
678076,146971,1,1,0,0,272245
678081,146973,1,1,0,0,272249
678082,146974,1,1,0,0,272250
678083,146975,1,1,0,0,272251
678084,146976,1,1,0,0,272252
678208,11709,1,1,0,0,272309
678209,5555,1,0.85,0,0,272310
678230,146956,1,1,0,0,272328
678231,146954,1,1,0,0,272329
678232,146955,1,1,0,0,272330
678940,5554,1,0.85,0,0,272614
679581,9563,1,1,0,0,273003
679582,9572,1,1,1,0,273003
680481,147381,1,1,0,0,273391
681631,147589,1,1,0,0,273916
681632,147591,1,1,0,0,273917
681633,147592,1,1,0,0,273918
681634,147593,1,1,0,0,273919
681635,147594,1,1,0,0,273920
681636,147595,1,1,0,0,273921
681640,147596,1,1,0,0,273925
681641,147597,1,1,0,0,273926
681642,147598,1,1,0,0,273927
681643,147599,1,1,0,0,273928
681718,3248,1,0.25,0,0,273956
682578,147717,1,1,0,0,274334
682691,147738,1,1,0,0,274412
683667,147969,1,1,0,0,274947
