ID,State0ImpactEffectDoodadSet,State0AmbientDoodadSet,State1WMO,State1DestructionDoodadSet,State1ImpactEffectDoodadSet,State1AmbientDoodadSet,State2WMO,State2DestructionDoodadSet,State2ImpactEffectDoodadSet,State2AmbientDoodadSet,State3WMO,State3InitDoodadSet,State3AmbientDoodadSet,EjectDirection,DoNotHighlight,State0WMO,HealEffect,HealEffectSpeed,State0NameSet,State1NameSet,State2NameSet,State3NameSet
25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8459,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,628,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7541,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7552,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8335,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8523,0,0,0,0,0,0
31,0,0,7897,1,0,0,7874,1,0,0,0,0,3,0,0,7877,4,0,0,0,0,0
32,0,0,7908,0,0,0,0,0,0,0,0,0,4,0,0,7909,0,0,0,0,0,0
33,0,0,7908,0,0,0,0,0,0,0,0,0,4,0,0,7910,0,0,0,0,0,0
34,0,0,7912,0,0,0,0,0,0,0,0,0,5,0,0,7915,0,0,0,0,0,0
35,0,0,7912,1,0,2,0,0,0,0,0,0,6,0,0,7915,0,0,0,0,0,0
36,0,0,7913,1,3,2,0,0,0,0,0,0,7,0,0,7914,0,0,0,0,0,0
37,0,0,8166,1,0,0,8167,1,0,0,0,0,8,0,0,8165,0,0,0,0,0,0
38,0,0,8166,1,0,0,8167,1,0,0,0,0,9,8,0,8165,0,0,0,0,0,0
39,0,0,8169,2,1,0,7898,1,0,0,0,0,10,0,0,7900,0,0,0,0,0,0
40,0,0,8186,1,0,0,7908,1,0,0,0,0,11,0,0,7909,0,0,0,0,0,0
41,0,0,8198,1,0,0,0,0,0,0,0,0,12,0,0,7906,0,0,0,0,0,0
42,0,0,8198,1,0,0,7855,1,0,0,0,0,13,0,0,7906,0,0,0,0,0,0
43,0,0,8198,1,0,0,7855,1,0,0,0,0,14,8,0,7906,0,0,0,0,0,0
44,0,0,8209,1,2,0,8210,1,2,0,0,0,15,0,0,8208,0,0,0,0,0,0
45,0,0,8209,1,2,0,8210,1,2,0,0,0,16,0,0,8208,0,0,0,0,0,0
46,0,0,8246,1,1,1,0,0,0,0,0,0,17,0,0,8250,0,0,0,0,0,0
47,0,0,8246,1,1,1,0,0,0,0,0,0,18,0,1,8250,0,0,0,0,0,0
48,0,0,8249,1,1,1,0,0,0,0,0,0,19,0,0,8251,0,0,0,0,0,0
49,0,0,8249,1,1,1,0,0,0,0,0,0,20,0,1,8251,0,0,0,0,0,0
50,0,0,8387,0,0,0,8386,1,0,0,0,0,21,8,1,8387,0,0,0,0,0,0
51,0,0,8593,0,0,0,8591,1,0,0,0,0,0,2,0,8593,0,0,0,0,0,0
52,0,0,8593,0,0,0,8591,1,0,0,0,0,0,4,0,8593,0,0,0,0,0,0
53,0,0,8593,0,0,0,8591,1,0,0,0,0,0,6,0,8593,0,0,0,0,0,0
54,1,0,8169,2,1,0,7898,1,0,0,0,0,22,0,0,7900,0,0,0,0,0,0
55,1,0,8173,2,1,0,7875,1,0,0,0,0,23,0,0,7878,0,0,0,0,0,0
56,1,0,8584,2,1,0,8585,1,0,0,0,0,0,4,0,8590,0,0,0,0,0,0
57,1,0,8584,1,0,0,8585,1,0,0,0,0,0,6,0,8590,0,0,0,0,0,0
58,3,0,7540,1,3,2,7541,1,0,0,7809,0,0,5,0,7595,1,25,0,0,0,0
59,0,0,9003,1,0,0,9003,1,0,0,0,0,22,0,0,8996,0,0,0,0,0,0
60,0,0,8997,0,0,0,9000,0,0,0,0,0,22,0,0,8997,0,0,0,0,0,0
61,0,0,8996,0,0,0,9003,1,0,0,0,0,0,0,0,9048,0,0,0,0,0,0
62,0,0,8997,0,0,0,9000,1,0,0,0,0,0,0,0,9085,0,0,0,0,0,0
63,0,0,9060,1,0,0,0,0,0,0,0,0,0,8,1,9059,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9218,0,0,0,0,0,0
65,0,0,9257,1,0,0,9258,0,0,0,0,0,0,8,0,9256,0,0,0,0,0,0
67,0,0,9257,1,0,0,9258,1,0,0,9258,1,0,8,1,9276,4,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9152,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9530,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9563,0,0,2,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3015,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9580,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9582,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9583,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9534,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9534,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9774,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9773,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7552,0,0,13,0,0,0
82,0,0,9793,1,0,0,9794,1,0,0,0,0,0,0,0,9785,2,1000,0,0,0,0
84,0,0,7541,0,0,0,0,0,0,0,0,0,0,8,0,3015,4,0,1,0,0,0
85,0,0,0,0,0,0,9891,1,0,0,0,0,0,0,1,9881,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9563,0,0,3,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9563,0,0,1,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3015,0,0,3,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3015,0,0,2,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3015,0,0,4,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7552,0,0,11,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7552,0,0,9,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7552,0,0,10,0,0,0
94,0,0,0,0,0,0,10370,1,0,0,0,0,0,8,1,10369,4,0,0,0,0,0
95,0,0,10379,1,0,0,10380,-1,-1,0,0,0,0,0,0,10378,0,0,0,0,0,0
104,0,0,10555,1,0,0,0,0,0,0,0,0,0,7,1,10550,3,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,10550,3,0,0,0,0,0
106,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,10555,3,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10587,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10589,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10590,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10601,0,0,0,0,0,0
114,0,0,10622,1,0,0,10703,1,0,0,0,0,0,8,1,10620,4,0,0,0,0,0
118,0,0,10630,0,0,0,10734,0,0,0,0,0,0,8,1,10628,4,0,0,0,0,0
119,0,0,0,0,0,0,10641,1,0,0,0,0,0,8,1,10571,4,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10675,0,0,0,0,0,0
137,0,0,10601,0,0,0,10601,0,0,0,0,0,21,8,1,10601,0,0,0,0,0,0
138,0,0,10698,1,0,0,0,0,0,0,10699,1,0,0,0,10697,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10469,0,0,0,0,0,0
141,0,0,10727,1,2,0,10572,1,0,0,0,0,0,8,1,10640,4,0,0,0,0,0
146,0,0,0,0,0,0,10886,1,0,0,0,0,0,8,1,10882,4,0,0,0,0,0
147,0,0,0,0,0,0,11094,0,0,0,0,0,0,8,1,9150,4,0,0,0,0,0
148,0,0,0,0,0,0,11094,0,0,0,0,0,0,8,1,9151,4,0,0,0,0,0
