ID,Ramp,StartValue,EndValue,FadeInTime,FadeOutTime,Duration,AttachID,ProjectionType,TextureBlendSetID,Scale,Flags,CurveID,Priority,FresnelIntensity,Field_9_1_5_40496_014,Field_9_1_5_40496_015,Field_9_1_5_40496_016,Field_9_1_5_40496_017,Field_9_1_5_40496_018,Field_10_0_0_44649_019,Field_10_0_0_44649_020
1072,10,1,0,1,0,0,-1,7,773,1,7,0,0,0,1,1,1,1,1,-1,0
1075,10,1,0,0.5,0,0,-1,7,774,1,23,0,0,0,1,1,1,1,1,-1,0
1096,10,1,0,0.2,0,0.2,-1,7,788,1,7,0,0,0,1,1,1,1,1,-1,0
1113,10,0,1,0.2,1,0,-1,7,773,1,7,0,0,0,1,1,1,1,1,-1,0
1114,10,0,1,0.5,0.5,0,-1,7,774,1,7,0,0,0,1,1,1,1,1,-1,0
1811,4,0,1,1,1,0,-1,0,0,1,23,0,0,0,1,1,1,1,1,-1,0
1834,8,1,0,0,1,1.25,-1,1,1169,1,23,0,0,0,1,1,1,1,1,-1,0
1835,8,1,0,1,0,1,-1,1,1170,1,23,0,0,0,1,1,1,1,1,-1,0
1844,8,1,0,0,1,1.25,-1,1,1173,1,23,0,0,0,1,1,1,1,1,-1,0
2354,10,1,0,1,2,2,-1,1,1169,1,23,0,0,0,1,1,1,1,1,-1,0
2380,0,0,0,2,2,250,-1,3,0,1,23,0,0,0,0,0,0,0,0,0,0
2381,4,1,0,1.5,0,1.5,-1,1,1511,1,23,0,5,0,1,1,1,1,1,-1,0
2392,4,1,0,0.25,0,1,-1,1,1170,1,23,0,5,0,1,1,1,1,1,-1,0
2543,4,0,3,3,0,5,-1,7,2190,1,87,0,0,0,255,255,255,0,1,0,0
2794,8,1,0,1,0,1,-1,1,6179,1,23,0,0,0,1,1,1,1,1,-1,0
2795,8,1,0,0,1.3,1.3,-1,1,6180,1,21,0,0,0,1,1,1,1,1,-1,0
2960,8,1,0,1,1,0.25,-1,1,7030,1,23,0,0,0,1,0.9176471,0.3137255,1,1,-1,0
2981,10,0,1,0.5,0.5,2,-1,7,773,1,7,0,0,0,1,1,1,1,1,-1,0
3005,2,0,1,0.5,0,5,-1,7,7361,2,23,0,10,0,1,1,1,0,1,-1,0
3064,8,1,0,1,1,1,-1,1,7385,1,23,0,0,0,0.909804,0.3137255,1,1,1,-1,0
3090,2,0,1,0.5,0.5,100000,1,7,7394,2,8223,0,10,5,0.058823533,0.24313727,0.34509805,0,0.5,-1,0
