ID,Duration,FadeIn,FadeOut,FresnelCoefficient,GlowRed,GlowGreen,GlowBlue,GlowAlpha,GlowMultiplier,Flags,InitialDelay,CurveID,Priority,Field_12_1_0_68569_013
13,0,0,0,0,1,1,1,1,1,0,0,0,0,-1
14,0,0,0,0,1,1,1,1,1,0,0,106,0,-1
60,2,1,0.3,1,0.3921569,0.04705883,0.10196079,1,1,1,0,0,0,-1
85,0,0.1,0.3,1,1,0.34509805,0,1,1,0,0,0,0,-1
88,0,0.3,0.3,0.9,0.098039225,0.42352945,0.7568628,0.5,1,0,0,0,0,-1
106,0,0.3,0.3,1,0.5921569,0.28627452,0.8705883,0.3,1,0,0,0,0,-1
114,10,1,1,1,0.80392164,0.454902,0,0.5,1,0,0,0,0,-1
116,1,0,0.25,0.85,0.6431373,0.46274513,0,0.2509804,0.5,0,0,106,0,-1
119,8,2,2,1,0,0.40784317,1,0.5,1.5,0,0,0,0,-1
121,0,0.3,0.3,0.9,0.68235296,0.18823531,0.1137255,0.5,1,0,0,0,0,-1
123,0,0.5,0.5,0.9,0.21960786,0.13725491,0.7686275,0.5,1,0,0,0,0,-1
124,0,1,1,1,0.9960785,1,0.5882353,0.2,1,0,0,0,0,-1
125,0,1,3,1,0.98823535,1,0.7137255,0.2,1,0,0,0,0,-1
126,0,3,0,1,0.9803922,1,0.6666667,0.1,0.75,0,0,0,0,-1
129,0.11,0.05,0.43,1.8,0.6117647,0.24705884,1,1,4.5,0,0,0,0,-1
131,0.01,0,0.75,1.8,0.6117647,0.24705884,1,1,3,0,0,0,0,-1
132,0.01,0,2,1.8,0.6117647,0.24705884,1,1,1.5,0,0,0,0,-1
134,0,3,0,1,0.9803922,1,0.6666667,0.1,0.75,0,0,0,0,-1
137,0,0.5,0.5,0.9,0.95294124,0.33333334,0.0627451,0.5,0.4,0,0,0,0,-1
138,0,0.5,0.5,0.9,0.7843138,0.8862746,0.8862746,0.5,0.6,0,0,0,0,-1
139,1,0.3,3,0.9,0.65882355,0.16078432,0.13725491,0.5,0.75,0,0,0,0,-1
140,1,0.3,3,0.9,0.13725491,0.31764707,0.65882355,0.5,0.9,0,0,0,0,-1
141,1,0.3,3,0.9,0.12941177,0.52156866,0.14509805,0.5,0.75,0,0,0,0,-1
142,0.5,0.15,3,0.9,0.6666667,0.5764706,0.7411765,0.5,1,0,0,0,0,-1
143,1,0.5,1,0.9,1,0,0,0.9,1,0,0,0,0,-1
144,0,1,3,1,0.8313726,0.098039225,0.93725497,0.2,1,0,0,0,0,-1
147,0,1,3,1,0.73333335,0.098039225,0.94117653,0.2,1,0,0,0,0,-1
148,0,1,3,1,1,0,0.8941177,0.2,1,0,0,0,0,-1
150,0,1,0.3,1.1,0.654902,0.91372555,0.2627451,1,0.8,0,0,0,0,-1
151,0,1,3,1,0.94117653,0.9607844,0.59607846,0.2,1,0,0,0,0,-1
152,0,1,3,1,0.94117653,0.9607844,0.59607846,0.2,1,0,0,0,0,-1
153,0.4,0.1,0.3,1,0.9215687,0.3647059,0.20392159,1,1.5,0,0,106,0,-1
154,0,0.15,0.3,1.2,0.9294118,0.38823533,0.13725491,1,0.8,0,0,0,0,-1
155,0,1,3,1,0.73333335,0.098039225,0.94117653,0.2,1,0,0,0,0,-1
156,0,1,3,1,0.21176472,1,0.21176472,0.2,1,0,0,0,0,-1
157,0,1,3,1,0.91372555,0.14901961,0.9490197,0.2,1,0,0,0,0,-1
158,0,1,0,1,0.77647066,0.9450981,1,0.2,1,0,0,0,0,-1
159,0,1,0,1,0.91372555,0,1,0.2,1,0,0,0,0,-1
160,0,1,0,1,0.86274517,0.5411765,0.9176471,0.05,1.5,0,0,0,0,-1
161,0,1,1,2,0.25490198,0.6901961,0.25490198,1,1,0,0,0,0,-1
162,0,10,0,2,0,0.454902,1,1,1,0,0,0,0,-1
163,0,1,0.3,1.1,0.1764706,0.80392164,0.15294118,1,0.8,0,0,0,0,-1
164,0,10,3,2,0,0.454902,1,1,1,0,0,0,0,-1
165,0,3,0,1,0.043137256,0.9333334,0.007843138,0.2,1,0,0,0,0,-1
166,0,0.1,0.5,1.3,0.10196079,0.96470594,0.15294118,0.5,0.75,0,0,0,0,-1
167,0,3,2,2,0.30588236,0.8313726,0.27450982,1,1,0,0,0,0,-1
168,0,1,0,1,0.8431373,0.4901961,1,0.05,1.5,0,0,0,0,-1
169,0,1,3,1,0.91372555,0.14901961,0.9490197,0.2,1,0,0,0,0,-1
171,0,10,0.5,2,0.6745098,0.3921569,0.8352942,1,1,0,0,0,0,-1
174,0,0.2,0.4,0.9,0.23137257,0.03137255,0.5647059,0.9960785,1.5,0,0,106,0,-1
175,0,1,0.3,1.1,0.3529412,0.909804,0.19215688,1,0.8,0,0,0,0,-1
176,0,0.1,0.3,1,0.9921569,0.14117648,0,1,1,0,0,0,0,-1
183,0,0,0,1,0.52156866,0.7960785,1,0.5,0.25,0,0,0,0,-1
184,0,0,0,1,0.18039216,0.7019608,0.36862746,0.5,0.25,0,0,0,0,-1
185,5,1,5,0.5,0.6039216,0.36862746,0.61960787,0.1,1,0,0,0,0,-1
188,0,0,1,2,0.6666667,0.36078432,0.7803922,1,2,0,0,0,0,-1
189,0,0.5,0.5,0.5,0.14117648,0.909804,0.1254902,1,1,0,0,0,0,-1
190,0,0.5,0.5,0.5,0.62352943,0.24705884,0.75294125,1,1,0,0,0,0,-1
192,0.1,0.1,0.3,1,0.18039216,0.89019614,0.14509805,1,1,1,0,0,0,-1
193,0.1,0.1,0.3,1,0.18039216,0.89019614,0.14509805,1,1,1,0,0,0,-1
199,0.1,0.1,0.3,8,0.5019608,0.5019608,0.5019608,1,1.75,1,0,106,0,-1
200,0.1,0.1,0.2,8,0.5372549,0.31764707,0.68235296,1,2,1,0,106,0,-1
201,0.1,0.1,0.3,8,0.32156864,0.62352943,0.32156864,1,0.8,1,0,106,0,-1
202,0.1,0.1,0.3,8,0.6627451,0.3372549,0.3372549,1,2,1,0,106,0,-1
203,0.1,0.1,0.3,8,0.3019608,0.29803923,0.7019608,1,2.5,1,0,106,0,-1
204,0.1,0.1,0.3,8,0.6784314,0.68235296,0.31764707,1,0.8,1,0,106,0,-1
205,0.1,0.1,0.3,8,0.7137255,0.5254902,0.32156864,1,1.75,1,0,106,0,-1
206,0.1,0.1,0.2,8,0,0,0,1,1,1,0,106,0,-1
208,0,0.5,1,2,0.82745105,0.22352943,0.8431373,1,1,0,0,0,0,-1
210,0,0.5,1,2,0.3921569,0.7294118,0.47058827,1,1,0,0,0,0,-1
213,0,0.5,0.5,1,0.6666667,0.37647063,0.8313726,0.05,1.5,0,0,0,0,-1
214,0.5,0.1,1,0.5,0.5294118,0.79215693,0.96470594,0,0.3,2,0,106,0,-1
219,0,0,0,0.8,0.79215693,0.18823531,0.18823531,1,1,0,0,0,0,-1
220,6,3,1,1.75,0.31764707,0.6784314,0.40784317,1,2,0,0,0,0,-1
221,0.1,0.1,0.3,1,0.3921569,0.9333334,0.59607846,1,1.5,0,0,0,0,-1
222,0,0.25,0.3,0.6,1,0.34509805,0.34509805,0,1,0,0,0,0,-1
223,0,0.25,0.3,0.6,0.5019608,1,0.45882356,0,1,0,0,0,0,-1
224,0,0.25,0.3,0.6,0.227451,0.27450982,1,0,1,0,0,0,0,-1
225,0,0.25,0.3,0.6,0.9960785,0.89019614,0.2784314,0,1,0,0,0,0,-1
226,0,0.25,0.3,0.6,0.62352943,0.20784315,1,0,1,0,0,0,0,-1
227,0,0.25,0.3,0.6,0.20784315,0.89019614,1,0,1,0,0,0,0,-1
228,0,0.25,0.3,0.6,1,1,1,0,0.5,0,0,0,0,-1
229,0,0.25,0.3,0.35,0,0,0,1,0,0,0,0,0,-1
233,0,3,0,1,0.21176472,0.8470589,0.21176472,0.2,1,0,0,0,0,-1
234,0,0.1,0.3,1,1,0.058823533,0,1,1,0,0,0,0,-1
235,0,0,0,1,0.027450982,0.98823535,0.31764707,0.01,0.2,0,0,0,0,-1
236,0,1,2,1.5,0.93725497,0.30588236,0.93725497,0.4,0.75,0,0,0,0,-1
239,0,1,0,1,0.3254902,0.9450981,0.427451,0.05,1.5,0,0,0,0,-1
240,0,1,3,1,0.98823535,1,0.7137255,0.2,1,0,0,0,0,-1
241,0,0,0,1,0.027450982,0.98823535,0.31764707,0.01,0.2,0,0,0,0,-1
242,0,3,0,1,0.9803922,1,0.6666667,0.1,0.75,0,0,0,0,-1
243,0,1,1,1,0.9960785,1,0.5882353,0.2,1,0,0,0,0,-1
244,0,0,0,1,0.027450982,0.98823535,0.31764707,0.01,0.2,0,0,0,0,-1
252,0,0,0,5,0.6901961,0,0,5,1,0,0,0,0,-1
254,0,0,0,1,0.027450982,0.98823535,0.31764707,0.01,0.2,0,0,0,0,-1
255,0,0.5,0.5,1,0.6313726,1,0.9450981,1,1,0,0,0,0,-1
256,0,0.5,0.5,0.5,0.29411766,0.21176472,0.53333336,1,0.7,0,0,0,0,-1
258,0,0,0,1,0,0.7372549,0.5764706,1,1,0,0,0,0,-1
259,0,0,0,1,0.80392164,0,0.85098046,1,1,0,0,0,0,-1
260,0,0,0,1,1,0.3372549,0,1,1,0,0,0,0,-1
263,0,1,0.5,2,0.62352943,0.29803923,0.8588236,1,1,0,0,0,0,-1
266,1,0.2,0.8,0.8,0.41176474,0.7019608,0.60784316,0.40000004,0.4,0,0,106,0,-1
267,0,0.1,0.3,0.6,0.8117648,0.8117648,0.8117648,1,1.3,0,0,106,0,-1
269,0,1,1,0.5,1,0,0,1,1,0,0,0,0,-1
271,0,0,0,1,0.027450982,0.98823535,0.31764707,0.01,0.3,0,0,0,0,-1
272,1,0.5,0.5,0.7,0.9058824,0.14509805,0.14509805,1,1,0,2,106,0,-1
273,0,0,0,0,1,1,1,1,1,0,0,0,0,-1
277,0.65,0.2,0.3,1,0.35686275,0.14901961,0.64705884,1,1.5,0,0,0,0,-1
282,0,0,0,1,0.8705883,0,1,1,3,0,0,0,0,-1
283,0,0.5,0.5,1.5,0.4039216,0.8352942,1,1,1.5,0,0,106,0,-1
284,0,0,0,0.75,0.67058825,0,0.87843144,1,1,0,0,0,0,-1
285,0,0,0,1,0,0.37647063,1,1,3,0,0,0,0,-1
288,0,1,0.3,1.1,0.8862746,0.31764707,0.28235295,1,1.2,0,0,0,0,-1
290,0,0,0,0.75,0,0.627451,0.1764706,1,1,0,0,0,0,-1
291,0,0.3,0.3,0.9,0.50980395,0,0.6784314,0.5,1,0,0,0,0,-1
292,0,1,0,1.5,0.54509807,0.74509805,0.7372549,1,1,0,0,0,0,-1
293,2,1,1,0.85,0.9725491,0.7058824,0.2392157,1,2,0,0,0,0,-1
295,2,1,1,0.85,0.40784317,0.9803922,0.30588236,1,2,0,0,0,0,-1
296,8,5.5,0.5,40,0.5294118,0.9450981,0,1,3,1,1,0,0,-1
297,2,1,1,0.7,1,1,0.7372549,1,1,0,0,0,0,-1
298,2,1,1,1,0.5254902,1,0,1,1,0,0,0,0,-1
300,0,1,1,1,0.13333334,0.882353,0.26666668,1,1,0,0,0,0,-1
301,0,0,0,1,0.70980394,0,1,1,1,0,0,0,0,-1
302,0,0,0,1,0.027450982,0.98823535,0.31764707,0.01,0.3,0,0,0,0,-1
303,4,3.5,0.25,0.9,1,0.5019608,0,0.5,2,0,0,0,0,-1
304,4,3.5,0.25,0.9,1,0.5019608,0,0.5019608,2,0,0,106,0,-1
305,4,3.5,0.25,0.9,1,0.5019608,0,0.5,2,0,0,0,0,-1
308,1,1,1,2,0.41960788,0.79215693,0,1,1,0,0,0,0,-1
309,3,1,1,0.5,0.30588236,0.44705886,0,1,1,0,0,0,0,-1
310,3,1,1,0.5,0.9803922,1,0.5921569,1,1,0,0,0,0,-1
311,2,1,1,1,0.5254902,1,0,1,1,0,0,0,0,-1
312,2,1,1,1,0,1,0.03137255,1,1,0,0,0,0,-1
313,0,1,1,0.5,0.30588236,0.44705886,0,1,1,0,0,0,0,-1
314,0,1,1,0.5,0.9803922,1,0.5921569,1,1,0,0,0,0,-1
315,0,0,0,1,0.32941177,0.6509804,0.8196079,1,0.5,0,0,0,0,-1
316,5,1,1,1,0.14117648,1,0,1,1,0,0,0,0,-1
317,5,5,1,0.75,0.14117648,0,0.62352943,0.45,0.65,0,0,0,0,-1
318,0.48,0,0.48,0.75,0.16470589,0,0.6,0.45,0.65,0,8.85,0,0,-1
319,0.35,0,0.35,1.5,0.3372549,1,0.41960788,1,0.5,0,0,0,0,-1
320,0,0,0,1,0.027450982,0.98823535,0.31764707,0.01,0.2,0,0,0,0,-1
322,0,0,0,1,1,0.43137258,0.97647065,0.02,0.3,0,0,0,0,-1
325,0,1,0,0,1,0,0,1,1,0,0,106,0,-1
328,4,3.5,0.25,0.9,1,0.5019608,0,0.5,2,0,0,0,0,-1
329,0,1,3,1,0.98823535,1,0.7137255,0.2,1,0,0,0,0,-1
330,4,3.5,0.25,0.9,1,0.5019608,0,0.5,2,0,0,0,0,-1
331,4,3.5,0.25,0.9,1,0.5019608,0,0.5,2,0,0,0,0,-1
332,0,0.1,0.3,1,1,0.28235295,0.16862746,1,1,0,0,0,0,-1
333,0,0.5,0.5,1.5,1,0,0,1,0.5,0,0,0,0,-1
334,0,0,0,0.75,1,0.3372549,0,1,1,0,0,0,0,-1
335,3,1,1,2,0.41960788,0.79215693,0,1,1,0,0,0,0,-1
336,3,1,1,2,1,1,0.7372549,1,1,0,0,0,0,-1
337,1,1,1,2,1,1,0.7372549,1,1,0,0,0,0,-1
341,0,0,0,0.95,0.23137257,0.93725497,0.9686275,0,0.5,0,0,0,0,-1
342,0,0,0,0.95,0.5254902,0.10196079,0.93725497,0,0.5,0,0,0,0,-1
343,0,0,0,0.9,0.32156864,0.7019608,0.94117653,0,0.5,0,0,0,0,-1
344,0,0,0,0.9,0.23137257,0.93725497,0.9686275,0,0.5,0,0,0,0,-1
345,3,0,0,0,0.63529414,0.68235296,0.8980393,1,1,0,0,0,0,-1
