ID,CreatureHealthMod,PlayerHealthMod,CreatureAutoAttackDPSMod,CreatureArmorMod,PlayerManaMod,PlayerPrimaryStatMod,PlayerSecondaryStatMod,ArmorConstantMod,CreatureSpellDamageMod
1,0.8,1,0.925,0.8,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1
5,1.032,0.999,0.999,1,1,1.012,0.945,0.973,0.999
6,1.097,1.023,1.023,1,1,1.051,0.97,1.014,1.023
7,1.122,1.03,1.03,1,1,1.068,0.96,1.019,1.03
8,1.173,1.045,1.045,1,1,1.102,0.94,1.029,1.045
9,1.199,1.053,1.053,1,1,1.119,0.93,1.034,1.053
10,1.25,1.068,1.068,1,1,1.153,0.91,1.044,1.068
11,1.357,1.161,1.161,1,1,1.21,0.959,1.079,1.161
12,1.1,1,0.9735,1,1,1,1,1,0.9735
13,1.3,1,1.1,1,1,1,1,1,1.1
14,1.086,1,1.217,1,1,1,1,1,1.217
15,0.794,1,0.709,1,1,1,1,1,0.709
16,0.92,1,0.822,1,1,1,1,1,0.822
17,1,1,1,1,1,1,1,1,1
18,2.316,1,1.467,1,1,1,1,1,1.173
119,0.45,0.45,0.45,1,1,1,1,1,0.45
120,1,1,0.714,1,1,1,1,1,0.714
121,1.15,1,0.95,1,1,1,1,1,1.1
122,0.725,1,0.725,1,1,1,1,1,0.75
123,1.725,1,1.091,1,1,1,1,1,1.45
124,1,1,0.714,1,1,1,1,1,0.714
125,0.55,0.55,0.55,1,1,1,1,1,0.55
126,0.75,0.75,0.75,1,1,1,1,1,0.75
127,1,1,1,1,1,1,1,1,1
128,1.459,1.237,1.237,1,1,1.253,1.017,1.112,1.237
129,0.239,0.207,0.227,1,1,1,1,1,0.2319
130,0.55,1,0.7,1,1,1,1,1,1
131,0.239,0.186,0.2039,1,1,1,1,1,0.2084
132,0.03,0.32,0.0351,1,1,1,1,1,0.03585
133,0.58,1,0.65,1,1,1,1,1,0.75
134,1.37,1.161,1.161,1,1,1.21,0.959,1.079,1.161
135,1.25,1.068,1.068,1,1,1.153,0.91,1.044,1.068
136,1.199,1.053,1.053,1,1,1.119,0.93,1.034,1.053
137,0.7,0.58,0.58,1,1,1,1,1,0.58
138,0.7,0.58,0.58,1,1,1,1,1,0.58
139,1,1,1,1,1,1,1,1,1
140,1.148,1.038,1.038,1,1,1.085,0.95,1.024,1.038
141,0.75,0.75,0.75,1,1,1,1,1,0.75
142,1,1,0.85,1,1,1,1,1,0.85
143,1.555,1.318,1.318,1,1,1.298,1.076,1.145,1.318
144,0.75,0.75,0.75,1,1,1,1,1,0.75
145,0.75,0.75,0.75,1,1,1,1,1,0.75
146,1,1,1,1,1,1,1,1,1
147,2.652,2.475,2.475,1,1,1.796,1.531,1.642,2.475
148,1.3,1,0.928,1,1,1,1,1,0.928
149,3.051,2.848,2.848,1,1,2.014,1.625,1.822,2.848
150,3.519,3.285,3.285,1,1,2.264,1.719,2.029,3.285
151,1.667,1.411,1.411,1,1,1.354,1.135,1.187,1.411
152,1.882,1.595,1.595,1,1,1.487,1.193,1.287,1.595
154,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
155,1.05,1,1,1,1,1,1,1,1
156,0.7,0.58,0.58,1,1,1,1,1,0.58
157,1.224,1.06,1.06,1,1,1.136,0.92,1.039,1.06
158,2.133,1.808,1.808,1,1,1.64,1.252,1.402,1.808
165,1,1.05,1,1,1,1.05,1.05,1,1
166,1.21,1,1.2,1.21,1,1,1,1,1.2
167,1.09,1.09,1.09,1,1,1,1,1,1.09
168,1,1,1.15,1,1,1,1,1,1.15
169,1,1,0.8,1,1,1,1,1,0.8
171,1.651,1.411,1.411,1,1,1.354,1.135,1.187,1.411
174,0.702,0.738,0.738,0.65,1,0.772,0.711,0.615,0.738
