ID,GlideEventID,FlightCapabilityID
4,2,1
5,3,1
6,4,1
7,5,1
8,6,1
9,7,1
10,8,1
11,9,1
12,10,1
13,11,1
14,12,1
15,13,1
16,14,1
17,15,1
18,16,1
19,17,1
20,18,1
21,19,1
22,20,1
23,21,1
25,23,1
31,33,2
32,29,2
33,30,2
34,31,2
35,32,2
36,47,2
37,34,1
38,35,1
39,36,1
40,37,1
42,39,2
51,43,1
52,48,2
53,44,1
54,49,2
55,45,1
56,46,2
57,50,2
70,69,1
71,68,1
72,67,1
73,66,1
74,65,1
75,64,1
76,74,1
77,158,1
78,73,1
79,72,1
80,70,1
81,71,1
82,75,11
83,76,11
84,77,11
85,78,11
86,79,11
87,80,11
88,81,11
89,82,11
90,83,11
91,84,11
149,92,11
150,93,11
151,94,11
152,95,11
153,96,11
154,91,11
155,97,11
156,98,11
157,99,11
158,100,11
159,101,11
160,102,11
161,134,11
162,135,11
163,136,11
164,137,11
165,138,11
166,139,11
167,140,11
168,141,11
169,142,11
170,143,11
171,237,11
172,145,11
173,146,11
174,147,11
175,148,11
176,149,11
177,150,11
178,151,11
185,127,1
186,128,1
187,129,1
188,130,1
189,131,1
190,132,1
197,152,11
198,153,11
199,154,11
200,155,11
201,156,11
202,157,11
203,159,1
204,160,1
205,161,1
206,162,1
207,163,1
208,164,1
209,165,1
210,166,1
211,167,1
212,168,1
213,169,1
214,170,1
215,171,1
216,172,1
217,173,1
218,174,1
219,175,1
220,176,1
221,50,1
222,178,1
223,179,1
224,180,1
225,181,1
226,182,1
227,183,1
228,103,14
229,104,14
230,105,14
231,106,14
232,107,14
233,108,14
234,126,14
235,125,14
236,124,14
237,123,14
238,122,14
239,121,14
240,120,14
241,119,14
242,118,14
243,117,14
244,116,14
245,115,14
246,114,14
247,113,14
248,112,14
249,111,14
250,110,14
251,109,14
252,85,14
253,86,14
254,87,14
255,88,14
256,89,14
257,90,14
258,189,14
259,188,14
260,187,14
261,186,14
262,185,14
263,184,14
264,195,14
265,194,14
266,193,14
267,192,14
268,191,14
269,190,14
271,196,11
272,197,11
273,198,11
274,199,11
275,200,11
276,201,11
277,202,11
278,203,11
279,204,11
280,205,11
281,206,11
282,207,11
283,208,11
285,211,1
286,212,1
287,213,1
288,214,1
289,215,1
290,216,1
291,217,1
292,218,1
293,219,1
294,220,1
295,221,1
296,222,1
297,127,1
298,223,1
299,224,1
300,225,1
301,226,1
302,227,1
303,228,11
304,229,11
305,230,11
306,231,11
307,232,11
308,233,11
309,234,11
310,235,11
311,236,11
312,231,11
313,238,11
314,239,11
315,240,1
316,241,1
317,242,1
318,243,1
319,244,1
320,245,1
321,246,11
322,247,11
323,248,11
324,249,11
325,250,11
326,251,11
452,269,1
453,268,1
454,267,1
455,266,1
456,265,1
457,264,1
