ID,CreatureFootstepID,TerrainSoundID,SoundID,SoundIDSplash
21,8,2,42583,42788
24,8,4,230129,42788
25,8,3,42586,42788
67,8,7,57572,42788
69,8,5,42587,42788
70,10,2,42868,42787
71,10,1,42865,42787
72,10,3,42871,42787
73,10,4,1257,42787
75,10,5,42928,42787
76,10,6,42867,42787
77,10,7,57569,42787
78,10,8,42870,42787
79,11,18,1174,42788
80,11,1,1174,42788
81,11,2,1174,42788
82,11,3,1174,42788
83,11,4,1174,42788
84,11,5,1174,42788
85,11,6,1174,42788
86,11,7,1174,42788
87,11,8,1174,42788
88,11,9,1174,42788
89,8,1,42580,42788
90,8,6,42582,42788
91,8,8,42585,42788
92,8,9,43089,42788
115,13,18,1182,42788
116,13,1,1182,42788
117,13,2,1182,42788
118,13,3,1182,42788
119,13,4,1182,42788
120,13,5,1182,42788
121,13,6,1182,42788
122,13,7,1182,42788
123,13,8,1182,42788
124,13,9,1182,42788
125,14,1,1265,42788
126,14,1,1265,42788
127,14,2,1265,42788
128,14,3,1265,42788
129,14,4,1265,42788
130,14,5,1265,42788
131,14,6,1265,42788
132,14,7,1265,42788
133,14,8,1265,42788
134,14,9,1265,42788
158,7,1,42565,42787
159,7,2,42568,42787
160,7,3,42571,42787
161,7,4,42898,42787
162,7,5,42572,42787
163,7,6,42567,42787
164,7,7,57571,42787
165,7,8,42570,42787
166,7,9,43088,42787
168,6,1,2546,187844
169,6,2,2546,187844
170,6,3,2546,187844
171,6,4,2546,187844
172,6,5,2546,187844
173,6,6,2546,187844
174,6,7,2546,187844
175,6,8,2546,187844
176,6,9,2546,187844
177,16,18,2550,42788
178,16,1,2550,42788
179,16,2,2550,42788
180,16,3,2550,42788
181,16,4,2550,42788
182,16,5,2550,42788
183,16,6,2550,42788
184,16,7,2550,42788
185,16,8,2550,42788
186,16,9,2550,42788
187,10,9,43092,42787
307,117,1,4321,42788
308,117,2,4321,42788
309,117,3,4321,42788
310,117,4,4321,42788
311,117,5,4321,42788
312,117,6,4321,42788
313,117,7,4321,42788
314,117,8,4321,42788
315,117,9,4321,42788
327,137,1,5051,42788
328,137,2,5051,42788
329,137,3,5051,42788
330,137,4,5051,42788
331,137,5,5051,42788
332,137,6,5051,42788
333,137,7,5051,42788
