ID,Flags,Saturation,GammaRed,GammaGreen,GammaBlue,MaskOffsetY,MaskSizeMultiplier,MaskPower,ColorMultiplyRed,ColorMultiplyGreen,ColorMultiplyBlue,ColorMultiplyOffsetY,ColorMultiplyMultiplier,ColorMultiplyPower,ColorAdditionRed,ColorAdditionGreen,ColorAdditionBlue,ColorAdditionOffsetY,ColorAdditionMultiplier,ColorAdditionPower,OverlayTextureFileDataID,BlurIntensity,BlurOffsetY,BlurMultiplier,BlurPower,EffectFadeInMs,EffectFadeOutMs,TextureBlendSetID
2,152,1,1,1,1,0,1,1,0,0.14509805,1,0,1,1,0.9294118,0.454902,0.09411766,0,1,1,0,0,0,3,1,1500,1500,550
10,24,1,0.24705884,0.6784314,1,-0.25,3,1,1,0.21568629,0.08627451,0,1,1,0.6039216,0.14117648,0,0,1,1,2159813,1,0,3,1,500,300,614
11,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1500,150,439
12,0,1,0,0.41176474,1,0,-0.5,1,1,0.22352943,0.08627451,0,1,1,0.13333334,1,0,0,0.5,1,0,-5,0,6,1,500,1000,625
13,24,1,0.9960785,0.9960785,0.9960785,0,-1,1,0,0.5647059,1,0,1,1,0,0.7411765,1,0,1,1,2160759,-1,0,1,1,500,1000,786
115,512,1,0.24705884,0.6784314,1,0,0,0,0.3647059,0.8705883,0.25882354,0.25,1,0.05,0.29803923,0.7294118,0.24705884,1,1,1,4272488,1,0,0,1,300,300,1175
116,88,1,0.24705884,0.6784314,1,-0.25,1,5,0.08627451,1,0.96470594,0,1,1,0,0.24705884,0.28627452,1,1,1,0,1,0,3,1,500,1000,780
117,24,1,0.24705884,0.6784314,1,-0.25,3,1,0,0.007843138,0.31764707,0,1,1,0.6039216,0.14117648,0,0,1,1,2159762,1,0,3,1,300,300,781
118,24,1,0.24705884,0.6784314,1,-0.25,3,1,0.2784314,0,0.41960788,0,1,1,0.6039216,0.14117648,0,0,1,1,0,1,0,3,1,300,300,782
119,24,1,0.24705884,0.6784314,1,-0.25,3,1,0.22352943,0,0.007843138,0,1,1,0.6039216,0.14117648,0,0,1,1,0,1,0,3,1,300,300,783
120,24,1,0.24705884,0.6784314,1,-0.25,3,1,0.60784316,0.52156866,0.4666667,0,4,1,0.6666667,0.454902,0.43921572,0,1,1,2159819,1,0,3,1,300,300,785
121,24,1,0.24705884,0.6784314,1,-0.25,3,1,0,0.007843138,0.31764707,0,1,1,0.6039216,0.14117648,0,0,1,1,2159762,1,0,3,1,0,100,781
122,24,1,0.24705884,1,0.3647059,-0.25,3,1,0,1,0.007843138,0,1,1,0,0.6039216,0.13725491,0,1,1,2199089,1,0,3,1,300,300,789
123,24,1,0.24705884,0.6784314,1,-0.25,3,1,0.44705886,0.9803922,1,0,1,1,0.6039216,0.14117648,0,0,1,1,2202482,1,0,1,1,300,300,790
124,536,1,0,0.54509807,1,-0.25,3,1,0.31764707,0.7490196,1,0,1,1,0.10588236,0.98823535,1,0,1,1,2199925,2,0,3,0.78,300,300,791
126,24,1,0.9960785,0.9960785,0.9960785,0,-1,1,0,0.7725491,1,0,1,1,0,0.7411765,1,0,1,1,2202651,-1,0,1,1,200,300,796
127,24,1,0.24705884,0.6784314,1,-0.25,3,1,1,0.68235296,0,0,1,1,0.6039216,0.14117648,0,0,1,1,2395778,1,0,3,1,500,300,797
128,24,0.25,0.24705884,0.6784314,1,-0.25,3,1,0,0.007843138,0.31764707,0,1,1,0.6039216,0.14117648,0,0,1,1,2159762,1,0,3,1,300,300,781
129,536,1,0,0.54509807,1,-0.25,3,1,0.31764707,0.7490196,1,0,1,1,0.10588236,0.98823535,1,0,1,1,2199925,2,0,3,0.78,300,300,476
130,24,1,0.9960785,0.9960785,0.9960785,0,-1,1,0,1,0.019607844,0,1,1,0.29411766,0.97647065,0.31764707,0,0.25,1,2160759,-1,0,1,1,500,1000,808
132,24,1,0.24705884,0.6784314,1,-0.25,3,1,0,0.4431373,0.3803922,0,3,1,0,1,0.94117653,0,1,1,2388126,1,0,3,1,300,300,814
133,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1083778,0,0,1,1,0,0,882
134,24,1,0.24705884,0.6784314,1,-0.25,3,1,1,0.21568629,0.08627451,0,1,1,0.6039216,0.14117648,0,0,1,1,2159813,1,0,3,1,500,300,815
135,24,1,0.24705884,0.6784314,1,-0.25,3,1,0.2784314,0,0.41960788,0,1,1,0.6039216,0.14117648,0,0,1,1,0,1,0,3,1,300,300,826
136,24,1,0.24705884,0.78823537,1,-0.25,3,1,1,0,0.9686275,0,1.1,0.9,0.6039216,0.14117648,0,0,1,1,2735672,1,0,3,1,300,300,827
137,24,1,0.24705884,1,0.3647059,-0.25,3,1,0,1,0.007843138,0,1,1,0,0.6039216,0.13725491,0,1,1,2199089,1,0,3,1,300,300,831
139,0,0.3,0.91372555,0.8862746,0.6627451,0,1,1,0.91372555,0.8862746,0.6627451,0,1,1,0.91372555,0.8862746,0.6627451,0,1,1,0,0,0,1,1,150,150,0
141,512,1,1,1,1,0,3,1,0.882353,0.9607844,0.9803922,0,0,1,0.5137255,0.8352942,0.9960785,0,0.1,0.1,0,5000,0.15,3,1,300,300,883
142,192,1,0,0,0,40,40,12,0.20784315,0.24705884,0.24705884,0,1,1,0,0,0,-0.2,2,2,2202482,0,-10,2,2,1000,1000,790
143,24,1,0.6784314,0.34901962,0.08627451,-0.25,3,1,0.6784314,0.34901962,0.08627451,0,1,1,0.6039216,0.14117648,0,0,1,1,2202482,1,0,1,1,300,300,944
145,512,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,10,10,1,1,150,150,0
146,24,1,0.24705884,0.7725491,1,-0.25,3,1,0,0.3529412,1,0,1,1,0,0.4666667,0.6039216,0,1,1,3522953,1,0,3,1,300,300,998
147,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,350,350,1005
149,24,1,0.24705884,0.6784314,1,-0.25,3,1,0,0.007843138,0.31764707,0,1,1,0.6039216,0.14117648,0,0,1,1,2159762,1,0,3,1,300,300,1010
150,8,1,1,1,1,0,1,1,0.10196079,1,0.9058824,0,1,1,0,0,0,0,1,1,0,0,0,1,1,350,350,1014
151,24,1,1,0.050980397,0,-0.25,3,1,0.79215693,0.043137256,0,0,1,1,0.48235297,0,0.003921569,0,1,1,3235001,1,0,3,1,300,300,1034
155,512,1,0.10196079,0.56078434,0.5411765,0,1,1,0.3921569,0.78823537,0.8705883,0,1,1,0.14901961,0.5254902,0.627451,0,1,1,0,100,0,2,1,1000,1000,0
156,216,1,0.2392157,0.18823531,0.14901961,0,1,1,0.18431373,0.16078432,0.13725491,0,3,3,0.25490198,0.18823531,0.13333334,0,3,3,3307091,1,0,1,1,300,300,1115
157,216,1,1,1,1,0,1,1,0.9607844,0.9333334,0.7372549,0,3.5,4,0.91372555,0.89019614,0.7372549,0,1.5,3,4237662,1,0,1,1,300,300,1116
158,1536,1,1,1,1,0,4,1,1,1,1,0,1,1,1,1,1,0,1,1,1721507,0.5,-0.1,10,1,0,0,1121
159,216,1,1,1,1,0,1,1,0.8862746,0.8862746,0.8862746,0,0.2,4,0.89019614,0.91372555,0.91372555,0,1,4,0,1,0,1,1,300,300,1122
160,216,1,1,1,1,0,1,1,0.8862746,0.8862746,0.8862746,0,0.2,4,0.89019614,0.91372555,0.91372555,0,1,4,0,1,0,1,1,300,300,1123
162,8,1,1,1,1,0,3,1,0.5686275,0.6392157,0.654902,0,0,0.5,0.80392164,0.9333334,1,0,0.1,0.1,0,5000,0.15,3,1,500,500,883
163,216,1,0.654902,0.7137255,0.7372549,-0.25,3,1,0.7686275,0.7803922,0.7843138,0,5,1,0.48627454,0.52156866,0.54509807,0,0.8,2,4058689,1,0,3,1,300,300,1126
164,24,1,0.6784314,0.34901962,0.08627451,1,2,1,0.6784314,0.34901962,0.08627451,0,1,1,0.5686275,0.60784316,0.050980397,0,1,1,2202482,1,0,1,1,300,300,1129
165,731,2,0,0.023529414,0.49803925,-0.01,2,5,0.39607847,0.29411766,1,0,4,1,0.7607844,0.7372549,0.36862746,0,3,1,4237662,5,-0.1,5,1,1000,0,1130
166,16,1,0.24705884,0.7725491,1,-0.25,3,1,0,0.3529412,1,0,1,1,0,0.4666667,0.6039216,0,1,1,0,1,0,3,1,300,300,1140
168,216,1,1,1,1,0,1,1,0.9607844,0.9333334,0.7372549,0,3.5,4,0.91372555,0.89019614,0.7372549,0,1.5,3,4237662,1,0,1,1,300,300,1116
169,728,1,1,1,1,0,1,1,0.9607844,0.9333334,0.7372549,0,2,4,0.91372555,0.89019614,0.7372549,0,2,2,4237662,1,0,2,1,300,300,1142
170,728,1,1,1,1,0,1,1,0.9607844,0.9333334,0.7372549,0,3,3,0.91372555,0.89019614,0.7372549,0,2,2,4237662,1,0,4,1,300,300,1143
