ID,Field_10_2_7_54171_001,Field_10_2_7_54171_002,Field_10_2_7_54171_003,Field_10_2_7_54171_004,GameObjectID
2,6748,3346,0,1,434862
3,57059,4546,1,1,434862
848,86834,42057,0,1,440229
901,90093,42058,0,1,444374
1947,89117,43366,0,1,413563
1948,91614,43341,0,1,413563
1949,92198,43338,0,1,413563
1950,86242,43340,0,1,413563
1951,92390,43339,0,0.75,413563
1952,89117,43366,0,1,416265
1953,91614,43341,0,1,416265
1954,92198,43338,0,1,416265
1955,86242,43340,0,1,416265
1956,92390,43339,0,1,416265
1967,89117,43366,0,1,451830
1968,91614,43341,0,1,451830
1969,92198,43338,0,1,451830
1970,86242,43340,0,1,451830
1971,92390,43339,0,0.75,451830
1972,89117,43366,0,1,451831
1973,91614,43341,0,1,451831
1974,92198,43338,0,1,451831
1975,86242,43340,0,1,451831
1976,92390,43339,0,0.75,451831
