ID,SoundKitID,EventIndex,GameObjectDisplayInfoID
1235,1277,1,1
1236,40382,1,6
1237,40382,2,6
1238,40383,3,6
1239,1277,1,10
1240,1278,3,10
1241,1277,1,41
1242,1278,3,41
1243,11982,1,51
1244,11983,3,51
1246,3347,6,199
1247,3244,2,200
1248,3347,2,209
1249,1401,4,210
1250,1401,6,210
1251,3379,6,216
1252,3376,6,231
1253,4856,7,231
1254,11644,6,235
1255,1399,1,243
1256,1399,4,243
1257,1400,6,245
1258,1401,4,255
1259,1401,6,255
1260,1277,1,259
1261,1278,3,259
1262,6454,1,261
1263,3378,6,263
1264,3378,6,264
1265,3378,6,265
1266,3378,6,266
1267,11743,6,290
1268,4816,1,295
1269,4816,3,295
1270,4816,6,295
1271,3252,2,296
1272,3378,6,298
1273,3244,2,307
1274,4694,2,325
1275,4815,4,327
1276,4815,6,327
1277,4789,4,330
1278,3347,2,331
1279,4777,1,334
1280,4783,1,335
1281,4784,4,335
1282,4783,1,336
1283,4756,6,338
1284,4779,1,339
1285,4779,6,339
1286,4786,1,340
1287,10838,0,342
1288,10839,1,342
1289,10839,4,342
1290,3432,0,343
1291,10936,4,343
1292,4787,6,344
1293,4788,7,344
1294,3242,0,345
1295,3243,2,345
1296,3381,6,353
1297,3381,6,354
1298,3378,6,363
1299,3347,6,365
1300,4785,1,378
1301,4785,6,378
1302,4818,1,391
1303,3360,1,394
1304,3362,3,394
1305,3363,4,394
1306,3254,2,396
1307,3255,2,397
1308,3253,2,398
1309,3380,1,400
1310,3362,3,400
1311,5114,1,401
1312,5114,3,401
1313,3347,2,408
1314,3246,6,410
1315,11673,1,411
1316,11674,3,411
1317,7154,1,413
1318,7154,3,413
1319,4757,6,417
1320,4774,6,430
1321,3245,6,439
1322,4819,1,442
1323,4816,3,442
1324,3360,1,443
1325,6487,1,444
1326,3432,0,445
1327,3381,6,446
1328,6455,1,460
1329,3432,0,465
1330,10936,4,465
1331,4775,4,472
1332,4785,6,477
1333,3347,2,524
1334,4783,1,528
1335,3371,1,558
1336,3372,3,558
1337,3371,1,559
1338,3372,3,559
1339,3371,1,560
1340,3372,3,560
1341,3355,6,668
1342,4954,1,672
1343,4954,2,672
1344,10936,2,674
1345,10936,4,674
1346,4676,1,676
1347,4677,3,676
1348,3439,6,749
1349,3347,2,759
1350,4795,4,768
1351,124417,6,787
1352,124422,7,787
1353,5156,1,847
1354,5156,1,848
1355,5156,1,849
1356,25527,1,850
1357,5156,1,851
1358,7336,1,907
1359,7336,3,907
1360,4678,1,1189
1361,4714,3,1189
1362,6537,1,1207
1363,4836,1,1369
1364,3360,1,1370
1365,3362,3,1370
1366,4782,1,1387
1367,7334,3,1387
1368,1277,1,1447
1369,4814,1,1607
1370,4814,2,1607
1371,4814,1,1627
1372,4814,2,1627
1373,4817,6,1647
1374,4817,7,1647
1375,4795,4,1767
1376,4676,1,1787
1377,4677,3,1787
1378,4654,6,1827
1379,3244,2,1967
1380,1399,1,2007
1381,1399,2,2007
1382,4794,0,2047
1383,4790,0,2089
1384,4791,1,2089
1385,4793,6,2091
1386,4781,1,2230
1387,4780,3,2230
1388,5155,1,2235
1389,5156,4,2235
1390,4654,6,2372
1391,4792,6,2373
1392,39562,1,2450
1393,39563,3,2450
1394,12116,1,2530
1395,12118,3,2530
1396,3244,1,2570
1397,3244,2,2570
1398,6764,4,2570
1399,6764,6,2570
1400,5044,1,2650
1401,6535,1,2670
1402,41215,2,2670
1403,6536,3,2670
1404,6535,1,2671
1405,6536,3,2671
1406,6535,1,2672
1407,6536,3,2672
1408,6535,1,2673
1409,6536,3,2673
1410,6537,1,2750
1411,6532,1,2751
1412,6533,4,2751
1413,6538,1,2752
1414,6487,1,2753
1415,6488,4,2753
1416,3432,0,2770
1417,4815,6,2770
1418,6535,1,2771
1419,6536,3,2771
1420,6535,1,2772
1421,6536,3,2772
1422,6535,1,2773
1423,6536,3,2773
1424,6485,3,2790
1425,7180,2,2852
1426,13292,0,2911
1427,13097,2,2911
1428,6522,6,3071
1429,6521,7,3071
1430,6520,8,3071
1431,6520,1,3072
1432,6521,4,3072
1433,6523,6,3072
1434,6520,1,3073
1435,6521,4,3073
1436,6524,6,3073
1437,6520,1,3074
1438,6521,4,3074
1439,6525,6,3074
1440,6534,1,3075
1441,6534,1,3076
1442,6534,1,3078
1443,6489,1,3152
1444,10946,1,3272
1445,9390,2,3411
1446,7574,1,3492
1447,7574,3,3492
1448,6535,1,3591
1449,6536,3,3591
1450,7117,1,3614
1451,7117,3,3614
1452,7117,1,3631
1453,6532,1,3632
1454,12901,1,3731
1455,13293,6,3731
1456,13294,7,3731
1457,25521,1,3751
1458,6760,1,3811
1459,6759,3,3811
1460,7357,4,3812
1461,7358,4,3813
1462,12116,1,3871
1463,12118,3,3871
1464,4785,4,3891
1465,4785,6,3891
1466,7356,4,3912
1467,4785,6,4051
1468,7115,1,4132
1469,7114,1,4133
1470,7116,1,4134
1471,13989,1,4135
1472,7321,6,4271
1473,9869,2,4393
1474,9869,2,4394
1475,9869,2,4395
1476,9869,2,4396
1477,9869,2,4397
1478,9869,2,4398
1479,8052,1,4412
1480,8015,1,4413
1481,8016,3,4413
1482,7316,4,4491
1483,4678,1,4511
1484,7334,1,4552
1485,7335,3,4552
1486,7256,6,4571
1487,11580,6,4612
1488,12143,4,4631
1489,11677,1,4653
1490,4678,1,4673
1491,4654,6,4675
1492,9019,0,4714
1493,9018,1,4714
1494,7337,4,4732
1495,7754,1,4791
1496,7755,3,4791
1497,7534,0,4972
1498,7534,2,4972
1499,7756,1,5212
1500,7757,1,5317
1501,7757,3,5317
1502,7357,4,5318
1503,10965,6,5651
