ID,Text_lang,SortIndex,Min_level,Max_level
201,"|cffffd100Tip:|r Your spell casting can be cancelled by moving, jumping or hitting the escape key.",1,20,40
221,|cffffd100Tip:|r Clicking on a player name in the chat window lets you send a private message to them.,2,20,40
222,|cffffd100Tip:|r You can <Control>Click on an item to see how you would look wearing that item.,4,20,40
223,|cffffd100Tip:|r An item with its name in gray is a poor quality item and generally can be sold to a vendor.,5,6,60
224,|cffffd100Tip:|r An item with its name in white is useful to players in some way and can be used or sold at the auction house.,6,20,60
225,|cffffd100Tip:|r You can send mail to other players or even to your other characters from any mailbox in game.,7,20,40
226,|cffffd100Tip:|r You can <Shift>Click on an item to place an item link into a chat message.,8,40,60
227,|cffffd100Tip:|r All of your action bars can have their hotkeys remapped in the key bindings interface.,11,40,85
229,|cffffd100Tip:|r On your character sheet is a reputation tab that tells you your status with different groups.,12,40,60
230,"|cffffd100Tip:|r You can perform many fun actions with the emote system, for instance you can type /dance to dance.",17,40,85
231,|cffffd100Tip:|r The interface options menu <ESC> has lots of ways to customize your game play.,20,20,60
234,|cffffd100Tip:|r A mail icon next to the minimap means you have new mail.  Visit a mailbox to retrieve it.,21,0,0
235,|cffffd100Tip:|r You can add additional action bars to your game interface from the interface options menu.,22,0,0
236,"|cffffd100Tip:|r If you hold down <Shift> while right-clicking on a target to loot, you will automatically loot all items on the target.",23,0,0
237,"|cffffd100Tip:|r If you enjoyed playing with someone from your realm, put them on your friends list!",27,20,60
239,|cffffd100Tip:|r There are a number of different loot options when in a group. The group leader can right-click their own portrait to change the options.,29,60,85
240,"|cffffd100Tip:|r If you never want to hear from another player again, you can /ignore them. You can always change your mind later.",159,0,0
241,|cffffd100Tip:|r You can target members of your party with the function keys.  F1 targets you; F2 targets the second party member.,31,40,85
242,|cffffd100Tip:|r Being polite while in a group with others will get you invited back!,30,0,0
243,|cffffd100Tip:|r You can click on a faction in the reputation pane to get additional information and options about that faction.,32,0,0
244,|cffffd100Tip:|r A monster with a silver dragon around its portrait is a rare monster with better than average treasure.,33,0,0
245,|cffffd100Tip:|r If you mouse over a chat pane it will become visible and you can Right Click on the chat pane tab for options.,36,20,85
246,|cffffd100Tip:|r You can display the duration of beneficial spells on you from the interface options menu.,160,0,0
247,|cffffd100Tip:|r You can lock your action bar so you don't accidentally move spells. This is done using the interface options menu.,39,20,85
248,|cffffd100Tip:|r You can cast a spell on yourself without deselecting your current target by holding down <Alt> while pressing your hotkey.,161,0,0
250,|cffffd100Tip:|r Killing guards gives no honor.,43,0,0
251,|cffffd100Tip:|r Typing /macro will bring up the interface to create macros.,45,0,0
252,|cffffd100Tip:|r Enemy players whose names appear in gray are much lower level than you are and will not give honor when killed.,46,0,0
253,|cffffd100Tip:|r From the Raid UI you can drag a player to the game field to see their status or drag a class icon to see all members of that class.,47,0,0
254,|cffffd100Tip:|r You can hide your interface with <Alt>Z and take screenshots with <Print Screen>.,44,0,0
256,|cffffd100Tip:|r You can change which buffs or debuffs are displayed on yourself or targets in order to get the information you need.,40,40,85
258,|cffffd100Tip:|r If you <Shift>Click on a player name in the chat window it tells you additional information about them.,3,20,40
261,|cffffd100Tip:|r  A blue question mark above a quest giver means the quest is repeatable.,48,0,0
262,"|cffffd100Tip:|r Use the assist button (F key) while targeting another player, and it will target the same target as that player.",49,0,0
263,|cffffd100Tip:|r You can use the Tab key to select nearby enemies in front of you.,13,1,40
281,|cffffd100Tip:|r <Shift>Clicking on an item being sold by a vendor will let you select how many of that item you wish to purchase.,50,0,0
282,|cffffd100Tip:|r When you learn a profession or secondary skill the button that allows you to perform that skill is found in the Professions tab of your spellbook.,10,1,40
321,"|cffffd100Tip:|r If you are having trouble finding something in a capital city, try asking a guard for directions.",14,10,85
341,|cffffd100Tip:|r Remember to take all things in moderation (even World of Warcraft!),143,0,0
380,|cffffd100Tip:|r You can view messages you previously sent in chat by pressing <Alt> and the up arrow key.,53,0,0
381,|cffffd100Tip:|r You can Shift-Click on an item stack to split it into smaller stacks.,54,0,0
382,|cffffd100Tip:|r Pressing both mouse buttons simultaneously will make your character run.,55,0,0
383,"|cffffd100Tip:|r When replying to a tell from a player (Default 'R'), the <TAB> key cycles through people you have recently replied to.",56,0,0
384,|cffffd100Tip:|r You can remove a friendly spell enhancement on yourself by right-clicking on the spell effect icon.,9,40,60
387,|cffffd100Tip:|r A Blizzard employee will NEVER ask for your password.,18,10,85
388,|cffffd100Tip:|r Clicking an item name that appears bracketed in chat will tell you more about the item.,57,0,0
389,"|cffffd100Tip:|r You can only know two professions at a time, but you can learn all of the secondary skills (Archaeology, Fishing, Cooking and First Aid).",19,10,85
390,"|cffffd100Tip:|r It's considered polite to talk to someone before inviting them into a group, or opening a trade window.",58,0,0
392,|cffffd100Tip:|r Your items do not suffer durability damage when you are killed by an enemy player.,60,40,85
393,|cffffd100Tip:|r <Shift>click on a quest in your quest log to toggle quest tracking for that quest.,61,10,85
394,|cffffd100Tip:|r Nearby questgivers that are awaiting your return are shown as a yellow question mark on your mini-map.,63,1,20
396,|cffffd100Tip:|r Nearby questgivers that are awaiting your return are shown as a question mark on your mini-map.,0,1,20
397,|cffffd100Tip:|r The auction houses in each of your faction's major cities are linked together.,62,20,60
398,|cffffd100Tip:|r Ensure that all party members are on the same stage of an escort quest before beginning it.,41,0,0
399,|cffffd100Tip:|r Quests completed at maximum level award money instead of experience.,64,84,85
400,"|cffffd100Tip:|r If you keep catching junk while fishing, try attaching a lure to your fishing pole.",52,0,0
401,|cffffd100Tip:|r Your character can eat and drink at the same time.,24,0,0
402,|cffffd100Tip:|r Playing in a battleground on its holiday weekend increases your honor gained.,51,0,0
403,"|cffffd100Tip:|r By default, the B key will open all your bags at once.",65,20,85
404,|cffffd100Tip:|r When interacting with other players a little kindness goes a long way!,156,20,85
405,|cffffd100Tip:|r You're much less likely to encounter wandering monsters while following a road.,42,0,0
406,|cffffd100Tip:|r Use the Dungeon Finder tool to quickly travel to dungeons or to find more players for your dungeon group.,28,250,250
407,"|cffffd100Tip:|r Bring your friends to Azeroth, but don't forget to go outside Azeroth with them as well.",66,0,0
409,"|cffffd100Tip:|r If you keep an empty mailbox, the mail icon will let you know when you have new mail waiting!",67,0,0
