ID,SpellID,EffectIndex,Effect,Points,TargetType,Flags,Period
1,1,0,1,350,24,1,0
2,2,0,19,0.2,22,1,2
3,3,0,2,45.2,1,0,0
4,3,1,1,90.4,3,0,0
7,4,0,3,0.75,3,1,0
8,4,1,3,0.5,3,1,0
9,5,0,3,0.1,7,1,0
10,6,0,3,0.6,17,1,0
11,7,0,3,0.1,3,1,0
12,8,0,1,10,3,1,0
13,9,0,4,0.05,6,0,0
14,10,0,3,0.2,3,0,0
15,10,1,7,0.03,7,0,0
16,10,2,8,0.01,1,0,0
17,11,0,1,1,3,1,0
18,12,0,4,0.2,6,1,0
19,13,0,2,10,2,0,0
20,14,0,4,0.1,6,1,0
21,15,0,1,0.5,5,1,0
22,16,0,3,0.75,5,1,0
23,17,0,3,0.1,7,1,0
24,17,1,2,100,1,1,0
25,17,2,0,0,7,1,0
26,18,0,3,0.2,15,1,0
27,18,1,3,0.2,15,1,0
28,18,2,3,0.2,15,1,0
29,19,0,3,1.5,3,1,0
30,20,0,3,0.7,17,1,0
31,21,0,8,0.25,6,1,0
32,22,0,3,0.9,9,1,0
33,22,1,7,0.1,9,1,0
34,23,0,10,11,1,0,0
35,24,0,3,1.8,5,1,0
36,24,1,4,0.2,2,1,0
37,25,0,3,0.5,15,1,0
38,25,1,12,0.2,1,1,0
39,26,0,4,1,2,1,0
40,26,1,18,0.2,2,1,0
41,27,0,1,1,3,1,0
42,28,0,1,1,3,1,0
43,29,0,1,1,3,1,0
44,30,0,1,1,3,1,0
45,31,0,1,1,3,1,0
46,32,0,1,1,3,1,0
47,33,0,1,1,3,1,0
48,34,0,1,1,7,1,0
49,35,0,1,1,7,1,0
50,36,0,1,1,7,1,0
51,37,0,1,1,7,1,0
52,38,0,1,1,7,1,0
53,39,0,1,1,7,1,0
54,40,0,1,1,7,1,0
55,41,0,7,0.25,9,1,0
56,42,0,16,0.1,1,0,0
57,43,0,3,0.25,5,1,0
58,43,1,4,0.2,1,1,0
59,44,0,3,0.5,3,1,0
60,44,1,3,0.25,3,1,0
61,45,0,3,0.75,5,1,0
62,45,1,4,0.25,1,1,0
63,46,0,14,-0.1,1,0,0
64,46,1,14,-0.1,16,0,0
65,47,0,14,-0.2,6,0,0
66,48,0,10,0,1,1,0
67,48,1,4,0.2,1,1,0
68,49,0,14,0.33,17,0,0
69,50,0,3,1.2,5,1,0
70,51,0,3,0.75,15,1,0
71,52,0,3,0.3,17,1,0
72,53,0,7,0.1,7,1,2
73,53,1,12,-0.2,7,1,2
74,54,0,3,0.9,3,1,0
75,54,1,3,0.9,5,1,0
76,55,0,3,1.5,15,1,0
77,56,0,3,1.25,5,1,0
78,57,0,7,1,3,1,0
79,58,0,3,0.7,9,1,0
80,59,0,3,0.5,17,1,0
81,60,0,3,0.4,5,1,0
82,61,0,3,0.75,3,1,0
83,62,0,3,0.3,15,1,0
84,63,0,3,0.6,7,1,0
85,63,1,12,-0.2,7,0,0
86,64,0,3,1.5,7,1,0
87,65,0,3,0.65,3,1,0
88,66,0,3,1.5,13,1,0
89,67,0,3,1.2,5,1,0
90,68,0,3,0.2,15,1,0
91,68,1,12,-0.8,15,0,0
92,23,1,7,0.1,11,0,0
95,69,0,1,50,1,1,2
96,69,1,3,0.2,1,1,2
97,69,2,1,50,1,0,0
98,69,3,3,0.2,0,0,0
99,71,0,2,0.3,2,1,0
100,72,0,3,2,3,1,0
101,72,1,3,0.4,17,1,0
102,73,0,3,1,13,1,0
103,74,0,14,-0.4,1,0,0
104,74,1,12,-0.4,1,0,0
105,75,0,3,1.5,5,1,0
106,76,0,3,2.25,5,1,0
107,77,0,19,0.2,6,1,0
108,78,0,3,0.3,15,1,0
109,79,0,3,0.2,7,1,0
110,79,1,4,0.2,6,1,0
111,80,0,3,1.2,5,1,0
112,80,1,7,0.4,5,1,0
113,81,0,15,3,1,1,0
114,82,0,16,0.25,1,1,0
115,83,0,3,1.2,9,1,0
116,84,0,12,-1,7,0,0
117,85,0,14,-0.5,2,0,0
118,86,0,3,0.5,3,1,0
119,87,0,3,0.6,17,1,0
120,2,1,4,1,1,0,0
121,88,0,12,0.3,1,0,0
123,88,1,3,0.4,7,1,0
124,89,0,7,0.4,5,3,1
125,90,0,12,0.2,8,0,0
126,91,0,19,-0.6,5,1,0
127,92,0,7,0.5,17,3,1
128,93,0,3,0.2,3,1,0
129,93,1,4,0.8,1,1,0
130,94,0,7,0.3,15,1,1
131,95,0,3,1.5,5,1,0
132,95,1,3,0.4,17,1,0
133,96,0,3,0.6,5,1,0
134,96,1,12,-0.3,5,0,0
135,97,0,3,0.9,11,1,0
136,98,0,3,1.2,5,1,0
137,99,0,3,1.4,15,1,0
138,100,0,4,0.6,1,1,0
139,101,0,3,0.6,3,1,0
140,101,1,14,0.2,3,0,0
141,102,0,3,0.3,13,1,0
142,103,0,12,1,22,0,0
143,104,0,2,0.9,2,1,0
144,104,1,12,-0.1,2,0,0
145,105,0,14,-0.1,6,0,0
146,106,0,3,0.4,9,1,0
147,107,0,7,1.5,3,3,0
148,107,1,20,0.5,3,3,0
149,108,0,4,0.4,2,1,0
150,108,1,18,0.1,2,2,0
151,109,0,16,0.6,1,1,0
152,110,0,4,0.4,1,1,0
153,111,0,3,1,15,1,0
154,112,0,19,0.3,8,3,0
155,113,0,3,1.2,11,1,0
156,114,0,2,0.6,1,1,0
157,115,0,3,0.7,9,1,0
158,116,0,3,1.2,3,1,0
159,117,0,3,0.4,15,1,0
160,118,0,3,2,5,1,0
