ID,HordeName_lang,AllianceName_lang,Description_lang,Tooltip_lang,GarrTypeID,BuildingType,HordeGameObjectID,AllianceGameObjectID,GarrSiteID,UpgradeLevel,BuildSeconds,CurrencyTypeID,CurrencyQty,HordeUiTextureKitID,AllianceUiTextureKitID,IconFileDataID,AllianceSceneScriptPackageID,HordeSceneScriptPackageID,MaxAssignments,ShipmentCapacity,GarrAbilityID,BonusGarrAbilityID,GoldCost,Flags
8,War Mill,Dwarven Bunker,This structure stores and maintains the garrison's armaments.,"Doubles the chance for your quest rewards to get a rare or epic Bonus Upgrade, and increases the potency of the upgrade. Allows the collection of armor scraps from the orc clans of Draenor for armor transmogrification use.",2,10,230406,224548,0,1,3600,824,150,15,14,975736,1194,1193,0,0,0,0,150,1
9,War Mill,Dwarven Bunker,This structure stores and maintains the garrison's armaments.,"Opens up work orders for follower weapons and armor in exchange for garrison resources.  Also, new armor transmogrification items unlock.",2,10,230407,224549,0,2,3600,824,900,18,16,975736,1196,1195,0,14,0,0,300,1
10,War Mill,Dwarven Bunker,This structure stores and maintains the garrison's armaments.,Grants 1 of your 3 seals of inevitable fate (raid bonus loot roll) at no cost each week.,2,10,230409,224550,0,3,3600,824,1200,19,17,975736,1198,1197,0,21,0,0,500,1
24,Barn,Barn,"The Barn houses captured creatures that provide the garrison with leather, meat, and fur.","Allows you to capture clefthoof, elekk, wolves, and talbuk for leather and fur.  Used for leatherworking and tailoring recipes.",2,3,230410,224795,0,1,3600,824,100,131,3,975737,1220,1219,0,7,0,0,150,1
25,Barn,Barn,"The Barn houses captured creatures that provide the garrison with leather, meat, and fur.",Allows you to capture boars and riverbeasts for rare meats used to create the most powerful food.,2,3,230411,224796,0,2,3600,824,300,132,57,975737,1222,1221,0,14,62,0,300,1
26,Barracks,Barracks,The Barracks houses your garrison's military forces and followers.,Unlocks patrol missions.  Patrol missions have higher than normal follower experience rewards.,2,8,230412,224797,0,1,3600,824,150,142,36,975738,1224,1223,0,1,0,0,10,1
27,Barracks,Barracks,The Barracks houses your garrison's military forces and followers.,Allows a follower with the bodyguard trait to accompany you as a guardian in Draenor zones.,2,8,230413,224798,0,2,3600,824,900,143,37,975738,1226,1225,0,3,231,0,300,1
28,Barracks,Barracks,The Barracks houses your garrison's military forces and followers.,Increases your follower limit by 5 and grants access to racial guards and banners.,2,8,230414,224799,0,3,3600,824,1200,144,38,975738,1228,1227,5,5,231,0,500,1
29,Herb Garden,Herb Garden,A bountiful garden for the planting and harvesting of Draenor herbs.,Grows Draenic Seeds into herbs each day and herbalism nodes are available in the garden.,2,2,230415,224800,0,1,3600,824,50,137,59,134221,1230,1229,0,7,0,0,0,0
34,Frostwall Tavern,Lunarfall Inn,"Adventure!  Excitement! A Hero and his followers need all these things, along with a place to rest afterward.","Each day, a visitor offering a dungeon quest with generous rewards will spend the day at your inn.",2,5,230416,224805,0,1,3600,824,100,7,6,134414,1234,1233,0,1,0,0,150,1
35,Frostwall Tavern,Lunarfall Inn,"Adventure!  Excitement! A Hero and his followers need all these things, along with a place to rest afterward.",Recruits random followers each week.  You can specify traits and abilities you're especially interested in.,2,5,230417,224806,0,2,3600,824,300,138,31,134414,1236,1235,0,3,0,0,300,1
36,Frostwall Tavern,Lunarfall Inn,"Adventure!  Excitement! A Hero and his followers need all these things, along with a place to rest afterward.",Unlocks the particularly lucrative garrison resource missions.,2,5,230418,224807,0,3,3600,824,600,139,32,134414,1238,1237,0,5,0,0,500,1
37,Spirit Lodge,Mage Tower,Enables instant travel to strategic points in Draenor!,Allows the collection of Ogre Waystones from Ogres on Draenor.  These waystones can be used to power an Ogre Waygate of your choice on Draenor.  Also occasionally triggers Runes of Power during combat.,2,13,230419,224808,0,1,3600,824,150,148,28,975740,1240,1239,0,7,0,0,150,1
