ID,GarrFollowerTypeID,FollowerLevel,XpToNextLevel,ShipmentXP
1,1,90,400,100
2,1,91,800,200
3,1,92,1200,300
4,1,93,1600,400
5,1,94,2000,500
6,1,95,3000,600
7,1,96,3500,700
8,1,97,4000,800
9,1,98,5400,900
10,1,99,6000,1000
18,1,100,0,1800
29,2,100,0,0
30,4,110,0,0
31,4,100,200,100
32,4,101,400,200
33,4,102,600,300
34,4,103,800,400
35,4,104,1000,500
36,4,105,1500,600
37,4,106,1750,700
38,4,107,2000,800
39,4,108,2700,900
40,4,109,3000,1000
41,22,120,0,0
42,4,110,0,0
143,123,1,50,50
144,123,2,100,50
145,123,3,150,75
146,123,4,200,75
147,123,5,250,100
148,123,6,300,100
149,123,7,350,125
150,123,8,400,125
151,123,9,450,150
152,123,10,500,150
153,123,11,600,200
154,123,12,700,250
155,123,13,800,300
156,123,14,900,350
157,123,15,1000,400
158,123,16,1100,450
159,123,17,1200,500
160,123,18,1300,550
161,123,19,1400,600
162,123,20,1500,650
163,123,21,1700,700
164,123,22,1900,750
165,123,23,2100,800
166,123,24,2300,850
167,123,25,2500,900
168,123,26,2700,950
169,123,27,2900,1000
170,123,28,3100,1050
171,123,29,3300,1100
172,123,30,3500,1200
173,123,31,3900,1300
174,123,32,4300,1400
175,123,33,4700,1500
176,123,34,5100,1600
177,123,35,5500,1700
178,123,36,5900,1800
179,123,37,6300,1900
180,123,38,6700,2000
181,123,39,7100,2100
182,123,40,7500,2200
183,123,41,8300,2450
184,123,42,9100,2700
185,123,43,9900,2950
186,123,44,10700,3200
187,123,45,11500,3450
188,123,46,12300,3700
189,123,47,13100,3950
190,123,48,13900,4200
191,123,49,14700,4450
192,123,50,15500,4700
193,123,51,16400,5000
194,123,52,17300,5300
195,123,53,18200,5600
196,123,54,19100,5900
197,123,55,20000,6200
198,123,56,20900,6500
199,123,57,21800,6800
200,123,58,22700,7100
201,123,59,23600,7400
202,123,60,0,7500
