ID,GoldCost,CurrencyTypesID,CurrencyTypesCost,DurationSecs,RespecGoldCost,RespecCurrencyTypesID,RespecCurrencyTypesCost,RespecDurationSecs
1,0,1719,100,0,0,0,0,0
2,0,1719,150,0,0,0,0,0
3,0,1719,250,0,0,0,0,0
4,0,1719,400,0,0,0,0,0
5,0,1719,750,0,0,0,0,0
6,0,1719,900,0,0,0,0,0
7,0,1719,1100,0,0,0,0,0
8,0,1719,1350,0,0,0,0,0
9,0,1719,1800,0,0,0,0,0
10,0,1719,2200,0,0,0,0,0
11,0,1719,2700,0,0,0,0,0
12,0,1719,3300,0,0,0,0,0
13,0,1719,4200,0,0,0,0,0
14,0,1719,4800,0,0,0,0,0
15,0,1719,5500,0,0,0,0,0
16,0,1719,6500,0,0,0,0,0
17,0,1719,6500,0,0,0,0,0
18,0,1719,6500,0,0,0,0,0
19,0,1719,6500,0,0,0,0,0
20,0,1719,6500,0,0,0,0,0
