ID,Answer_lang,Sort_Index,GMSurveyQuestionID
101,N/A,0,36
102,Yes,1,36
103,No,2,36
104,N/A,0,35
105,0,1,35
106,1,2,35
107,2,3,35
108,3,4,35
109,4,5,35
110,5,6,35
111,6,7,35
112,7,8,35
113,8,9,35
114,9,10,35
115,Much worse,1,37
116,Somewhat worse,2,37
117,About the same,3,37
118,Better,4,37
119,Much better,5,37
120,10,11,35
121,N/A,0,37
152,Better,4,38
153,Much better,5,38
154,N/A,0,38
155,Much worse,1,38
156,Somewhat worse,2,38
157,About the same,3,38
158,Better,4,39
159,Much better,5,39
160,N/A,0,39
161,Much worse,1,39
162,Somewhat worse,2,39
163,About the same,3,39
164,Better,4,40
165,Much better,5,40
166,N/A,0,40
167,Much worse,1,40
168,Somewhat worse,2,40
169,About the same,3,40
170,Better,4,41
171,Much better,5,41
172,N/A,0,41
173,Much worse,1,41
174,Somewhat worse,2,41
175,About the same,3,41
184,Not at All Satisfied,0,42
185,,1,42
186,,2,42
187,,3,42
188,Extremely Satisfied,4,42
189,Not at All Likely,0,43
190,,1,43
191,,2,43
192,,3,43
193,Extremely Likely,4,43
194,N/A,5,43
195,Not at All Likely,0,44
196,,1,44
197,,2,44
198,,3,44
199,Extremely Likely,4,44
200,Not at All Satisfied,0,45
201,,1,45
202,,2,45
203,,3,45
204,Extremely Satisfied,4,45
205,Strongly Disagree,0,46
206,,1,46
207,,2,46
208,,3,46
209,Strongly Agree,4,46
210,N/A,5,46
211,Strongly Disagree,0,47
212,,1,47
213,,2,47
214,,3,47
215,Strongly Agree,4,47
216,N/A,5,47
217,Strongly Disagree,0,48
218,,1,48
219,,2,48
220,,3,48
221,Strongly Agree,4,48
222,N/A,5,48
223,Strongly Disagree,0,49
224,,1,49
225,,2,49
226,,3,49
227,Strongly Agree,4,49
228,N/A,5,49
229,Yes,0,50
230,No,1,50
231,Not at All Satisfied,0,51
232,,1,51
233,,2,51
234,,3,51
235,Extremely Satisfied,4,51
236,N/A,5,51
249,N/A,5,42
251,N/A,5,44
252,N/A,5,45
320,,1,53
321,,2,53
322,,3,53
323,Strongly Agree,4,53
324,N/A,5,53
325,Strongly Disagree,0,53
352,N/A,5,52
359,1,4,52
366,2,3,52
373,3,2,52
380,4 or more,1,52
394,Not Yet Resolved,0,52
