SourceText_lang,ID,ItemID,LegacyUpgradedItemID,StaticUpgradedItemID,SourceTypeEnum,Flags,LegacyItemID,UpgradeItemID[0],UpgradeItemID[1],UpgradeItemID[2],UpgradeItemID[3],UpgradeItemID[4],UpgradeItemID[5],UpgradeItemBonusListID[0],UpgradeItemBonusListID[1],UpgradeItemBonusListID[2],UpgradeItemBonusListID[3],UpgradeItemBonusListID[4],UpgradeItemBonusListID[5]
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,1,122353,93854,0,2,0,42947,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,2,122365,93851,0,2,0,44092,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,3,122363,93844,0,2,0,79131,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,4,122352,93855,0,2,0,42946,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,663,122356,93887,0,2,0,42950,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,664,122349,93843,0,2,0,42943,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,665,122351,93856,0,2,0,42945,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,666,122376,93867,0,2,0,44103,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,667,122355,93890,0,2,0,42949,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,668,122358,93862,0,2,0,42952,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
