ID,Type,StartColor,MidColor,EndColor,Flags
1,1,-65536,2147418112,16711680,0
2,2,-32512,2147450880,16744448,0
3,3,-256,2147483392,16776960,0
4,4,-16711936,2130770432,65280,0
5,5,-16776961,2130706687,255,0
6,6,-10460929,2137022719,6316287,0
7,7,-5592321,2141891327,11184895,0
8,8,-5570646,2141913002,11206570,0
9,9,-11286017,2136197631,5491199,0
10,10,-8355712,2139127936,8421504,0
11,11,-1,-1624,16776960,1
14,12,-1,2113927592,16775592,1
15,13,-1292437374,1509357698,16185474,1
16,14,-4433665,-339514113,10696174,1
74,16,-1,2147482024,16776960,1
95,15,-1,-1,16777215,1
119,17,16777215,-65536,16777215,1
121,18,16777215,-38144,16777215,1
124,19,-4433665,-342611744,10696174,1
125,20,-10177537,-10177537,-10177537,0
127,21,-65536,-65536,-65536,0
128,22,-117,-1291845749,16777099,0
130,23,-1,-1624,16776960,1
131,24,-1,-1624,16776960,1
135,25,16777215,-9965032,16777215,1
136,27,0,-4325121,0,1
137,28,0,-16722433,0,1
138,26,0,-1704704,0,1
144,29,0,792060,0,1
145,30,0,16520983,0,1
147,31,-16738048,2130745600,39168,0
149,32,-1,-10177537,16777215,2
158,33,-22016,-22016,-1,1
160,34,-1,-855670784,-1,1
161,35,-65536,-855703552,-65536,1
264,37,16777215,-65536,16777215,1
265,36,16777215,-10177537,16777215,1
272,38,-16773889,-16739585,-16711937,1
275,39,16777215,-15899928,16777215,1
277,40,16777215,-14954509,16777215,1
278,42,-4759809,-4759809,-4104449,0
280,41,-12032,-12032,-12032,0
282,44,0,16711680,0,1
283,45,0,8092539,0,1
299,46,-65792,-256,-256,1
