Name_lang,Description_lang,ID,HouseLevelDataID,Field_12_0_0_63967_004,IconFileDataID
Initial Room Collection,Start building your house with many basic room shapes. Welcome Home!,11,35,0,4217590
Exterior Decoration,You may place 200 points of Decor in your yard.,12,35,1,8164790
Hearthlight Armillary,"You will obtain a Hearthlight Armillary, an impressive device capable of manipulating ambient light within and around its owner's house, either to dim or enhance it.|n|nAdditional copies can be purchased from the Last Architect in your neighborhood.",23,52,0,7487068
Medium-Size House Exteriors,You may now use medium-size house exteriors for your house.,24,53,0,7252953
Room and Decor Placement Budget Bonuses,"The Room Placement Budget and Decor Placement Budget for this level have been significantly increased (+10 Room, +500 Decor).",26,55,0,135769
Room and Decor Placement Budget Bonuses,"The Room Placement Budget and Decor Placement Budget for this level have been significantly increased (+10 Room, +500 Decor).",27,56,0,135769
Increased Exterior Decoration,"You may now place an additional 50 points of Decor in your yard, for a total of 250.",30,30,0,8164790
Increased Exterior Decoration,"You may now place an additional 50 points of Decor in your yard, for a total of 300.",38,34,0,8164790
Increased Exterior Decoration,"You may now place an additional 50 points of Decor in your yard, for a total of 350.",39,55,1,8164790
Treasures from Distant Lands,"Visit the Last Architect in your neighborhood once each week to obtain an Arcanostorage Sphere, containing a random piece of decor from a curated selection of the Last Architect's collection.",40,66,0,7137527
Room and Decor Placement Budget Bonuses,"The Room Placement Budget and Decor Placement Budget for this level have been significantly increased (+10 Room, +500 Decor).",41,67,0,135769
Large-Size House Exteriors,You may now use large-size house exteriors for your house.,42,68,0,7252953
