ID,Quality[0],Quality[1],Quality[2],Quality[3],Quality[4],Quality[5],Quality[6],ItemLevel
1,11.387345,12.019976,12.652606,12.652606,12.652606,12.652606,12.652606,1
2,12.422559,13.112701,13.802843,13.802843,13.802843,13.802843,13.802843,2
3,13.457772,14.205426,14.95308,14.95308,14.95308,14.95308,14.95308,3
4,14.492986,15.298151,16.103317,16.103317,16.103317,16.103317,16.103317,4
5,15.528198,16.390877,17.253553,17.253553,17.253553,17.253553,17.253553,5
6,16.563412,17.4836,18.403791,18.403791,18.403791,18.403791,18.403791,6
7,17.598625,18.576326,19.554028,19.554028,19.554028,19.554028,19.554028,7
8,18.633839,19.669052,20.704266,20.704266,20.704266,20.704266,20.704266,8
9,19.669052,20.761776,21.854502,21.854502,21.854502,21.854502,21.854502,9
10,20.704266,21.854502,23.004738,23.004738,23.004738,23.004738,23.004738,10
11,21.73948,22.947227,24.154976,24.154976,24.154976,24.154976,24.154976,11
12,22.77469,24.039951,25.305212,25.305212,25.305212,25.305212,25.305212,12
13,23.809904,25.132677,26.45545,26.45545,26.45545,26.45545,26.45545,13
14,24.845118,26.225403,27.605686,27.605686,27.605686,27.605686,27.605686,14
15,25.880331,27.318127,28.755924,28.755924,28.755924,28.755924,28.755924,15
16,26.915545,28.410852,29.90616,29.90616,29.90616,29.90616,29.90616,16
17,27.950758,29.503578,31.056396,31.056396,31.056396,31.056396,31.056396,17
18,28.985971,30.596302,32.206635,32.206635,32.206635,32.206635,32.206635,18
19,30.021185,31.689028,33.356873,33.356873,33.356873,33.356873,33.356873,19
20,31.056396,32.781754,34.507107,34.507107,34.507107,34.507107,34.507107,20
21,31.254171,32.990513,34.726856,34.726856,34.726856,34.726856,34.726856,21
22,31.45575,33.203293,34.950832,34.950832,34.950832,34.950832,34.950832,22
23,33.178925,35.0222,36.865475,36.865475,36.865475,36.865475,36.865475,23
24,33.38842,35.243332,37.098244,37.098244,37.098244,37.098244,37.098244,24
25,33.601757,35.46852,37.335285,37.335285,37.335285,37.335285,37.335285,25
26,35.467884,37.438324,39.40876,39.40876,39.40876,39.40876,39.40876,26
27,35.69099,37.67382,39.656654,39.656654,39.656654,39.656654,39.656654,27
28,37.600113,39.689007,41.777905,41.777905,41.777905,41.777905,41.777905,28
29,37.833046,39.934883,42.03672,42.03672,42.03672,42.03672,42.03672,29
30,37.98009,40.090096,42.200104,42.200104,42.200104,42.200104,42.200104,30
31,39.962013,42.182125,44.402237,44.402237,44.402237,44.402237,44.402237,31
32,40.185555,42.418087,44.650616,44.650616,44.650616,44.650616,44.650616,32
33,40.41238,42.657513,44.902645,44.902645,44.902645,44.902645,44.902645,33
34,42.380043,44.73449,47.088936,47.088936,47.088936,47.088936,47.088936,34
35,42.61505,44.982555,47.350056,47.350056,47.350056,47.350056,47.350056,35
36,44.67856,47.160698,49.64284,49.64284,49.64284,49.64284,49.64284,36
37,44.922554,47.41825,49.913948,49.913948,49.913948,49.913948,49.913948,37
38,45.16986,47.6793,50.188736,50.188736,50.188736,50.188736,50.188736,38
39,47.293945,49.921387,52.54883,52.54883,52.54883,52.54883,52.54883,39
40,47.561024,50.203304,52.845585,52.845585,52.845585,52.845585,52.845585,40
41,49.736813,52.49997,55.263126,55.263126,55.263126,55.263126,55.263126,41
42,50.028725,52.808098,55.58747,55.58747,55.58747,55.58747,55.58747,42
43,50.324684,53.1205,55.916313,55.916313,55.916313,55.916313,55.916313,43
44,51.870724,54.75243,57.634136,57.634136,57.634136,57.634136,57.634136,44
45,52.874485,55.811954,58.749428,58.749428,58.749428,58.749428,58.749428,45
46,55.152763,58.216805,61.28085,61.28085,61.28085,61.28085,61.28085,46
47,56.264664,59.39048,62.516293,62.516293,62.516293,62.516293,62.516293,47
48,57.42794,60.61838,63.808823,63.808823,63.808823,63.808823,63.808823,48
49,60.04752,63.38349,66.71947,66.71947,66.71947,66.71947,66.71947,49
50,61.33146,64.73876,68.146065,68.146065,68.146065,68.146065,68.146065,50
51,62.674995,66.15694,69.638885,69.638885,69.638885,69.638885,69.638885,51
52,65.45718,69.09369,72.7302,72.7302,72.7302,72.7302,72.7302,52
53,66.93529,70.65391,74.372536,74.372536,74.372536,74.372536,74.372536,53
54,69.929596,73.81457,77.69955,77.69955,77.69955,77.69955,77.69955,54
55,71.55604,75.53137,79.50671,79.50671,79.50671,79.50671,79.50671,55
56,72.11895,76.12556,80.132164,80.132164,80.132164,80.132164,80.132164,56
57,74.22016,78.343506,82.46684,82.46684,82.46684,82.46684,82.46684,57
58,74.80827,78.96429,83.1203,83.1203,83.1203,83.1203,83.1203,58
59,75.40561,79.59481,83.78401,83.78401,83.78401,83.78401,83.78401,59
60,77.47986,81.784294,86.08873,86.08873,86.08873,86.08873,86.08873,60
61,78.1017,82.44068,86.77966,86.77966,86.77966,86.77966,86.77966,61
62,78.73342,83.1075,87.48158,87.48158,87.48158,87.48158,87.48158,62
63,80.92727,85.42323,89.91919,89.91919,89.91919,89.91919,89.91919,63
64,81.58503,86.11753,90.65003,90.65003,90.65003,90.65003,90.65003,64
65,82.25337,86.823,91.39263,91.39263,91.39263,91.39263,91.39263,65
66,84.57461,89.2732,93.97179,93.97179,93.97179,93.97179,93.97179,66
67,85.27062,90.00788,94.74513,94.74513,94.74513,94.74513,94.74513,67
68,85.97798,90.75453,95.53109,95.53109,95.53109,95.53109,95.53109,68
