ID,SequenceSpellID,PlayerConditionID,ItemExtendedCostID,ItemLogicalCostGroupID,ItemGroupIlvlScalingID
1,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
111,302087,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
125,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,0,0,0,0,0
132,0,0,0,0,0
133,0,0,0,0,0
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,0,0,0
140,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
148,321245,91625,0,0,0
149,321243,91625,0,0,0
150,320982,91625,0,0,0
151,321248,91625,0,0,0
152,0,0,0,0,0
153,0,0,0,0,0
154,325792,91625,0,0,0
155,325796,91625,0,0,0
156,325795,91625,0,0,0
157,325794,91625,0,0,0
158,0,0,0,0,0
159,341266,91625,0,0,0
160,341268,91625,0,0,0
161,341517,91625,0,0,0
162,341518,91625,0,0,0
163,344750,0,0,0,0
164,0,0,0,0,0
165,0,0,0,0,0
166,0,0,0,0,0
167,347578,91625,0,0,0
168,347579,91625,0,0,0
169,0,0,0,0,0
170,0,0,0,0,0
171,349900,91625,0,0,0
172,349965,91626,0,0,0
173,349966,91626,0,0,0
174,349967,91626,0,0,0
175,349968,91626,0,0,0
176,349969,91626,0,0,0
177,349970,91626,0,0,0
178,349971,91626,0,0,0
179,354513,91626,0,0,0
180,354512,91626,0,0,0
181,354508,91626,0,0,0
182,354506,91626,0,0,0
183,354503,91626,0,0,0
184,354501,91626,0,0,0
185,354495,91626,0,0,0
188,350782,91625,0,0,0
189,350783,91625,0,0,0
190,350785,91625,0,0,0
191,350786,91625,0,0,0
192,350787,91625,0,0,0
193,350788,91625,0,0,0
197,353683,0,0,0,0
198,354537,91628,0,0,0
199,354595,91628,0,0,0
200,354596,91628,0,0,0
201,354599,91628,0,0,0
202,354604,91628,0,0,0
203,354606,91628,0,0,0
204,354608,91628,0,0,0
205,354611,91628,0,0,0
206,354618,91628,0,0,0
207,354621,91628,0,0,0
208,354622,91628,0,0,0
209,354623,91628,0,0,0
210,354624,91628,0,0,0
211,354627,91628,0,0,0
212,355654,91626,0,0,0
213,355655,91626,0,0,0
214,355656,91626,0,0,0
215,355657,91626,0,0,0
216,355658,91626,0,0,0
217,355659,91626,0,0,0
218,355660,91626,0,0,0
219,355896,91778,0,0,0
223,359271,91628,0,0,0
224,362547,91628,0,0,0
225,362548,91628,0,0,0
226,362549,91628,0,0,0
227,362550,91628,0,0,0
228,362551,91628,0,0,0
229,362552,91628,0,0,0
230,358958,0,0,0,0
232,0,0,0,0,0
233,0,0,0,0,0
234,0,0,0,0,0
235,0,0,0,0,0
237,0,0,0,0,0
239,0,0,0,0,0
240,372869,97366,0,0,0
241,372868,97366,0,0,0
242,372870,97366,0,0,0
243,372872,97366,0,0,0
244,372874,97366,0,0,0
245,372873,97366,0,0,0
246,372871,97366,0,0,0
247,372882,97366,0,0,0
248,372883,97366,0,0,0
249,372884,97366,0,0,0
250,372885,97366,0,0,0
251,372886,97366,0,0,0
252,372887,97366,0,0,0
253,372888,97366,0,0,0
254,372879,97366,0,0,0
255,372878,97366,0,0,0
256,372877,97366,0,0,0
257,372875,97366,0,0,0
258,372876,97366,0,0,0
259,372881,97366,0,0,0
260,372880,97366,0,0,0
266,0,97366,0,0,0
268,377439,0,0,0,0
269,0,0,0,0,0
270,0,0,0,0,0
273,387211,0,0,0,0
276,391005,104439,0,2,0
277,391013,104439,0,3,0
278,391015,104439,0,4,0
280,0,0,0,0,0
281,0,0,0,0,0
282,401423,110948,0,11,0
283,402993,106966,0,12,1
284,403239,106966,0,13,1
285,403240,106966,0,14,1
286,403241,106966,0,15,1
287,403279,106966,0,16,1
288,403325,0,0,18,0
291,0,0,0,0,0
294,406250,0,0,0,0
295,417931,106966,0,17,1
296,0,0,0,0,0
297,0,0,0,0,0
298,410840,106966,0,3,0
299,410842,106966,0,4,0
300,412882,0,0,20,0
301,0,0,0,0,0
304,0,0,0,0,0
305,422034,113371,0,23,3
306,422028,113371,0,24,3
307,422060,113371,0,25,3
308,422064,113371,0,26,3
309,422065,113371,0,27,3
310,422106,113371,0,28,3
312,0,0,0,0,0
313,0,0,0,0,0
325,428324,0,0,0,0
329,430161,120447,0,51,4
330,430163,120447,0,52,4
331,430165,120447,0,54,4
332,430166,120447,0,55,4
333,430167,120447,0,56,4
334,430169,120447,0,57,4
337,0,0,0,0,0
342,430566,116545,0,60,5
354,430735,116545,0,61,5
355,430736,116545,0,63,5
356,430741,116545,0,58,5
357,430810,116545,0,62,5
358,430858,116545,0,59,5
360,431792,116545,0,122,5
382,433679,116545,0,122,5
387,436449,0,0,0,6
388,436452,0,0,0,6
389,436454,0,0,0,6
390,436448,0,0,0,6
391,436450,0,0,0,6
392,436451,0,0,0,6
393,436453,0,0,0,6
394,0,0,0,0,0
398,440514,0,0,0,6
399,440538,0,0,0,6
405,440567,0,0,122,5
407,440735,0,9050,0,0
418,442451,0,0,0,0
445,0,0,0,0,0
448,0,0,0,0,0
482,0,0,0,0,0
483,0,0,0,0,0
