ID,ItemID
92830,231806
93071,18042
93072,15997
93470,243198
93554,244353
93675,236165
93676,236163
93677,236169
93678,236162
93679,236164
93680,236168
93681,236160
93682,236166
93683,236167
93693,236155
93694,236153
93695,236159
93696,236152
93697,236154
93698,236158
93699,236151
93700,236156
93701,236157
94493,246055
94494,246055
94495,246056
94496,246056
94497,246057
94498,246057
94499,246058
94500,246058
94501,246059
94502,246059
94503,246060
94504,246060
94505,246061
94506,246061
94507,246062
94508,246062
94509,246060
94510,246057
94511,246055
94512,246062
94513,246058
94514,246061
94515,246059
94516,246056
94591,246057
94592,246055
94593,246059
94594,246062
94595,246056
94596,246058
94597,246061
94598,246060
