ID,ItemLevel,Quality[0],Quality[1],Quality[2],Quality[3],Quality[4],Quality[5],Quality[6]
1,1,0.2531016,0.4070717,0.421836,0.421836,0.421836,0.421836,0.421836
2,2,0.2952852,0.474917,0.49214196,0.49214196,0.49214196,0.49214196,0.49214196
3,3,0.33746877,0.5427623,0.56244797,0.56244797,0.56244797,0.56244797,0.56244797
4,4,0.37965238,0.61060756,0.63275397,0.63275397,0.63275397,0.63275397,0.63275397
5,5,0.421836,0.67845285,0.70306,0.70306,0.70306,0.70306,0.70306
6,6,0.48981184,0.7877807,0.8163531,0.8163531,0.8163531,0.8163531,0.8163531
7,7,0.5564278,0.89492136,0.9273796,0.9273796,0.9273796,0.9273796,0.9273796
8,8,0.5763654,0.9269877,0.960609,0.960609,0.960609,0.960609,0.960609
9,9,0.6448501,1.0371338,1.0747501,1.0747501,1.0747501,1.0747501,1.0747501
10,10,0.667485,1.0735383,1.1124749,1.1124749,1.1124749,1.1124749,1.1124749
11,11,0.7390657,1.188664,1.2317762,1.2317762,1.2317762,1.2317762,1.2317762
12,12,0.75512004,1.2144847,1.2585334,1.2585334,1.2585334,1.2585334,1.2585334
13,13,0.82563716,1.3278997,1.3760619,1.3760619,1.3760619,1.3760619,1.3760619
14,14,0.84255683,1.3551123,1.4042615,1.4042615,1.4042615,1.4042615,1.4042615
15,15,0.8550976,1.3752819,1.4251627,1.4251627,1.4251627,1.4251627,1.4251627
16,16,0.867825,1.3957518,1.4463749,1.4463749,1.4463749,1.4463749,1.4463749
17,17,0.87617713,1.4091849,1.4602952,1.4602952,1.4602952,1.4602952,1.4602952
18,18,0.94358367,1.5175971,1.5726395,1.5726395,1.5726395,1.5726395,1.5726395
19,19,0.95220804,1.5314679,1.5870134,1.5870134,1.5870134,1.5870134,1.5870134
20,20,0.9609112,1.5454656,1.6015188,1.6015188,1.6015188,1.6015188,1.6015188
21,21,0.96969396,1.5595912,1.6161566,1.6161566,1.6161566,1.6161566,1.6161566
22,22,0.978557,1.5738457,1.6309283,1.6309283,1.6309283,1.6309283,1.6309283
23,23,0.9924385,1.596172,1.6540642,1.6540642,1.6540642,1.6540642,1.6540642
24,24,1.0689338,1.7192019,1.7815564,1.7815564,1.7815564,1.7815564,1.7815564
25,25,1.0835737,1.7427478,1.8059562,1.8059562,1.8059562,1.8059562,1.8059562
26,26,1.0983875,1.7665732,1.8306458,1.8306458,1.8306458,1.8306458,1.8306458
27,27,1.113377,1.7906812,1.8556283,1.8556283,1.8556283,1.8556283,1.8556283
28,28,1.1285442,1.8150752,1.8809069,1.8809069,1.8809069,1.8809069,1.8809069
29,29,1.2111788,1.9479792,2.0186312,2.0186312,2.0186312,2.0186312,2.0186312
30,30,1.2271366,1.9736447,2.0452278,2.0452278,2.0452278,2.0452278,2.0452278
31,31,1.243276,1.9996022,2.0721266,2.0721266,2.0721266,2.0721266,2.0721266
32,32,1.2595989,2.0258548,2.0993314,2.0993314,2.0993314,2.0993314,2.0993314
33,33,1.2761071,2.0524054,2.1268451,2.1268451,2.1268451,2.1268451,2.1268451
34,34,1.2806063,2.0596418,2.1343439,2.1343439,2.1343439,2.1343439,2.1343439
35,35,1.362486,2.1913316,2.27081,2.27081,2.27081,2.27081,2.27081
36,36,1.3733062,2.208734,2.2888436,2.2888436,2.2888436,2.2888436,2.2888436
37,37,1.3842123,2.2262747,2.3070204,2.3070204,2.3070204,2.3070204,2.3070204
38,38,1.3952049,2.2439547,2.3253417,2.3253417,2.3253417,2.3253417,2.3253417
39,39,1.4062849,2.261775,2.3438082,2.3438082,2.3438082,2.3438082,2.3438082
40,40,1.4920558,2.399723,2.4867597,2.4867597,2.4867597,2.4867597,2.4867597
