ID,ItemLevel,Quality[0],Quality[1],Quality[2],Quality[3],Quality[4],Quality[5],Quality[6]
1,1,0.1733228,0.2599324,0.3145296,0.5251484,0.937062,0.937062,0.937062
2,2,0.25108692,0.3774,0.44291466,0.688644,1.1201725,1.1201725,1.1201725
3,3,0.32885107,0.4948676,0.57129973,0.8521396,1.3032831,1.3032831,1.3032831
4,4,0.4066152,0.6123352,0.6996848,1.0156353,1.4863936,1.4863936,1.4863936
5,5,0.48437932,0.7298028,0.82806987,1.1791308,1.6695042,1.6695042,1.6695042
6,6,0.56214345,0.8472704,0.95645493,1.3426265,1.8526146,1.8526146,1.8526146
7,7,0.6399076,0.964738,1.08484,1.506122,2.035725,2.035725,2.035725
8,8,0.71767175,1.0822057,1.2132251,1.6696177,2.2188358,2.2188358,2.2188358
9,9,0.79543585,1.1996732,1.3416101,1.8331132,2.4019463,2.4019463,2.4019463
10,10,0.8732,1.3171408,1.4699951,1.9966089,2.5850568,2.5850568,2.5850568
11,11,0.95096415,1.4346085,1.5983802,2.1601045,2.7681673,2.7681673,2.7681673
12,12,1.0287282,1.552076,1.7267653,2.3236,2.951278,2.951278,2.951278
13,13,1.1064924,1.6695436,1.8551503,2.4870956,3.1343884,3.1343884,3.1343884
14,14,1.1842566,1.7870111,1.9835354,2.6505911,3.317499,3.317499,3.317499
15,15,1.2620207,1.9044788,2.1119206,2.814087,3.5006094,3.5006094,3.5006094
16,16,1.3397847,2.0219464,2.2403057,2.9775825,3.68372,3.68372,3.68372
17,17,1.4175489,2.139414,2.3686907,3.141078,3.8668306,3.8668306,3.8668306
18,18,1.495313,2.2568817,2.4970758,3.3045735,4.049941,4.049941,4.049941
19,19,1.5730772,2.374349,2.6254609,3.4680693,4.233052,4.233052,4.233052
20,20,1.6508414,2.4918168,2.753846,3.6315649,4.416162,4.416162,4.416162
21,21,1.7286055,2.6092844,2.882231,3.7950604,4.5992727,4.5992727,4.5992727
22,22,1.8063695,2.726752,3.010616,3.958556,4.782383,4.782383,4.782383
23,23,1.8985736,2.8647473,3.1643584,4.1042175,4.944828,4.944828,4.944828
24,24,1.9943,3.010616,3.3239024,4.2440777,5.124056,5.124056,5.124056
25,25,2.0908551,3.1643584,3.484897,4.3785505,5.325454,5.325454,5.325454
26,26,2.188032,3.3239024,3.6465127,4.5080504,5.5481944,5.5481944,5.5481944
27,27,2.2835512,3.484897,3.8060567,4.638172,5.7754927,5.7754927,5.7754927
28,28,2.3751335,3.6465127,3.958556,4.782383,6.0102506,6.0102506,6.0102506
29,29,2.462572,3.8060567,4.1042175,4.944828,6.252053,6.252053,6.252053
30,30,2.546488,3.958556,4.2440777,5.124056,6.4984136,6.4984136,6.4984136
31,31,2.6270888,4.1042175,4.3785505,5.325454,6.748504,6.748504,6.748504
32,32,2.7047887,4.2440777,4.5080504,5.5481944,6.984712,6.984712,6.984712
33,33,2.7829032,4.3785505,4.638172,5.7754927,7.201029,7.201029,7.201029
34,34,2.8693056,4.5080504,4.782383,6.0102506,7.3986974,7.3986974,7.3986974
35,35,2.9668968,4.638172,4.944828,6.252053,7.5768895,7.5768895,7.5768895
36,36,3.0744336,4.782383,5.124056,6.4984136,7.736019,7.736019,7.736019
37,37,3.1952312,4.944828,5.325454,6.748504,7.8947344,7.8947344,7.8947344
38,38,3.3288753,5.124056,5.5481944,6.984712,8.054693,8.054693,8.054693
39,39,3.46542,5.325454,5.7754927,7.201029,8.21693,8.21693,8.21693
40,40,3.606109,5.5481944,6.0102506,7.3986974,8.377303,8.377303,8.377303
41,41,3.7511487,5.7754927,6.252053,7.5768895,8.536018,8.536018,8.536018
42,42,3.8990896,6.0102506,6.4984136,7.736019,8.696184,8.696184,8.696184
