ID,ItemLevel,Quality[0],Quality[1],Quality[2],Quality[3],Quality[4],Quality[5],Quality[6]
1,1,0.99,1.014,1.65,5.069,9.045,9.045,9.045
2,2,1.29,1.321,2.149,5.776,9.622,9.622,9.622
3,3,1.61,1.65,2.684,6.471,10.200001,10.200001,10.200001
4,4,1.94,2.149,3.234,7.159,10.773,10.773,10.773
5,5,2.288,2.684,3.813,7.829,11.347,11.347,11.347
6,6,2.65,3.234,4.417,8.462,11.927,11.927,11.927
7,7,3.041,3.813,5.069,9.045,12.531,12.531,12.531
8,8,3.466,4.417,5.776,9.622,13.160001,13.160001,13.160001
9,9,3.882,5.069,6.471,10.200001,13.826,13.826,13.826
10,10,4.296,5.776,7.159,10.773,14.530001,14.530001,14.530001
11,11,4.698,6.471,7.829,11.347,15.272,15.272,15.272
12,12,5.077,7.159,8.462,11.927,16.042,16.042,16.042
13,13,5.427,7.829,9.045,12.531,16.819,16.819,16.819
14,14,5.773,8.462,9.622,13.160001,17.598999,17.598999,17.598999
15,15,6.12,9.045,10.200001,13.826,18.369,18.369,18.369
16,16,6.464,9.622,10.773,14.530001,19.105,19.105,19.105
17,17,6.808,10.200001,11.347,15.272,19.808,19.808,19.808
18,18,7.156,10.773,11.927,16.042,20.483,20.483,20.483
19,19,7.518,11.347,12.531,16.819,21.132,21.132,21.132
20,20,7.896,11.927,13.160001,17.598999,21.757,21.757,21.757
21,21,8.295,12.531,13.826,18.369,22.385,22.385,22.385
22,22,8.718,13.160001,14.530001,19.105,23.081,23.081,23.081
23,23,9.163,13.826,15.272,19.808,23.865,23.865,23.865
24,24,9.625,14.530001,16.042,20.483,24.730001,24.730001,24.730001
25,25,10.091,15.272,16.819,21.132,25.702,25.702,25.702
26,26,10.56,16.042,17.598999,21.757,26.777,26.777,26.777
27,27,11.021,16.819,18.369,22.385,27.874,27.874,27.874
28,28,11.463,17.598999,19.105,23.081,29.007,29.007,29.007
29,29,11.885,18.369,19.808,23.865,30.174,30.174,30.174
30,30,12.29,19.105,20.483,24.730001,31.363,31.363,31.363
31,31,12.679,19.808,21.132,25.702,32.57,32.57,32.57
32,32,13.054,20.483,21.757,26.777,33.71,33.71,33.71
33,33,13.431,21.132,22.385,27.874,34.754,34.754,34.754
34,34,13.848001,21.757,23.081,29.007,35.708,35.708,35.708
35,35,14.319,22.385,23.865,30.174,36.568,36.568,36.568
36,36,14.838,23.081,24.730001,31.363,37.336,37.336,37.336
37,37,15.421,23.865,25.702,32.57,38.102,38.102,38.102
38,38,16.066,24.730001,26.777,33.71,38.874,38.874,38.874
39,39,16.725,25.702,27.874,34.754,39.657,39.657,39.657
40,40,17.404,26.777,29.007,35.708,40.431,40.431,40.431
41,41,18.104,27.874,30.174,36.568,41.197,41.197,41.197
42,42,18.818,29.007,31.363,37.336,41.97,41.97,41.97
43,43,19.542,30.174,32.57,38.102,42.742,42.742,42.742
44,44,20.226,31.363,33.71,38.874,43.509,43.509,43.509
45,45,20.852,32.57,34.754,39.657,44.287,44.287,44.287
46,46,21.425,33.71,35.708,40.431,45.075,45.075,45.075
47,47,21.941,34.754,36.568,41.197,45.862,45.862,45.862
48,48,22.402,35.708,37.336,41.97,46.655,46.655,46.655
49,49,22.861,36.568,38.102,42.742,47.449,47.449,47.449
50,50,23.324,37.336,38.874,43.509,48.235,48.235,48.235
51,51,23.794,38.102,39.657,44.287,49.022,49.022,49.022
52,52,24.259,38.874,40.431,45.075,49.812,49.812,49.812
53,53,24.718,39.657,41.197,45.862,50.611,50.611,50.611
54,54,25.182001,40.431,41.97,46.655,51.421,51.421,51.421
55,55,25.645,41.197,42.742,47.449,52.252,52.252,52.252
56,56,26.106,41.97,43.509,48.235,53.091,53.091,53.091
57,57,26.572,42.742,44.287,49.022,53.945,53.945,53.945
58,58,27.045,43.509,45.075,49.812,54.81,54.81,54.81
59,59,27.517,44.287,45.862,50.611,55.697002,55.697002,55.697002
60,60,27.993,45.075,46.655,51.421,56.608,56.608,56.608
61,61,28.469,45.862,47.449,52.252,57.552002,57.552002,57.552002
62,62,28.941,46.655,48.235,53.091,58.516003,58.516003,58.516003
63,63,29.413,47.449,49.022,53.945,59.509003,59.509003,59.509003
64,64,29.567001,47.800003,49.278,54.81,60.516003,60.516003,60.516003
65,65,29.720001,48.048,49.534,55.697002,61.543,61.543,61.543
