ID,ItemLevel,Quality[0],Quality[1],Quality[2],Quality[3],Quality[4],Quality[5],Quality[6]
1,1,0.32074606,0.5158666,0.5345768,0.5345768,0.5345768,0.5345768,0.5345768
2,2,0.37420374,0.6018444,0.6236729,0.6236729,0.6236729,0.6236729,0.6236729
3,3,0.42766142,0.6878221,0.71276903,0.71276903,0.71276903,0.71276903,0.71276903
4,4,0.4811191,0.7737999,0.80186516,0.80186516,0.80186516,0.80186516,0.80186516
5,5,0.5345768,0.8597776,0.8909613,0.8909613,0.8909613,0.8909613,0.8909613
6,6,0.628292,1.0105029,1.0471534,1.0471534,1.0471534,1.0471534,1.0471534
7,7,0.7285904,1.1718162,1.2143173,1.2143173,1.2143173,1.2143173,1.2143173
8,8,0.8354106,1.3436188,1.392351,1.392351,1.392351,1.392351,1.392351
9,9,0.9486992,1.5258245,1.5811653,1.5811653,1.5811653,1.5811653,1.5811653
10,10,1.0747263,1.7285182,1.7912107,1.7912107,1.7912107,1.7912107,1.7912107
11,11,1.2084221,1.9435455,2.0140367,2.0140367,2.0140367,2.0140367,2.0140367
12,12,1.3497835,2.1709018,2.2496393,2.2496393,2.2496393,2.2496393,2.2496393
13,13,1.4988089,2.4105842,2.4980147,2.4980147,2.4980147,2.4980147,2.4980147
14,14,1.6554961,2.6625896,2.7591603,2.7591603,2.7591603,2.7591603,2.7591603
15,15,1.8198439,2.9269156,3.0330732,3.0330732,3.0330732,3.0330732,3.0330732
16,16,1.9875784,3.1966887,3.3126307,3.3126307,3.3126307,3.3126307,3.3126307
17,17,2.157855,3.47055,3.596425,3.596425,3.596425,3.596425,3.596425
18,18,2.3298483,3.7471726,3.8830805,3.8830805,3.8830805,3.8830805,3.8830805
19,19,2.5027618,4.025275,4.17127,4.17127,4.17127,4.17127,4.17127
20,20,2.6758375,4.3036385,4.459729,4.459729,4.459729,4.459729,4.459729
21,21,2.7388093,4.4049187,4.5646825,4.5646825,4.5646825,4.5646825,4.5646825
22,22,2.7959933,4.496889,4.659989,4.659989,4.659989,4.659989,4.659989
23,23,2.8617058,4.6025767,4.76951,4.76951,4.76951,4.76951,4.76951
24,24,2.922288,4.700013,4.87048,4.87048,4.87048,4.87048,4.87048
25,25,2.9778135,4.7893167,4.963022,4.963022,4.963022,4.963022,4.963022
26,26,3.0283906,4.8706617,5.0473175,5.0473175,5.0473175,5.0473175,5.0473175
27,27,3.0807672,4.9549007,5.134612,5.134612,5.134612,5.134612,5.134612
28,28,3.1350071,5.042136,5.225012,5.225012,5.225012,5.225012,5.225012
29,29,3.1911767,5.132476,5.318628,5.318628,5.318628,5.318628,5.318628
30,30,3.2493458,5.2260313,5.4155765,5.4155765,5.4155765,5.4155765,5.4155765
31,31,3.3095872,5.3229194,5.515979,5.515979,5.515979,5.515979,5.515979
32,32,3.3719766,5.4232626,5.6199613,5.6199613,5.6199613,5.6199613,5.6199613
33,33,3.4365935,5.527188,5.727656,5.727656,5.727656,5.727656,5.727656
34,34,3.470469,5.581671,5.7841153,5.7841153,5.7841153,5.7841153,5.7841153
35,35,3.522524,5.665393,5.8708735,5.8708735,5.8708735,5.8708735,5.8708735
36,36,3.5765343,5.7522593,5.9608903,5.9608903,5.9608903,5.9608903,5.9608903
37,37,3.6325648,5.842375,6.0542746,6.0542746,6.0542746,6.0542746,6.0542746
38,38,3.6906838,5.9358497,6.1511397,6.1511397,6.1511397,6.1511397,6.1511397
39,39,3.750963,6.032799,6.251605,6.251605,6.251605,6.251605,6.251605
40,40,3.8134768,6.1333423,6.355795,6.355795,6.355795,6.355795,6.355795
41,41,3.878304,6.2376056,6.46384,6.46384,6.46384,6.46384,6.46384
42,42,3.9455256,6.345721,6.575876,6.575876,6.575876,6.575876,6.575876
43,43,4.015228,6.4578247,6.6920466,6.6920466,6.6920466,6.6920466,6.6920466
44,44,4.0874996,6.5740623,6.8124995,6.8124995,6.8124995,6.8124995,6.8124995
45,45,4.162435,6.694583,6.9373918,6.9373918,6.9373918,6.9373918,6.9373918
46,46,4.2401314,6.819545,7.066886,7.066886,7.066886,7.066886,7.066886
47,47,4.3206916,6.9491124,7.201153,7.201153,7.201153,7.201153,7.201153
48,48,4.404223,7.0834584,7.340371,7.340371,7.340371,7.340371,7.340371
49,49,4.4908366,7.2227626,7.484728,7.484728,7.484728,7.484728,7.484728
50,50,4.5806513,7.3672137,7.6344185,7.6344185,7.6344185,7.6344185,7.6344185
51,51,4.6737885,7.5170097,7.7896476,7.7896476,7.7896476,7.7896476,7.7896476
52,52,4.7703776,7.672357,7.950629,7.950629,7.950629,7.950629,7.950629
53,53,4.870553,7.8334727,8.117588,8.117588,8.117588,8.117588,8.117588
54,54,4.9744554,8.000583,8.290759,8.290759,8.290759,8.290759,8.290759
55,55,5.0822325,8.173924,8.470387,8.470387,8.470387,8.470387,8.470387
56,56,5.194039,8.353745,8.656732,8.656732,8.656732,8.656732,8.656732
57,57,5.310036,8.540308,8.85006,8.85006,8.85006,8.85006,8.85006
58,58,5.430394,8.733884,9.050657,9.050657,9.050657,9.050657,9.050657
59,59,5.55529,8.934758,9.258818,9.258818,9.258818,9.258818,9.258818
60,60,5.684911,9.143231,9.474852,9.474852,9.474852,9.474852,9.474852
61,61,5.8194504,9.359616,9.699084,9.699084,9.699084,9.699084,9.699084
62,62,5.959114,9.584242,9.931857,9.931857,9.931857,9.931857,9.931857
63,63,6.104116,9.817453,10.173527,10.173527,10.173527,10.173527,10.173527
64,64,6.254681,10.059612,10.424468,10.424468,10.424468,10.424468,10.424468
65,65,6.4110446,10.311097,10.685075,10.685075,10.685075,10.685075,10.685075
66,66,6.5631094,10.555668,10.938516,10.938516,10.938516,10.938516,10.938516
67,67,6.710191,10.792224,11.183651,11.183651,11.183651,11.183651,11.183651
68,68,6.8515935,11.019647,11.419322,11.419322,11.419322,11.419322,11.419322
69,69,6.9866176,11.23681,11.644362,11.644362,11.644362,11.644362,11.644362
