ID,ComponentSection,MaterialResourcesID,ItemDisplayInfoID
5,6,34187,233
6,7,27801,233
7,1,25093,510
8,2,31581,510
9,5,30293,683
10,6,28737,683
11,3,45857,684
12,4,35105,684
13,5,34333,685
14,6,34198,685
15,5,34322,687
16,6,34188,687
17,5,30489,691
18,6,28745,691
19,5,34820,697
20,6,34613,697
21,6,31541,703
22,7,25785,703
23,5,31236,704
24,6,31542,704
25,6,28736,945
26,7,26703,945
27,3,44291,954
28,4,33600,954
29,1,25431,972
30,2,34843,972
31,1,27997,976
32,2,31559,976
33,3,44286,977
34,4,33122,977
35,3,45861,989
36,4,35109,989
37,1,25471,1017
38,2,31636,1017
39,0,27479,1019
40,3,44310,1019
41,4,33796,1019
42,6,34612,1020
43,7,28017,1020
44,1,25437,1028
45,0,28433,1080
46,3,45279,1080
47,4,33225,1080
48,5,32460,1107
49,0,27789,1184
50,1,29868,1184
51,3,44405,1184
52,4,45313,1184
53,5,34711,1184
54,6,32052,1184
55,0,27415,1330
56,3,45861,1330
57,4,35109,1330
58,1,28003,1407
59,2,31564,1407
60,0,26521,1511
61,3,44286,1511
62,4,33122,1511
63,5,32461,1512
64,6,29791,1512
65,1,30921,1657
66,2,31669,1657
67,0,26694,1727
68,3,44291,1727
69,4,33600,1727
70,1,29830,1728
71,2,31647,1728
72,0,27417,1787
73,1,25482,1787
74,3,45863,1787
75,4,35111,1787
76,1,30630,1795
77,2,31686,1795
78,1,25472,1796
79,2,31637,1796
80,0,28421,1797
81,3,45231,1797
82,4,33213,1797
83,0,27863,1817
84,3,43926,1817
85,4,33615,1817
86,5,34398,1818
87,6,31696,1818
88,3,45860,1819
89,4,35108,1819
90,6,32522,1861
91,7,25012,1861
92,5,32192,1863
93,6,32522,1863
94,5,34391,1882
95,6,31483,1882
96,5,34392,1883
97,6,31485,1883
98,6,28705,1911
99,7,25038,1911
100,5,30488,1963
101,6,28743,1963
102,1,25474,1965
103,6,28742,1966
104,7,26706,1966
105,3,45721,1967
106,4,34508,1967
107,3,45863,1975
108,4,35111,1975
109,5,30491,1978
110,6,28749,1978
111,1,25481,1980
112,6,28748,1981
113,7,26709,1981
114,3,45720,1995
115,4,34507,1995
116,1,25439,2015
117,2,34851,2015
118,5,30294,2018
119,6,28739,2018
120,0,27412,2019
121,3,45858,2019
122,4,35106,2019
123,0,27860,2024
124,3,43922,2024
125,4,33448,2024
126,1,25479,2057
127,2,31641,2057
128,7,25790,2083
129,6,31543,2094
130,7,25786,2094
131,3,45721,2100
132,4,34508,2100
133,1,25433,2101
134,2,34845,2101
135,3,45719,2104
136,4,34506,2104
137,6,31545,2105
138,7,25787,2105
139,3,45718,2106
140,4,34505,2106
141,6,31549,2111
142,7,25789,2111
143,1,25471,2118
144,3,43844,2163
145,4,32973,2163
146,2,34232,2164
147,6,32521,2166
148,7,25011,2166
149,5,31239,2176
150,6,31544,2176
151,1,25432,2178
152,3,43842,2183
153,4,32971,2183
154,5,34022,2185
155,6,31481,2185
156,2,34230,2186
157,0,27851,2191
158,3,43840,2191
159,4,32969,2191
160,2,34231,2193
161,5,34396,2201
162,6,31694,2201
163,2,34234,2202
164,6,29503,2204
165,7,25042,2204
166,2,34236,2213
167,1,27997,2219
168,3,44291,2222
169,4,33600,2222
170,1,28002,2230
171,3,45724,2250
172,4,34511,2250
173,3,44310,2257
174,4,33796,2257
175,0,26521,2265
176,3,44286,2265
177,4,33122,2265
178,5,34397,2299
179,6,31695,2299
180,2,34235,2300
181,0,24968,2304
182,3,44735,2304
183,4,34311,2304
184,1,26374,2307
185,2,33973,2307
186,5,32195,2308
187,6,32525,2308
188,5,29183,2311
189,6,29504,2311
190,0,30129,2317
191,1,27323,2317
192,3,45166,2317
193,4,34974,2317
194,5,29180,2318
195,6,29499,2318
196,6,28736,2342
197,7,26703,2342
198,6,28744,2355
199,7,26707,2355
200,1,25476,2358
201,2,31640,2358
202,1,25432,2359
203,2,34844,2359
204,1,25438,2360
205,2,34850,2360
206,1,25474,2361
207,2,31639,2361
208,1,25482,2362
209,2,31642,2362
210,3,45894,2363
211,4,33211,2363
212,5,30541,2364
213,5,30542,2365
214,6,29763,2365
215,6,29762,2366
216,7,26737,2366
217,1,30922,2367
218,1,30922,2368
219,2,31670,2368
220,3,45279,2370
221,4,33225,2370
222,6,29790,2373
223,7,26751,2373
224,1,30626,2375
225,2,31684,2375
226,3,43922,2470
227,4,33448,2470
228,3,45169,2471
229,4,35056,2471
230,3,43924,2472
231,4,33613,2472
232,1,30923,2481
233,2,31671,2481
234,1,26372,2489
235,2,33971,2489
236,3,43919,2490
237,4,32975,2490
238,6,29500,2496
239,7,25041,2496
240,3,44735,2499
241,4,34311,2499
242,0,27860,2503
243,1,25381,2503
244,3,43922,2503
245,4,33448,2503
246,1,25431,2561
247,3,45717,2564
248,4,34504,2564
249,3,44732,2577
250,4,34308,2577
251,1,26371,2578
252,2,33970,2578
253,1,26370,2609
254,2,33969,2609
255,5,32191,2610
256,6,32521,2610
257,5,31256,2628
258,6,31762,2628
259,5,34399,2629
260,6,31697,2629
261,0,27417,2644
262,3,45863,2644
263,4,35111,2644
264,0,24964,2645
265,3,44731,2645
266,4,34307,2645
267,5,34401,2656
268,6,31699,2656
269,0,24965,2663
270,3,44732,2663
271,4,34308,2663
272,1,30921,2686
273,2,31669,2686
274,0,26694,2829
275,3,44291,2829
276,4,33600,2829
277,5,31234,2849
278,1,24734,2880
279,1,30626,2881
280,5,34337,2897
281,6,34546,2897
282,5,34335,2922
283,6,34544,2922
284,6,34545,2928
285,7,27808,2928
286,1,26090,2951
287,2,31617,2951
288,1,24695,2952
289,2,33752,2952
290,3,45167,2964
291,4,34975,2964
292,3,44289,2967
293,4,33797,2967
294,3,45141,2968
295,4,44759,2968
296,5,35346,2969
297,6,29687,2969
298,5,35345,2970
299,6,29686,2971
300,7,25851,2971
301,1,26323,2973
302,2,32614,2973
303,5,33070,2976
304,6,29683,2976
305,6,29682,2977
306,7,25849,2977
307,1,26091,2980
308,1,30628,2981
309,2,31685,2981
310,0,28511,2982
311,1,26102,2982
312,3,44808,2982
313,4,32829,2982
314,6,29794,2984
315,7,26753,2984
316,5,33040,2985
317,6,28882,2986
318,7,25835,2986
319,1,26101,2987
320,1,26101,2988
321,2,31811,2988
322,5,33041,2989
323,6,28883,2989
324,6,28738,2990
325,7,26704,2990
326,6,28659,2993
327,7,28053,2993
328,6,29762,3036
329,7,26737,3036
330,0,27184,3040
331,3,45719,3040
332,4,34506,3040
333,3,43928,3049
334,4,33617,3049
335,5,34399,3050
336,6,31697,3050
337,6,31757,3051
338,7,25792,3051
339,2,34237,3052
340,1,25482,3056
341,2,31642,3056
342,0,26693,3057
343,3,44290,3057
344,4,33599,3057
345,5,34331,3058
346,6,34196,3058
347,3,45865,3064
348,4,35113,3064
349,5,30494,3065
350,6,28752,3065
351,6,28746,3066
352,7,26708,3066
353,5,34339,3069
354,6,34548,3069
355,6,34547,3070
356,7,27809,3070
357,5,30497,3078
358,6,28756,3078
359,6,28755,3080
360,7,26712,3080
361,0,27480,3082
362,3,44311,3082
363,4,33798,3082
364,5,34822,3083
365,6,34615,3083
366,6,34614,3084
367,7,28018,3084
368,1,25095,3085
369,2,31582,3085
370,5,33249,3121
371,6,29764,3172
372,7,26738,3172
373,5,29179,3173
374,6,29497,3173
375,5,34403,3179
376,6,31700,3179
377,3,45862,3200
378,4,35110,3200
379,5,30490,3201
380,6,28747,3201
381,3,45230,3204
382,4,33212,3204
383,5,32244,3205
384,6,29765,3205
385,1,30923,3206
386,2,31671,3206
387,1,26371,3212
388,2,33970,3212
389,5,32195,3217
390,6,32525,3217
391,1,26374,3218
392,2,33973,3218
393,5,31430,3244
394,5,31237,3247
395,5,31252,3248
396,6,31758,3248
397,1,25438,3249
398,5,31251,3251
399,5,31240,3253
400,5,33247,3254
401,7,25011,3261
402,0,27853,3265
403,3,43842,3265
404,4,32971,3265
405,5,34022,3268
406,6,31481,3268
407,3,45870,3278
408,4,35118,3278
409,3,44290,3293
410,4,33599,3293
411,2,33970,3299
412,1,25435,3302
413,6,34193,3309
414,7,27804,3309
415,1,28001,3311
416,6,34618,3334
417,7,28020,3334
418,5,31242,3335
419,1,25472,3377
420,1,30923,3379
421,1,25485,3382
422,1,26102,3387
423,1,28008,3388
424,0,27184,3390
425,3,45719,3390
426,4,34506,3390
427,5,33671,3392
428,5,32858,3394
429,6,29792,3395
430,7,26752,3395
431,1,27574,3406
432,5,32859,3409
433,6,28658,3409
434,0,26782,3413
435,3,43574,3413
436,4,45754,3413
437,5,33335,3414
438,6,29985,3414
439,6,32032,3415
440,7,29068,3415
441,1,29857,3416
442,2,33787,3416
443,5,33334,3418
444,5,32194,3432
445,6,32524,3432
446,5,34329,3441
447,6,34194,3441
448,5,31246,3442
449,6,31550,3442
450,6,32524,3443
451,7,25014,3443
452,1,26373,3444
453,2,33972,3444
454,3,43840,3510
455,1,25486,3515
456,2,31644,3515
457,1,28000,3517
458,1,28000,3518
459,2,31562,3518
460,5,34329,3519
461,6,34194,3519
462,0,26692,3520
463,3,44289,3520
464,4,33797,3520
465,1,25491,3524
466,2,31646,3524
467,2,34239,3528
468,6,34197,3533
469,7,27806,3533
470,5,34826,3541
471,6,34619,3541
472,7,25012,3549
473,0,27867,3552
474,3,44259,3552
475,4,33623,3552
476,5,34402,3553
477,6,31549,3555
478,7,25789,3555
479,0,27073,3562
480,1,27238,3562
481,3,44874,3562
482,4,45381,3562
483,5,33141,3576
484,5,31436,3582
485,1,25476,3602
486,1,30923,3606
487,1,25437,3613
488,1,26372,3642
489,1,26370,3643
490,1,25435,3652
491,1,25431,3653
492,1,25432,3654
493,1,25475,3655
494,1,25472,3657
495,1,25475,3658
496,0,28105,3685
497,1,28258,3685
498,3,43663,3685
499,4,45655,3685
500,0,28086,3686
501,1,28239,3686
502,3,43644,3686
503,4,45636,3686
504,5,30500,3696
505,3,45231,3700
506,4,33213,3700
507,1,25433,3704
508,6,31549,3709
509,7,25789,3709
510,6,31543,3710
511,7,25786,3710
512,6,31545,3713
513,7,25787,3713
514,6,31551,3715
515,7,25790,3715
516,3,45731,3719
517,4,34599,3719
518,1,28009,3732
519,2,31567,3732
520,7,25791,3738
521,1,26371,3740
522,6,31757,3749
523,7,25792,3749
524,6,29503,3750
525,7,25042,3750
526,6,29500,3755
527,7,25041,3755
528,7,25012,3757
529,3,44803,3760
530,4,32831,3760
531,6,29978,3766
532,7,28805,3766
533,1,28006,3767
534,1,27582,3771
535,2,35202,3771
536,0,28431,3816
537,3,45277,3816
538,4,33223,3816
539,5,32457,3826
540,6,29787,3826
541,6,29786,3827
542,7,26749,3827
543,1,30944,3828
544,2,31682,3828
545,1,30943,3829
546,3,45284,3831
547,4,35314,3831
548,3,45287,3832
549,4,35317,3832
550,5,32467,3833
551,6,29801,3833
552,5,32472,3834
553,6,29807,3834
554,6,29800,3835
555,7,26756,3835
556,6,29804,3836
557,7,26758,3836
558,5,32470,3837
559,6,29805,3837
560,3,45286,3838
561,4,35316,3838
562,1,31890,3839
563,2,31689,3839
564,1,31889,3841
565,1,31895,3842
566,0,28451,3843
567,1,31929,3843
568,3,45298,3843
569,4,35328,3843
570,5,32486,3844
571,6,29827,3844
572,1,31928,3845
573,2,32148,3845
574,1,25435,3846
575,2,34847,3846
576,1,25432,3847
577,2,34844,3847
578,1,25431,3848
579,2,34843,3848
580,2,34851,3850
581,3,44152,3865
582,4,45036,3865
583,5,30504,3872
584,1,29833,3875
585,2,31649,3875
586,5,32464,3882
587,6,29797,3882
588,3,45872,3888
589,4,35120,3888
590,1,26374,3895
591,1,27326,3896
592,1,25382,3897
593,1,25382,3899
594,0,27851,3900
595,1,25376,3900
596,3,43840,3900
597,4,32969,3900
598,3,43926,3902
599,4,33615,3902
600,5,32391,3977
601,6,28674,3977
602,1,26323,3979
603,2,32614,3979
604,1,28000,3980
605,2,31562,3980
606,1,27575,3983
607,2,35199,3983
608,1,27582,3984
609,2,35202,3984
610,1,29877,3986
611,2,33869,3986
612,1,25471,3992
613,2,31636,3992
614,1,24695,3993
615,2,33752,3993
616,1,30626,3994
617,2,31684,3994
618,2,34850,3998
619,1,26370,3999
620,2,33969,3999
621,6,29792,4008
622,7,26752,4008
623,6,28748,4009
624,7,26709,4009
625,6,28742,4011
626,7,26706,4011
627,6,28746,4014
628,7,26708,4014
629,6,29790,4020
630,7,26751,4020
631,6,29764,4023
632,7,26738,4023
633,6,31757,4024
634,7,25792,4024
635,6,28738,4027
636,7,26704,4027
637,6,29686,4028
638,7,25851,4028
639,6,34195,4030
640,7,27805,4030
641,6,29978,4031
642,7,28805,4031
643,6,29982,4033
644,7,29003,4033
645,1,26382,4063
646,5,32402,4079
647,6,28685,4079
648,0,26697,4085
649,3,44294,4085
650,4,33603,4085
651,5,31255,4099
652,3,45270,4100
653,4,33216,4100
654,5,31442,4102
655,7,25011,4143
656,1,27581,4144
657,5,34824,4148
658,6,34617,4148
659,5,33250,4149
660,6,29979,4149
661,3,43570,4151
662,4,45750,4151
663,6,28878,4153
664,7,25833,4153
665,1,29833,4255
666,2,31647,4255
667,1,27322,4259
668,5,32462,4263
669,6,29793,4263
670,5,30295,4265
671,6,28741,4265
672,0,30130,4270
673,1,27324,4270
674,3,45167,4270
675,4,34975,4270
676,6,29496,4272
677,7,25039,4272
678,1,30883,4275
679,3,44738,4292
680,4,34314,4292
681,5,32201,4293
682,6,28666,4293
683,6,28665,4296
684,7,25018,4296
685,5,32200,4297
686,0,24974,4298
687,1,26381,4298
688,3,44741,4298
689,4,34317,4298
690,0,24971,4299
691,1,26377,4299
692,3,44738,4299
693,4,34314,4299
694,5,32206,4300
695,6,28671,4301
696,7,25021,4301
697,1,26380,4302
698,1,26380,4303
699,2,33974,4303
700,5,32207,4304
701,6,28672,4304
702,0,24981,4305
703,1,26393,4305
704,3,44748,4305
705,4,34946,4305
706,5,32401,4306
707,6,28684,4307
708,7,25027,4307
709,1,26393,4308
710,5,32402,4310
711,6,28685,4310
712,0,27425,4311
713,3,45871,4311
714,4,35119,4311
715,5,30501,4312
716,6,28760,4312
717,1,29833,4313
718,6,28759,4314
719,7,26715,4314
720,5,32466,4315
721,1,31890,4318
722,2,31689,4318
723,0,28438,4320
724,1,31891,4320
725,3,45284,4320
726,4,35314,4320
727,0,28433,4325
728,1,30627,4325
729,3,45279,4325
730,4,33225,4325
731,5,34827,4329
732,6,34620,4330
733,7,28021,4330
734,1,25101,4331
735,1,25102,4332
736,2,31586,4332
737,5,34828,4333
738,6,34621,4333
739,0,27483,4334
740,3,44315,4334
741,4,33801,4334
742,5,34798,4335
743,6,34558,4336
744,7,27814,4336
745,1,28215,4337
746,1,28215,4338
747,2,31572,4338
748,5,34799,4339
749,6,34559,4339
750,0,27469,4340
751,3,44300,4340
752,4,33609,4340
753,1,25124,4341
754,3,44704,4341
755,4,33810,4341
756,5,34990,4342
757,6,34636,4343
758,7,28028,4343
759,1,25122,4344
760,1,25123,4345
761,2,31595,4345
762,5,34991,4346
763,6,34637,4346
764,5,32197,4365
765,6,28662,4365
766,1,26380,4370
767,2,33974,4370
768,1,26386,4375
769,2,33977,4375
770,1,26386,4376
771,5,32395,4377
772,6,28678,4377
773,6,28673,4380
774,7,25022,4380
775,1,30943,4382
776,6,29786,4385
777,7,26749,4385
778,5,32264,4388
779,6,29785,4388
780,6,29784,4389
781,7,26748,4389
782,3,45277,4390
783,4,33223,4390
784,5,32478,4395
785,6,29815,4395
786,5,32474,4398
787,6,29809,4398
788,3,44315,4407
789,4,33801,4407
790,3,44704,4412
791,4,33810,4412
792,1,25123,4413
793,2,31595,4413
794,5,33056,4416
795,6,29669,4416
796,5,33066,4418
797,6,29679,4418
798,3,45138,4421
799,4,44756,4421
800,1,26317,4422
801,2,32610,4422
802,1,30928,4438
803,2,31674,4438
804,5,32250,4439
805,6,29771,4439
806,6,29770,4440
807,7,26741,4440
808,5,32198,4444
809,5,34402,4446
810,1,27583,4448
811,6,29788,4449
812,7,26750,4449
813,5,30502,4450
814,5,32471,4460
815,6,31767,4463
816,7,25797,4463
817,1,27576,4464
818,7,25013,4466
819,5,31439,4469
820,6,31772,4469
821,1,25446,4470
822,2,34857,4470
823,1,25446,4471
824,6,31771,4472
825,7,25799,4472
826,5,31438,4473
827,0,28514,4474
828,3,44811,4474
829,4,32983,4474
830,5,33047,4475
831,6,28889,4475
832,1,26294,4476
833,2,31814,4476
834,1,26293,4478
835,6,28801,4484
836,7,26736,4484
837,1,30921,4485
838,2,31669,4485
839,6,31781,4487
840,7,25804,4487
841,0,28512,4492
842,3,44809,4492
843,4,32981,4492
844,6,28884,4493
845,7,25836,4493
846,1,26103,4494
847,5,33043,4497
848,6,28885,4497
849,5,31237,4499
850,5,33141,4500
851,5,33834,4506
852,5,31430,4520
853,5,31240,4528
854,5,30500,4532
855,5,33682,4536
856,5,34356,4539
857,5,31237,4545
858,5,32206,4557
859,2,34862,4583
860,0,27404,4588
861,3,45736,4588
862,4,34604,4588
863,0,27395,4589
864,3,45729,4589
865,4,34597,4589
866,5,31448,4590
867,5,31446,4591
868,5,31444,4592
869,0,27426,4596
870,3,45872,4596
871,4,35120,4596
872,0,27424,4597
873,3,45870,4597
874,4,35118,4597
875,5,30498,4599
876,1,25478,4601
877,1,26380,4607
878,6,28667,4614
879,7,25019,4614
880,6,28663,4615
881,7,25017,4615
882,5,32199,4617
883,6,28664,4617
884,5,32393,4619
885,6,28676,4619
886,1,26373,4620
887,2,33972,4620
888,1,26382,4621
889,2,33975,4621
890,6,28671,4622
891,7,25021,4622
892,6,28679,4623
893,7,25025,4623
894,6,28677,4630
895,7,25024,4630
896,6,28675,4631
897,7,25023,4631
898,5,32396,4633
899,5,32392,4634
900,0,28090,4635
901,1,28243,4635
902,3,43648,4635
903,4,45640,4635
904,0,28097,4637
905,1,28250,4637
906,3,43655,4637
