ID,Name_lang,Quantity,Flags
475,Signet Ring of the Bronze Dragonflight,1,1
498,Trinket of the Dawn,1,1
601,Supply Shipment,1,0
602,Waylaid Shipment,12,0
603,Void Pearl,1,0
604,Void-Touched,1,1
605,Ashenvale Spoils of War,1,0
615,Hypercharged Gear,1,1
616,Blood Moon,1,1
636,,0,0
654,,1,1
655,,1,1
656,,1,1
657,Blazefury,1,1
658,Striker,1,1
659,Zila Gular,1,1
660,,1,1
661,,1,1
662,,1,1
663,,1,1
664,,1,1
665,,1,1
666,,1,1
667,,1,1
668,,1,1
669,Jeweled Healing Focus,1,1
670,Crystallized Tear,1,1
671,Obsidian Weapon,1,1
672,,1,1
673,,1,1
674,,1,1
675,,1,1
676,,1,1
677,,1,1
678,,1,1
679,Desecrated Ring,1,1
684,Hand of Justice,1,1
685,Sword in the Stone,1,0
686,,1,0
