ID,InventoryTypeSlotMask,Flags,ItemExtendedCostID,ItemLogicalCostGroupID
1,8192,2,7054,1
2,4194304,0,7055,1
3,1048738,0,7599,2
4,5448,0,7600,2
5,68100,0,7601,2
6,8404992,0,7602,2
7,8192,2,7603,2
8,67272704,2,7604,2
9,67117056,1,7605,2
10,131072,1,7606,2
12,1048738,0,7623,4
13,5448,8,7624,4
14,72196,4,7625,4
15,8404992,0,7626,4
16,8192,2,7627,4
17,67272704,2,7628,4
18,67117056,1,7629,4
19,131072,1,7630,4
20,1048738,0,7690,3
21,5448,8,7691,3
22,72196,4,7692,3
23,8404992,0,7693,3
24,8192,2,7694,3
25,67272704,2,7695,3
26,67117056,1,7696,3
27,131072,1,7697,3
28,68100,0,7625,4
33,8471104,0,7882,11
58,9480,2,7986,11
59,67117056,1,7987,11
60,1048738,0,7988,11
61,131072,1,7989,11
62,67272704,2,7990,11
87,8471104,0,8014,18
88,9480,2,8015,18
89,67117056,1,8016,18
90,1048738,0,8017,18
91,131072,1,8018,18
92,67272704,2,8019,18
