ID,Source_stat,Source_multiplier,Target_stat,Target_multiplier,Field_4_4_0_53627_004
57,6,0.4,13,1,113
58,6,0.4,14,1,114
59,6,0.4,31,1,115
60,6,0.4,32,1,116
61,6,0.4,36,1,117
62,6,0.4,37,1,118
63,6,0.4,49,1,119
64,13,0.4,6,1,120
65,13,0.4,14,1,121
66,13,0.4,31,1,122
67,13,0.4,32,1,123
68,13,0.4,36,1,124
69,13,0.4,37,1,125
70,13,0.4,49,1,126
71,14,0.4,6,1,127
72,14,0.4,13,1,128
73,14,0.4,31,1,129
74,14,0.4,32,1,130
75,14,0.4,36,1,131
76,14,0.4,37,1,132
77,14,0.4,49,1,133
78,31,0.4,6,1,134
79,31,0.4,13,1,135
80,31,0.4,14,1,136
81,31,0.4,32,1,137
82,31,0.4,36,1,138
83,31,0.4,37,1,139
84,31,0.4,49,1,140
85,32,0.4,6,1,141
86,32,0.4,13,1,142
87,32,0.4,14,1,143
88,32,0.4,31,1,144
89,32,0.4,36,1,145
90,32,0.4,37,1,146
91,32,0.4,49,1,147
92,36,0.4,6,1,148
93,36,0.4,13,1,149
94,36,0.4,14,1,150
95,36,0.4,31,1,151
96,36,0.4,32,1,152
97,36,0.4,37,1,153
98,36,0.4,49,1,154
99,37,0.4,6,1,155
100,37,0.4,13,1,156
101,37,0.4,14,1,157
102,37,0.4,31,1,158
103,37,0.4,32,1,159
104,37,0.4,36,1,160
105,37,0.4,49,1,161
106,49,0.4,6,1,162
107,49,0.4,13,1,163
108,49,0.4,14,1,164
109,49,0.4,31,1,165
110,49,0.4,32,1,166
111,49,0.4,36,1,167
112,49,0.4,37,1,168
113,6,0.4,13,1,0
114,6,0.4,14,1,0
115,6,0.4,31,1,0
116,6,0.4,32,1,0
117,6,0.4,36,1,0
118,6,0.4,37,1,0
119,6,0.4,49,1,0
120,13,0.4,6,1,0
121,13,0.4,14,1,0
122,13,0.4,31,1,0
123,13,0.4,32,1,0
124,13,0.4,36,1,0
125,13,0.4,37,1,0
126,13,0.4,49,1,0
127,14,0.4,6,1,0
128,14,0.4,13,1,0
129,14,0.4,31,1,0
130,14,0.4,32,1,0
131,14,0.4,36,1,0
132,14,0.4,37,1,0
133,14,0.4,49,1,0
134,31,0.4,6,1,0
135,31,0.4,13,1,0
136,31,0.4,14,1,0
137,31,0.4,32,1,0
138,31,0.4,36,1,0
139,31,0.4,37,1,0
140,31,0.4,49,1,0
141,32,0.4,6,1,0
142,32,0.4,13,1,0
143,32,0.4,14,1,0
144,32,0.4,31,1,0
145,32,0.4,36,1,0
146,32,0.4,37,1,0
147,32,0.4,49,1,0
148,36,0.4,6,1,0
149,36,0.4,13,1,0
150,36,0.4,14,1,0
151,36,0.4,31,1,0
152,36,0.4,32,1,0
153,36,0.4,37,1,0
154,36,0.4,49,1,0
155,37,0.4,6,1,0
156,37,0.4,13,1,0
157,37,0.4,14,1,0
158,37,0.4,31,1,0
159,37,0.4,32,1,0
160,37,0.4,36,1,0
161,37,0.4,49,1,0
162,49,0.4,6,1,0
163,49,0.4,13,1,0
164,49,0.4,14,1,0
165,49,0.4,31,1,0
166,49,0.4,32,1,0
167,49,0.4,36,1,0
168,49,0.4,37,1,0
