ID,SalvagedItemID,ItemSalvageID,ResultingTreasureID
5,171828,1,102109
9,193050,3,111693
10,193923,3,111838
11,193925,3,111839
12,193924,3,111840
13,193922,3,111841
14,191318,4,114773
15,191319,4,114773
16,191320,4,114773
17,191321,4,114773
18,191322,4,114773
19,191323,4,114773
20,191324,4,114773
21,191325,4,114773
22,191326,4,114773
23,191327,4,114773
24,191328,4,114773
25,191329,4,114773
26,191330,4,114773
27,191331,4,114773
28,191332,4,114773
29,191333,4,114773
30,191334,4,114773
31,191335,4,114773
32,191336,4,114773
33,191337,4,114773
34,191338,4,114773
35,191339,4,114773
36,191340,4,114773
37,191341,4,114773
38,191342,4,114773
39,191343,4,114773
40,191344,4,114773
41,191345,4,114773
42,191346,4,114773
43,191347,4,114773
44,191348,4,114773
45,191349,4,114773
46,191350,4,114773
47,191351,4,112079
48,191352,4,112079
49,191353,4,112079
50,191354,4,114773
51,191355,4,114773
52,191356,4,114773
53,191357,4,114773
54,191358,4,114773
55,191359,4,114773
56,191360,4,112079
57,191361,4,112079
58,191362,4,112079
59,191363,4,112079
60,191364,4,112079
61,191365,4,112079
62,191366,4,112079
63,191367,4,112079
64,191368,4,112079
65,191369,4,112079
66,191370,4,112079
67,191371,4,112079
68,191372,4,112079
69,191373,4,112079
70,191374,4,112079
71,191375,4,112079
72,191376,4,112079
73,191377,4,112079
74,191378,4,114882
75,191379,4,114882
76,191380,4,114882
77,191381,4,112079
78,191382,4,112079
79,191383,4,112079
80,191384,4,114882
81,191385,4,114882
82,191386,4,114882
83,191387,4,112079
84,191388,4,112079
85,191389,4,112079
89,191393,4,112079
90,191394,4,112079
91,191395,4,112079
92,191396,4,112079
93,191397,4,112079
94,191398,4,112079
95,191399,4,112079
96,191400,4,112079
97,191401,4,112079
101,190395,2,112127
102,190396,2,112127
103,190394,2,112127
104,189143,2,112130
105,188658,2,112130
106,190311,2,112130
107,190312,2,112132
108,190313,2,112132
109,190314,2,112132
112,171829,1,102101
113,171830,1,102113
114,171831,1,102111
115,171832,1,102106
116,171833,1,102104
117,187700,1,108833
118,191472,13,112571
119,191471,13,112571
120,191470,13,112571
121,191469,13,112577
122,191468,13,112577
123,191467,13,112577
124,191466,13,112240
125,191465,13,112572
126,191464,13,112572
127,191462,13,112567
128,191461,13,112567
129,191460,13,112567
130,187699,14,108829
131,171315,14,99169
132,170554,14,101431
133,169701,14,99170
134,168589,14,101432
135,168586,14,101431
136,168583,14,101432
137,168487,15,96635
138,152511,15,88149
139,152510,15,88152
140,152509,15,88149
141,152508,15,88149
142,152507,15,88149
143,152506,15,88149
144,152505,15,88149
145,151565,16,62289
146,128304,16,65909
147,124106,16,62294
148,124105,16,62293
149,124104,16,62292
150,124103,16,62291
151,124102,16,62290
152,124101,16,62289
153,109130,17,55048
154,109129,17,55050
155,109128,17,55047
156,109127,17,55049
157,109126,17,55046
158,109125,17,55044
159,109124,17,55045
160,89639,18,41378
161,87821,18,43382
162,79011,18,41378
163,79010,18,41378
164,72237,18,41378
165,72235,18,41378
166,72234,18,41378
167,52988,19,34766
168,52987,19,34766
169,52986,19,34766
170,52985,19,34766
171,52984,19,34766
172,52983,19,34766
173,39970,20,24893
175,37921,20,24893
176,36907,20,24893
177,36906,20,24893
178,36905,20,24893
179,36904,20,24893
180,36903,20,24893
181,36901,20,24893
182,22793,21,24892
183,22792,21,24892
184,22791,21,24892
185,22790,21,24892
186,22789,21,24892
187,22787,21,24892
