ID,MinLevel,MaxLevel,ItemType,PrimaryStat,SecondaryStat,SpecializationID
6749,1,40,1,0,40,64
6750,1,40,1,0,40,63
6751,1,40,1,0,40,62
6752,1,40,1,0,40,265
6753,1,40,1,0,40,266
6754,1,40,1,0,40,267
6755,1,40,1,0,40,258
6756,1,40,1,0,40,257
6757,1,40,1,0,40,256
6758,1,40,1,0,3,258
6759,1,40,1,0,3,257
6760,1,40,1,0,3,256
6761,1,40,1,0,4,64
6762,1,40,1,0,4,63
6763,1,40,1,0,4,62
6764,1,40,1,0,4,265
6765,1,40,1,0,4,266
6766,1,40,1,0,4,267
6767,1,40,1,0,4,258
6768,1,40,2,1,40,268
6769,1,40,2,1,40,269
6770,1,40,2,1,40,259
6771,1,40,2,1,40,260
6772,1,40,2,1,40,261
6773,1,40,2,1,40,103
6774,1,40,2,1,40,104
6775,1,40,2,1,40,253
6776,1,40,2,1,40,254
6777,1,40,2,1,40,255
6778,1,40,2,1,40,263
6779,1,40,2,0,40,270
6780,1,40,2,0,40,105
6781,1,40,2,0,40,102
6782,1,40,2,0,40,262
6783,1,40,2,0,40,264
6784,1,40,3,0,40,65
6785,1,40,3,2,40,250
6786,1,40,3,2,40,251
6787,1,40,3,2,40,252
6788,1,40,3,2,40,66
6789,1,40,3,2,40,70
6790,1,40,3,2,40,73
6791,1,40,3,2,40,71
6792,1,40,3,2,40,72
6793,1,40,3,2,5,250
6794,1,40,3,2,5,66
6795,1,40,3,2,5,73
6796,1,40,3,2,6,250
6797,1,40,3,2,6,66
6798,1,40,3,2,6,73
6799,1,40,3,2,24,251
6800,1,40,3,2,24,252
6801,1,40,3,2,24,70
6802,1,40,3,2,24,71
6803,1,40,3,2,24,72
6804,1,40,3,2,25,251
6805,1,40,3,2,25,252
6806,1,40,3,2,25,70
6807,1,40,3,2,25,71
6808,1,40,3,2,25,72
6809,1,40,0,1,40,268
6810,1,40,0,1,40,269
6811,1,40,0,1,40,259
6812,1,40,0,1,40,260
6813,1,40,0,1,40,261
6814,1,40,0,1,40,103
6815,1,40,0,1,40,104
6816,1,40,0,1,40,253
6817,1,40,0,1,40,254
6818,1,40,0,1,40,255
6819,1,40,0,1,40,263
6820,1,40,0,0,40,64
6821,1,40,0,0,40,63
6822,1,40,0,0,40,62
6823,1,40,0,0,40,265
6824,1,40,0,0,40,266
6825,1,40,0,0,40,267
6826,1,40,0,0,40,258
6827,1,40,0,0,40,257
6828,1,40,0,0,40,256
6829,1,40,0,0,40,270
6830,1,40,0,0,40,105
6831,1,40,0,0,40,102
6832,1,40,0,0,40,262
6833,1,40,0,0,40,264
6834,1,40,0,0,40,65
6835,1,40,0,0,3,258
6836,1,40,0,0,3,257
6837,1,40,0,0,3,256
6838,1,40,0,0,3,270
6839,1,40,0,0,3,105
6840,1,40,0,0,3,102
6841,1,40,0,0,3,262
6842,1,40,0,0,3,264
6843,1,40,0,0,3,65
6844,1,40,0,0,4,64
6845,1,40,0,0,4,63
6846,1,40,0,0,4,62
6847,1,40,0,0,4,265
6848,1,40,0,0,4,266
6849,1,40,0,0,4,267
6850,1,40,0,0,4,258
6851,1,40,0,0,4,102
6852,1,40,0,0,4,262
6853,1,40,0,2,40,250
6854,1,40,0,2,40,251
6855,1,40,0,2,40,252
6856,1,40,0,2,40,66
6857,1,40,0,2,40,70
6858,1,40,0,2,40,73
6859,1,40,0,2,40,71
6860,1,40,0,2,40,72
6861,1,40,0,2,5,250
6862,1,40,0,2,5,66
6863,1,40,0,2,5,73
6864,1,40,0,2,6,250
6865,1,40,0,2,6,66
6866,1,40,0,2,6,73
6867,1,40,0,2,24,251
6868,1,40,0,2,24,252
6869,1,40,0,2,24,70
6870,1,40,0,2,24,71
6871,1,40,0,2,24,72
6872,1,40,0,2,25,251
6873,1,40,0,2,25,252
6874,1,40,0,2,25,70
6875,1,40,0,2,25,71
6876,1,40,0,2,25,72
6877,1,40,5,1,13,259
6878,1,40,5,1,13,260
6879,1,40,5,1,13,261
6880,1,40,5,1,14,268
6881,1,40,5,1,14,269
6882,1,40,5,1,14,260
6883,1,40,5,1,14,261
6884,1,40,5,1,14,263
6885,1,40,5,1,7,268
6886,1,40,5,1,7,269
6887,1,40,5,1,7,260
6888,1,40,5,1,7,261
6889,1,40,5,1,7,263
6890,1,40,5,1,9,268
6891,1,40,5,1,9,269
6892,1,40,5,1,9,260
6893,1,40,5,1,9,261
6894,1,40,5,1,11,268
6895,1,40,5,1,11,269
6896,1,40,5,1,11,260
6897,1,40,5,1,11,261
6898,1,40,5,1,11,263
6899,1,40,5,1,15,253
6900,1,40,5,1,15,254
6901,1,40,5,1,15,255
6902,1,40,5,1,16,253
6903,1,40,5,1,16,254
6904,1,40,5,1,16,255
6905,1,40,5,1,17,253
6906,1,40,5,1,17,254
