ID,SpecID,ItemID
1092,65,80773
1097,266,80774
1098,62,80774
1099,63,80774
1100,267,80774
1101,64,80774
1102,265,80774
1103,261,80775
1104,103,80775
1105,104,80775
1106,253,80775
1107,263,80775
1108,254,80775
1109,255,80775
1110,268,80775
1111,259,80775
1112,269,80775
1113,260,80775
1126,65,80778
1131,62,80779
1132,63,80779
1133,267,80779
1134,64,80779
1135,265,80779
1136,266,80779
1137,260,80780
1138,103,80780
1139,261,80780
1140,104,80780
1141,253,80780
1142,263,80780
1143,254,80780
1144,255,80780
1145,268,80780
1146,259,80780
1147,269,80780
1999,102,80773
2000,105,80773
2001,256,80773
2002,257,80773
2003,258,80773
2004,262,80773
2005,264,80773
2006,270,80773
2007,250,80776
2008,66,80776
2009,73,80776
2010,251,80777
2011,70,80777
2012,71,80777
2013,72,80777
2014,252,80777
2015,102,80778
2016,105,80778
2017,256,80778
2018,257,80778
2019,258,80778
2020,262,80778
2021,264,80778
2022,270,80778
2023,66,80781
2024,73,80781
2025,250,80781
2026,70,80782
2027,71,80782
2028,72,80782
2029,251,80782
2030,252,80782
2542,103,80960
2543,104,80960
2544,253,80960
2545,254,80960
2546,255,80960
2547,259,80960
2548,260,80960
2549,261,80960
2550,263,80960
2551,268,80960
2552,269,80960
2553,62,80961
2554,63,80961
2555,64,80961
2558,265,80961
2559,266,80961
2560,267,80961
2561,65,80962
2562,102,80962
2563,105,80962
2564,256,80962
2565,257,80962
2566,258,80962
2567,262,80962
2568,264,80962
2569,270,80962
2570,70,80963
2571,71,80963
2572,72,80963
2573,251,80963
2574,252,80963
2575,66,80964
2576,73,80964
2577,250,80964
2676,62,74568
2677,63,74568
2678,64,74568
2679,256,74568
2680,257,74568
2681,258,74568
2682,265,74568
2683,266,74568
2684,267,74568
2685,102,74569
2686,103,74569
2687,104,74569
2688,105,74569
2689,259,74569
2690,260,74569
2691,261,74569
2692,268,74569
2693,269,74569
2694,270,74569
2695,577,74569
2696,581,74569
2701,65,74570
2702,66,74570
2703,70,74570
2704,71,74570
2705,72,74570
2706,73,74570
2707,250,74570
2708,251,74570
2709,252,74570
2710,62,74571
2711,63,74571
2712,64,74571
2713,256,74571
2714,257,74571
2715,258,74571
2716,265,74571
2717,266,74571
2718,267,74571
2719,102,74572
2720,103,74572
2721,104,74572
2722,105,74572
2723,259,74572
2724,260,74572
2725,261,74572
2726,268,74572
2727,269,74572
2728,270,74572
2729,577,74572
2730,581,74572
2735,65,74573
2736,66,74573
2737,70,74573
2738,71,74573
2739,72,74573
2740,73,74573
2741,250,74573
2742,251,74573
2743,252,74573
2744,62,74574
2745,63,74574
2746,64,74574
2747,256,74574
2748,257,74574
2749,258,74574
2750,265,74574
2751,266,74574
2752,267,74574
2753,102,74575
2754,103,74575
2755,104,74575
2756,105,74575
2757,259,74575
2758,260,74575
2759,261,74575
2760,268,74575
2761,269,74575
2762,270,74575
2763,577,74575
2764,581,74575
2769,65,74576
2770,66,74576
2771,70,74576
2772,71,74576
2773,72,74576
2774,73,74576
2775,250,74576
2776,251,74576
2777,252,74576
2778,62,74577
2779,63,74577
2780,64,74577
2781,256,74577
2782,257,74577
2783,258,74577
2784,265,74577
2785,266,74577
2786,267,74577
2787,102,74578
2788,103,74578
2789,104,74578
2790,105,74578
2791,259,74578
2792,260,74578
2793,261,74578
2794,268,74578
2795,269,74578
2796,270,74578
2797,577,74578
2798,581,74578
2803,65,74579
2804,66,74579
2805,70,74579
2806,71,74579
2807,72,74579
2808,73,74579
2809,250,74579
2810,251,74579
2811,252,74579
2812,62,74580
2813,63,74580
2814,64,74580
2815,256,74580
2816,257,74580
2817,258,74580
2818,265,74580
2819,266,74580
2820,267,74580
2821,102,74581
2822,103,74581
2823,104,74581
2824,105,74581
2825,259,74581
2826,260,74581
2827,261,74581
2828,268,74581
2829,269,74581
2830,270,74581
2831,577,74581
2832,581,74581
2837,65,74582
2838,66,74582
2839,70,74582
2840,71,74582
2841,72,74582
2842,73,74582
2843,250,74582
2844,251,74582
2845,252,74582
2846,62,74583
2847,63,74583
2848,64,74583
2849,256,74583
2850,257,74583
2851,258,74583
2852,265,74583
2853,266,74583
2854,267,74583
2855,102,74584
2856,103,74584
2857,104,74584
2858,105,74584
2859,259,74584
2860,260,74584
2861,261,74584
2862,268,74584
2863,269,74584
2864,270,74584
2865,577,74584
2866,581,74584
2871,65,74585
2872,66,74585
2873,70,74585
2874,71,74585
2875,72,74585
2876,73,74585
2877,250,74585
2878,251,74585
2879,252,74585
2933,65,74587
2934,66,74587
2935,70,74587
2936,71,74587
2937,72,74587
2938,73,74587
2939,262,74587
2940,263,74587
2941,264,74587
2994,62,73214
2995,63,73214
2996,64,73214
2997,256,73214
2998,257,73214
2999,258,73214
3000,265,73214
3001,266,73214
3002,267,73214
3003,102,73215
3004,103,73215
3005,104,73215
3006,105,73215
3007,259,73215
3008,260,73215
3009,261,73215
3010,268,73215
3011,269,73215
3012,270,73215
3013,577,73215
3014,581,73215
3019,65,73216
3020,66,73216
3021,70,73216
3022,71,73216
3023,72,73216
3024,73,73216
3025,250,73216
3026,251,73216
3027,252,73216
3028,62,74594
3029,63,74594
3030,64,74594
3031,256,74594
3032,257,74594
3033,258,74594
3034,265,74594
3035,266,74594
3036,267,74594
3037,102,74595
3038,103,74595
3039,104,74595
3040,105,74595
3041,259,74595
3042,260,74595
3043,261,74595
3044,268,74595
3045,269,74595
3046,270,74595
3047,577,74595
3048,581,74595
3053,65,74596
3054,66,74596
3055,70,74596
3056,71,74596
3057,72,74596
3058,73,74596
3059,250,74596
3060,251,74596
3061,252,74596
3062,62,74597
3063,63,74597
3064,64,74597
3065,256,74597
3066,257,74597
3067,258,74597
3068,265,74597
3069,266,74597
3070,267,74597
3071,102,74598
3072,103,74598
3073,104,74598
3074,105,74598
3075,259,74598
3076,260,74598
3077,261,74598
3078,268,74598
3079,269,74598
3080,270,74598
3081,577,74598
3082,581,74598
3087,65,74599
3088,66,74599
3089,70,74599
3090,71,74599
3091,72,74599
3092,73,74599
3093,250,74599
3094,251,74599
3095,252,74599
3096,62,74600
3097,63,74600
3098,64,74600
3099,256,74600
3100,257,74600
3101,258,74600
3102,265,74600
3103,266,74600
3104,267,74600
3105,102,74601
3106,103,74601
3107,104,74601
3108,105,74601
3109,259,74601
3110,260,74601
3111,261,74601
3112,268,74601
3113,269,74601
3114,270,74601
3115,577,74601
3116,581,74601
3121,65,74602
3122,66,74602
3123,70,74602
3124,71,74602
3125,72,74602
3126,73,74602
3127,250,74602
3128,251,74602
3129,252,74602
3130,62,74603
3131,63,74603
3132,64,74603
3133,256,74603
3134,257,74603
3135,258,74603
3136,265,74603
3137,266,74603
3138,267,74603
3139,102,74604
3140,103,74604
3141,104,74604
3142,105,74604
3143,259,74604
3144,260,74604
3145,261,74604
3146,268,74604
3147,269,74604
3148,270,74604
3149,577,74604
3150,581,74604
3155,65,74605
3156,66,74605
3157,70,74605
3158,71,74605
3159,72,74605
3160,73,74605
3161,250,74605
3162,251,74605
3163,252,74605
3164,62,74606
3165,63,74606
3166,64,74606
3167,256,74606
3168,257,74606
3169,258,74606
3170,265,74606
3171,266,74606
3172,267,74606
3173,102,74607
3174,103,74607
3175,104,74607
3176,105,74607
3177,259,74607
3178,260,74607
3179,261,74607
3180,268,74607
3181,269,74607
3182,270,74607
3183,577,74607
3184,581,74607
3189,65,74608
3190,66,74608
3191,70,74608
3192,71,74608
3193,72,74608
3194,73,74608
3195,250,74608
3196,251,74608
3197,252,74608
3198,62,73217
3199,63,73217
3200,64,73217
3201,256,73217
3202,257,73217
3203,258,73217
3204,265,73217
3205,266,73217
3206,267,73217
3207,102,73218
3208,103,73218
3209,104,73218
3210,105,73218
3211,259,73218
3212,260,73218
3213,261,73218
3214,268,73218
3215,269,73218
3216,270,73218
3217,577,73218
3218,581,73218
3223,65,73219
3224,66,73219
3225,70,73219
3226,71,73219
3227,72,73219
3228,73,73219
3229,250,73219
3230,251,73219
3231,252,73219
3232,62,73220
3233,63,73220
3234,64,73220
3235,256,73220
3236,257,73220
3237,258,73220
3238,265,73220
3239,266,73220
3240,267,73220
3241,102,73221
3242,103,73221
3243,104,73221
3244,105,73221
3245,259,73221
3246,260,73221
3247,261,73221
3248,268,73221
3249,269,73221
3250,270,73221
3251,577,73221
3252,581,73221
3257,65,73222
3258,66,73222
3259,70,73222
3260,71,73222
3261,72,73222
3262,73,73222
3263,250,73222
3264,251,73222
3265,252,73222
3300,62,73224
3301,63,73224
3302,64,73224
3303,256,73224
3304,257,73224
3305,258,73224
3306,265,73224
3307,266,73224
3308,267,73224
3309,102,73225
3310,103,73225
3311,104,73225
3312,105,73225
3313,259,73225
3314,260,73225
3315,261,73225
3316,268,73225
3317,269,73225
3318,270,73225
3319,577,73225
3320,581,73225
3325,65,73226
3326,66,73226
3327,70,73226
3328,71,73226
3329,72,73226
3330,73,73226
3331,250,73226
3332,251,73226
3333,252,73226
3334,62,73227
3335,63,73227
3336,64,73227
3337,256,73227
3338,257,73227
3339,258,73227
3340,265,73227
3341,266,73227
3342,267,73227
3343,102,73228
3344,103,73228
3345,104,73228
3346,105,73228
3347,259,73228
3348,260,73228
3349,261,73228
3350,268,73228
3351,269,73228
3352,270,73228
3353,577,73228
3354,581,73228
3359,65,73229
3360,66,73229
3361,70,73229
3362,71,73229
3363,72,73229
3364,73,73229
3365,250,73229
3366,251,73229
3367,252,73229
3368,62,73230
3369,63,73230
3370,64,73230
3371,256,73230
3372,257,73230
3373,258,73230
3374,265,73230
3375,266,73230
3376,267,73230
3377,102,73231
3378,103,73231
3379,104,73231
3380,105,73231
3381,259,73231
3382,260,73231
3383,261,73231
3384,268,73231
3385,269,73231
3386,270,73231
3387,577,73231
3388,581,73231
3393,65,73232
3394,66,73232
3395,70,73232
3396,71,73232
3397,72,73232
3398,73,73232
3399,250,73232
3400,251,73232
3401,252,73232
3424,65,73233
3425,66,73233
3426,70,73233
3427,71,73233
3428,72,73233
3429,73,73233
3430,262,73233
3431,263,73233
3432,264,73233
3898,65,81527
3899,102,81527
3900,105,81527
3901,256,81527
3902,257,81527
3903,258,81527
3904,262,81527
3905,264,81527
3907,62,81528
3908,63,81528
3909,64,81528
3910,265,81528
3911,266,81528
3912,267,81528
3913,103,81529
3914,104,81529
3915,253,81529
3916,254,81529
3917,255,81529
3918,259,81529
3919,260,81529
3920,261,81529
3921,263,81529
3922,268,81529
3924,66,81530
3925,73,81530
3926,250,81530
3927,70,81531
3928,71,81531
3929,72,81531
3930,251,81531
3931,252,81531
3932,62,81532
3933,63,81532
3934,64,81532
3935,65,81532
3936,102,81532
3937,105,81532
3938,256,81532
3939,257,81532
3941,62,81533
3942,63,81533
3943,64,81533
3944,265,81533
3945,266,81533
3946,267,81533
3947,103,81534
3948,104,81534
3949,253,81534
3950,254,81534
3951,255,81534
3952,259,81534
3953,260,81534
3954,261,81534
3955,263,81534
3956,268,81534
3958,66,81535
3959,73,81535
3960,250,81535
3961,70,81536
3962,71,81536
3963,72,81536
3964,251,81536
3965,252,81536
4402,65,81661
4403,102,81661
4404,105,81661
4405,256,81661
4406,257,81661
4407,258,81661
4408,262,81661
4409,264,81661
4411,62,81662
4412,63,81662
4413,64,81662
4414,265,81662
4415,266,81662
4416,267,81662
4417,103,81663
4418,104,81663
4419,253,81663
4420,254,81663
4421,255,81663
4422,259,81663
4423,260,81663
4424,261,81663
4425,263,81663
4426,268,81663
4428,66,81664
4429,73,81664
4430,250,81664
4431,70,81665
4432,71,81665
4433,72,81665
4434,251,81665
4435,252,81665
4537,62,81701
4538,63,81701
4539,64,81701
4540,256,81701
4541,257,81701
4542,258,81701
4543,265,81701
4544,266,81701
4545,267,81701
4546,62,81702
4547,63,81702
4548,64,81702
4549,256,81702
4550,257,81702
4551,258,81702
4552,265,81702
4553,266,81702
4554,267,81702
4929,65,81829
4930,102,81829
4931,105,81829
4932,256,81829
4933,257,81829
