ID,DifficultyID,JournalEncounterID
58,2,95
59,4,95
60,5,95
61,6,95
62,1,139
63,2,139
64,3,139
65,4,139
66,5,139
67,6,139
68,1,140
69,2,140
70,3,140
71,4,140
72,5,140
73,6,140
74,1,154
75,2,154
76,3,154
77,4,154
78,5,154
79,6,154
80,1,155
81,2,155
82,3,155
83,4,155
84,5,155
85,6,155
86,1,156
87,2,156
88,3,156
89,4,156
90,5,156
91,6,156
92,1,157
93,2,157
94,3,157
95,4,157
96,5,157
97,6,157
98,1,158
99,2,158
100,3,158
101,4,158
102,5,158
103,6,158
104,1,167
105,2,167
106,3,167
107,4,167
108,5,167
109,6,167
110,5,168
111,6,168
112,1,169
113,2,169
114,3,169
115,4,169
116,5,169
117,6,169
118,1,170
119,2,170
120,3,170
121,4,170
122,5,170
123,6,170
124,1,171
125,2,171
126,3,171
127,4,171
128,5,171
129,6,171
130,1,172
131,2,172
132,3,172
133,4,172
134,5,172
135,6,172
136,1,173
137,2,173
138,3,173
139,4,173
140,5,173
141,6,173
142,1,174
143,2,174
144,3,174
145,4,174
146,5,174
147,6,174
148,1,192
149,2,192
150,3,192
151,4,192
152,5,192
153,6,192
154,1,193
155,2,193
156,3,193
157,4,193
158,5,193
159,6,193
160,1,194
161,2,194
162,3,194
163,4,194
164,5,194
165,6,194
166,1,195
167,2,195
168,3,195
169,4,195
170,5,195
171,6,195
172,1,196
173,2,196
174,3,196
175,4,196
176,5,196
177,6,196
178,1,197
179,2,197
180,3,197
181,4,197
182,5,197
183,6,197
184,1,198
185,2,198
186,3,198
187,4,198
188,5,198
189,6,198
190,1,339
191,2,339
192,3,339
193,4,339
194,5,339
195,6,339
196,1,368
197,3,368
202,1,370
203,2,370
204,3,370
205,4,370
206,1,372
207,2,372
208,3,372
209,4,372
210,1,373
211,2,373
212,3,373
213,4,373
214,1,374
215,2,374
216,3,374
217,4,374
218,1,377
219,2,377
220,3,377
221,4,377
222,1,378
223,2,378
224,3,378
225,4,378
226,1,379
227,2,379
228,3,379
229,4,379
230,1,380
231,2,380
232,3,380
233,4,380
234,1,381
235,2,381
236,3,381
237,4,381
238,1,382
239,2,382
240,3,382
241,4,382
242,1,383
243,2,383
244,3,383
245,4,383
246,1,384
247,2,384
248,3,384
249,4,384
250,1,385
251,2,385
252,3,385
253,4,385
254,1,386
255,2,386
256,3,386
257,4,386
258,1,387
259,2,387
260,3,387
261,4,387
266,1,413
267,2,413
268,3,413
269,4,413
270,1,414
271,2,414
272,3,414
273,4,414
274,1,415
275,2,415
276,3,415
277,4,415
282,1,426
283,3,426
284,1,436
285,3,436
286,1,437
287,3,437
288,1,444
289,3,444
290,1,447
291,3,447
292,2,536
296,2,542
300,2,583
304,2,595
308,2,617
316,1,664
317,2,664
318,3,664
319,4,664
320,1,665
321,2,665
324,1,666
325,2,666
328,1,668
329,2,668
330,3,668
331,4,668
332,1,669
333,2,669
334,3,669
335,4,669
336,1,670
337,2,670
338,3,670
339,4,670
340,1,674
341,2,674
342,3,674
343,4,674
348,1,684
349,2,684
360,1,698
361,2,698
362,3,698
363,4,698
364,2,728
412,1,663
413,2,663
466,5,831
467,6,831
474,2,833
