ID,Word,LanguageID
1,A,1
2,N,1
3,G,1
4,O,1
5,L,1
6,Ha,1
7,Ko,1
8,No,1
9,Mu,1
10,Ag,1
11,Ka,1
12,Gi,1
13,Il,1
14,Lok,1
15,Tar,1
16,Kaz,1
17,Ruk,1
18,Kek,1
19,Mog,1
20,Zug,1
21,Gul,1
22,Nuk,1
23,Aaz,1
24,Kil,1
25,Ogg,1
26,Rega,1
27,Nogu,1
28,Tago,1
29,Uruk,1
30,Kagg,1
31,Zaga,1
32,Grom,1
33,Ogar,1
34,Gesh,1
35,Thok,1
36,Dogg,1
37,Maka,1
38,Regas,1
39,Nogah,1
40,Kazum,1
41,Magan,1
42,No'bu,1
43,Golar,1
44,Throm,1
45,Zugas,1
46,Re'ka,1
47,No'ku,1
48,Maza,1
49,Ro'th,1
50,Thrakk,1
51,Revash,1
52,Nakazz,1
53,Moguna,1
54,No'gor,1
55,Goth'a,1
56,Raznos,1
57,Ogerin,1
58,Gezzno,1
59,Thukad,1
60,Makogg,1
61,Aaz'no,1
62,Lok'Tar,1
63,Gul'rok,1
64,Kazreth,1
65,Tov'osh,1
66,Zil'Nok,1
67,Rath'is,1
68,Kil'azi,1
69,Throm'ka,1
70,Osh'Kava,1
71,Gul'nath,1
72,Kog'zela,1
73,Ragath'a,1
74,Zuggossh,1
75,Moth'aga,1
76,Tov'nokaz,1
77,Osh'kazil,1
78,No'throma,1
79,Gesh'nuka,1
80,Lok'mogul,1
81,Lok'bolar,1
82,Ruk'ka'ha,1
83,Regasnogah,1
84,Kazum'nobu,1
85,Throm'bola,1
86,Gesh'zugas,1
87,Maza'rotha,1
88,Ogerin'naz,1
89,Thrakk'reva,1
90,Kaz'goth'no,1
91,No'gor'goth,1
92,Kil'azi'aga,1
93,Zug-zug'ama,1
94,Maza'thrakk,1
95,Lokando'nash,1
96,Ul'gammathar,1
97,Khaz'rogg'ahn,1
98,Moth'kazoroth,1
99,Golgonnashar,1
100,Dalggo'mazah,1
101,A,2
102,N,2
103,I,2
104,O,2
105,E,2
106,D,2
107,Da,2
108,Lo,2
109,An,2
110,Ni,2
111,Al,2
112,Do,2
113,Ri,2
114,Su,2
115,No,2
116,Ano,2
117,Dur,2
118,Tal,2
119,Nei,2
120,Ash,2
121,Dor,2
122,Anu,2
123,Fal,2
124,Tur,2
125,Ala,2
126,Nor,2
127,Osa,2
128,Alah,2
129,Andu,2
130,Dath,2
131,Mush,2
132,Shar,2
133,Thus,2
134,Fulo,2
135,Aman,2
136,Diel,2
137,Dieb,2
138,Rini,2
139,Anar,2
140,Talah,2
141,Adore,2
142,Ishnu,2
143,Bandu,2
144,Balah,2
145,Fandu,2
146,Thera,2
147,Turus,2
148,Shari,2
149,Shano,2
150,Terro,2
151,Eburi,2
152,Dorini,2
153,Shando,2
154,Ethala,2
155,Falla,2
156,Belore,2
157,Do'rah,2
158,Neph'o,2
159,Asto're,2
160,Man'ar,2
161,Ishura,2
162,U'phol,2
163,T'as'e,2
164,Anoduna,2
165,Alah'ni,2
166,Dor'Ano,2
167,Al'shar,2
168,Mush'al,2
169,Aman'ni,2
170,Shan're,2
171,Mandalas,2
172,Eraburis,2
173,Dorithur,2
174,Dal'dieb,2
175,Thoribas,2
176,D'ana'no,2
177,Il'amare,2
178,Neph'anis,2
179,Dune'adah,2
180,Banthalos,2
181,Fala'andu,2
182,Dath'anar,2
183,Shari'fal,2
184,Thori'dal,2
185,Thero'shan,2
186,Isera'duna,2
187,Ash'therod,2
188,Dorados'no,2
189,Shar'adore,2
190,U'phol'belore,2
191,Fandu'talah,2
192,Dor'ana'badu,2
193,Thoribas'no'thera,2
194,Turus'il'amare,2
195,Shari'adune,2
196,T'ase'mushal,2
197,Shindu'falla'na,2
198,Ando'meth'derador,2
199,Anu'dorannador,2
200,Anu'dorinni'talah,2
201,Esh'thero'mannash,2
202,Asto're'dunadah,2
204,We,6
205,Gar,6
206,Gear,6
207,Mitta,6
208,Mogoth,6
209,Geardum,6
210,Gefrunon,6
211,Mund-helm,6
212,Nagga-roth,6
213,Thros-am-Kha,6
214,Scyld-modor-ok,6
215,Lo,6
216,Dum,6
217,Kost,6
218,Angor,6
219,Modoss,6
220,Haldren,6
221,Misfaran,6
222,Ke,6
223,Kha,6
224,Khaz,6
225,Thros,6
226,Haldir,6
227,Thorneb,6
228,Khazrega,6
229,Angor-dum,6
230,Thros-gare,6
231,Azgol-haman,6
232,Gol'gethrunon,6
233,Zu,6
234,Dun,6
235,Modr,6
236,Gimil,6
237,Haldji,6
238,Godkend,6
239,Thulmane,6
240,Ok,6
241,Mos,6
242,Guma,6
243,Havar,6
244,Rugosh,6
245,Kost-um,6
246,Mogodune,6
247,Kost-Guma,6
248,Gar-Mogoth,6
249,Guma-syddan,6
250,Gimil-thumane,6
251,Um,6
252,Eft,6
253,Hine,6
254,Havas,6
255,Syddan,6
256,Zu-Modr,6
257,Azregahn,6
258,Ta,6
259,Red,6
260,Helm,6
261,Goten,6
262,Drugan,6
263,Ganrokh,6
264,Khaz-dum,6
265,Khaz-rand,6
266,Angor-Magi,6
267,Dun-haldren,6
268,Haldren-Lo-Modoss,6
269,A,6
270,Am,6
271,Hor,6
272,Rand,6
273,Modor,6
274,Skolde,6
275,Mok-kha,6
276,Moth-tur,6
277,Go,6
278,Ahz,6
279,Gosh,6
280,Modan,6
281,Farode,6
282,Dun-fel,6
283,Golganar,6
284,Midd-Havas,6
285,Ahz-Dagum,6
286,Robush-mogan,6
287,Haldji-drugan,6
288,Ga,6
289,Mok,6
290,Rune,6
291,Algaz,6
292,Bergum,6
293,Havagun,6
294,Gor,6
295,Hoga,6
296,Dagum,6
297,Modgud,6
298,Ok-Hoga,6
299,Arad-Khaz,6
300,Hoga-Modan,6
301,Ge'ar-anvil,6
302,Gosh-algaz-dun,6
303,Ruk,6
304,Thon,6
305,Scyld,6
306,Robush,6
307,Loch,6
308,Weard,6
309,Grum-mana,6
310,Grum,6
311,Frean,6
312,Hrim,6
313,Skalf,6
314,Gor-skalf,6
315,A,3
316,Wa,3
317,Ish,3
318,Shne,3
319,Porah,3
320,Abalo,3
321,Tatanka,3
322,Kichalo,3
323,Awaihilo,3
324,N,3
325,Tu,3
326,Zhi,3
327,A'ke,3
328,A'iah,3
329,Washte,3
330,Hetawa,3
331,Pikialo,3
332,Ovaktalo,3
333,I,3
334,Te,3
335,Uku,3
336,Hale,3
337,Yakee,3
338,Lakota,3
339,Ichnee,3
340,Towateke,3
341,Akiticha,3
342,O,3
343,Ni,3
344,Awa,3
345,Mani,3
346,Tanka,3
347,Pawene,3
348,Owakeri,3
349,Tihikea,3
350,Ishnelo,3
351,E,3
352,Po,3
353,Kee,3
354,Eche,3
355,Ti'ha,3
356,Washte,3
357,Sechalo,3
358,Shtumani,3
359,Shteawa,3
360,Ta,3
361,Alo,3
362,Shte,3
363,Towa,3
364,Pawni,3
365,Owachi,3
366,Owatanka,3
367,Porahalo,3
368,Ne,3
369,Rah,3
370,Halo,3
371,Shush,3
372,Sho'wa,3
373,O'ba'chi,3
374,Shtealo,3
375,Orahpajo,3
376,Ki,3
377,Owa,3
378,Isha,3
379,Ahmen,3
380,Aloaki,3
381,Neahok,3
382,Ba,3
383,Aki,3
384,Awak,3
385,Anohe,3
386,Nokee,3
387,Taisha,3
388,Lo,3
389,Paw,3
390,Nahe,3
391,Kashu,3
392,Poalo,3
393,Lomani,3
394,No,3
395,Ich,3
396,Tawa,3
397,Awak,3
398,Ishte,3
399,Nitawa,3
400,Chi,3
401,Balo,3
402,A'hok,3
403,Nechi,3
404,Washte,3
405,Ishne'alo,3
406,Awakeekielo,3
407,Ishne'awahalo,3
408,Echeyakee,3
409,Lakota'mani,3
410,Ishamuhale,3
411,Ishnialo,3
412,Ichnee'awa,3
413,Neashushahmen,3
414,Tatahalo,3
415,Aloaki'shne,3
416,Awaka'nahe,3
417,Haloyakee,3
418,Shteowachi,3
419,Ishne'alo'porah,3
420,Tawaporah,3
421,Shtumanialo,3
422,Awakeeahmenalo,3
423,A,7
424,Lo,7
425,Vil,7
426,Nuff,7
427,Wirsh,7
428,Ruftos,7
429,Novaedi,7
430,Thorniss,7
431,Gloinador,7
432,Vastrungen,7
433,Wershaesire,7
434,Nevrenrothas,7
435,E,7
436,Ne,7
437,Bor,7
438,Thor,7
439,Novas,7
440,Aesire,7
441,Lithtos,7
442,Ruftvess,7
443,Veldbarad,7
444,I,7
445,Ve,7
446,Ras,7
447,Ruff,7
448,Regen,7
449,Rothas,7
450,Ewiddan,7
451,Aldonoth,7
452,Gothalgos,7
453,Falhedring,7
454,Thorlithtos,7
455,Forthasador,7
456,O,7
457,Ru,7
458,Gol,7
459,Odes,7
460,Gloin,7
461,Nevren,7
462,Forthis,7
463,Endirvis,7
464,Udenmajis,7
465,U,7
466,An,7
467,Nud,7
468,Noth,7
469,Tiras,7
470,Rogesh,7
471,Faergas,7
472,Landowar,7
473,Danagarde,7
474,Cynewalden,7
475,Vassildador,7
476,Mandosdaegil,7
477,Y,7
478,Ti,7
479,Far,7
480,Ador,7
481,Barad,7
482,Skilde,7
483,Sturume,7
484,Hamerung,7
485,Vandarwos,7
486,Me,7
487,Wos,7
488,Dana,7
489,Garde,7
490,Vandar,7
491,Vassild,7
492,Cynegold,7
493,Firalaine,7
494,Dyrstigost,7
495,Agolandovis,7
496,Waldirskilde,7
497,Lu,7
498,Mod,7
499,Vrum,7
500,Majis,7
501,Valesh,7
502,Nostyec,7
503,Methrine,7
504,Aetwinter,7
505,Re,7
506,Ver,7
507,Veld,7
508,Ergin,7
509,Engoth,7
510,Andovis,7
511,Lordaere,7
512,Eloderung,7
513,Aelgestron,7
514,Bornevalesh,7
515,Adorstaerume,7
516,Se,7
517,Ash,7
518,Vohl,7
519,Nagan,7
520,Aziris,7
521,Koshvel,7
522,Regenthor,7
523,Va,7
524,Lon,7
525,Lars,7
526,Algos,7
527,Mandos,7
528,Nandige,7
529,Danavandar,7
530,Farlandowar,7
531,Golveldbarad,7
532,Ko,7
533,Bur,7
534,Goth,7
535,Eynes,7
536,Goibon,7
537,Kaelsig,7
538,Hir,7
539,Agol,7
540,Borne,7
541,Danieb,7
542,Uden,7
543,Melka,7
544,Daegil,7
545,Waldir,7
546,Ealdor,7
547,A,8
548,E,8
549,I,8
550,O,8
551,U,8
552,Y,8
553,G,8
554,X,8
555,Il,8
556,No,8
557,Az,8
558,Te,8
559,Ur,8
560,Za,8
561,Ze,8
562,Re,8
563,Ul,8
564,Me,8
565,Xi,8
566,Tor,8
567,Gul,8
568,Lok,8
569,Asj,8
570,Kar,8
571,Lek,8
572,Daz,8
573,Maz,8
574,Ril,8
575,Ruk,8
576,Laz,8
577,Shi,8
578,Zar,8
579,Ashj,8
580,Alar,8
581,Orah,8
582,Amir,8
583,Aman,8
584,Ante,8
585,Kiel,8
586,Maez,8
587,Maev,8
588,Veni,8
589,Raka,8
590,Zila,8
591,Zenn,8
592,Parn,8
593,Rikk,8
594,Melar,8
595,Rakir,8
596,Tiros,8
597,Modas,8
598,Belan,8
599,Zekul,8
600,Soran,8
601,Gular,8
602,Enkil,8
